layer,calls,spikes,elements,firing_rate,mean_call_firing_rate
sttmultires_unet.decoders.0.sn,40,11112425,66355200,0.16746878918306327,0.16746878918306327
sttmultires_unet.decoders.1.sn,40,19807505,133056000,0.14886592863155362,0.14886592863155362
sttmultires_unet.decoders.2.sn,40,36195413,266803200,0.13566333912037037,0.13566333912037035
sttmultires_unet.decoders.3.sn,40,124437712,536371200,0.23199924231576938,0.23199924231576938
sttmultires_unet.encoders.swin3d.layers.0.downsample.sn,40,43964411,265420800,0.16564041326075424,0.16564041326075418
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.attn_sn,40,0,273715200,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.proj_sn,40,28279441,273715200,0.10331702806420688,0.10331702806420688
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn2_q,40,343977,8553600,0.040214295735129066,0.04021429573512907
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_k,40,13440789,273715200,0.04910501499368687,0.04910501499368687
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_q,40,1730739,273715200,0.006323138064674523,0.006323138064674524
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn1,40,36833526,265420800,0.1387740749782986,0.13877407497829858
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn2,40,46562636,1061683200,0.043857372896170914,0.04385737289617091
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.attn_sn,40,0,273715200,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.proj_sn,40,25850817,273715200,0.09444421427819866,0.09444421427819867
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn2_q,40,39940,8553600,0.004669378974934531,0.00466937897493453
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_k,40,8503824,273715200,0.031068146745230077,0.03106814674523008
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_q,40,10219814,273715200,0.03733740033436214,0.037337400334362135
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn1,40,43974577,265420800,0.16567871470510223,0.1656787147051022
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn2,40,64583706,1061683200,0.0608314288104022,0.06083142881040221
sttmultires_unet.encoders.swin3d.layers.1.downsample.sn,40,9166810,132710400,0.06907378773630402,0.06907378773630402
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.attn_sn,40,0,149299200,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.proj_sn,40,1185972,149299200,0.00794359246399177,0.007943592463991771
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn2_q,40,0,4665600,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_k,40,0,149299200,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_q,40,84893,149299200,0.000568609878686557,0.0005686098786865568
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn1,40,3449664,132710400,0.025993923611111112,0.02599392361111111
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn2,40,4769240,530841600,0.008984299647955246,0.00898429964795525
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.attn_sn,40,0,149299200,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.proj_sn,40,2030657,149299200,0.013601258412637174,0.013601258412637176
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn2_q,40,22054,4665600,0.004726937585733882,0.004726937585733883
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn_k,40,856368,149299200,0.005735918209876543,0.0057359182098765445
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn_q,40,122418,149299200,0.0008199508101851852,0.0008199508101851853
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.sn1,40,6246445,132710400,0.04706824031876929,0.047068240318769286
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.sn2,40,11577849,530841600,0.02181036489981192,0.02181036489981192
sttmultires_unet.encoders.swin3d.layers.2.downsample.sn,40,9665089,66355200,0.14565684377411264,0.1456568437741127
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.attn_sn,40,0,74649600,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.proj_sn,40,147331,74649600,0.001973634152091907,0.0019736341520919065
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn2_q,40,9599,2332800,0.004114797668038409,0.0041147976680384075
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn_k,40,29255,74649600,0.00039189761231138545,0.0003918976123113855
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn_q,40,80206,74649600,0.0010744330847050755,0.0010744330847050753
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.sn1,40,1672638,66355200,0.025207338686342593,0.025207338686342597
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.sn2,40,2872475,265420800,0.010822343237606096,0.0108223432376061
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.attn_sn,40,0,74649600,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.proj_sn,40,5626173,74649600,0.07536775816615227,0.07536775816615225
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn2_q,40,1552,2332800,0.0006652949245541838,0.000665294924554184
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn_k,40,861632,74649600,0.011542352537722908,0.011542352537722905
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn_q,40,30235,74649600,0.0004050256129972565,0.0004050256129972565
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.sn1,40,2085764,66355200,0.03143331645447531,0.03143331645447532
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.sn2,40,1234571,265420800,0.004651372462143133,0.004651372462143133
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.attn_sn,40,0,74649600,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.proj_sn,40,666619,74649600,0.008929974172668038,0.008929974172668036
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn2_q,40,7911,2332800,0.0033912037037037036,0.0033912037037037044
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn_k,40,906333,74649600,0.012141163515946502,0.012141163515946499
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn_q,40,140748,74649600,0.001885448816872428,0.001885448816872428
