layer,spikes,elements,firing_rate,dense_flops_share,effective_flops,synops,energy_uj,op_type
sttmultires_unet.decoders.0.sn,15501113,66355200,0.23360811209972993,3608439908.7422166,842960834.706591,15501113,13.951001699999999,mac
sttmultires_unet.decoders.1.sn,28311200,133056000,0.21277657527657529,7235673775.342465,1539581885.7358978,28311200,25.480079999999997,mac
sttmultires_unet.decoders.2.sn,51817398,266803200,0.19421580400834773,14508935466.400997,2817864566.9123015,51817398,46.6356582,mac
sttmultires_unet.decoders.3.sn,160602500,536371200,0.2994241674422489,29168222595.666252,8733670766.47756,160602500,144.54225,mac
sttmultires_unet.encoders.swin3d.layers.0.downsample.sn,71083267,265420800,0.2678134758089796,14433759634.968866,3865555336.8323603,71083267,63.97494029999999,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.attn_sn,0,273715200,0.0,14884814623.561644,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.proj_sn,66865654,273715200,0.24428915164375234,14884814623.561644,3636198736.764393,66865654,60.1790886,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn2_q,1364200,8553600,0.1594884025439581,465150456.98630136,74186103.3273373,1364200,0.13642,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_k,31789329,273715200,0.1161401668595679,14884814623.561644,1728724854.0541856,31789329,3.1789329,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_q,6049912,273715200,0.022102944958847737,14884814623.561644,328998238.3472349,6049912,0.6049912,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn1,73557270,265420800,0.27713453504774305,14433759634.968866,4000093265.427978,73557270,66.201543,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn2,90667245,1061683200,0.08539952878598814,57735038539.875465,4930545085.746229,90667245,81.6005205,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.attn_sn,0,273715200,0.0,14884814623.561644,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.proj_sn,32548588,273715200,0.11891406834549195,14884814623.561644,1770013863.4561872,32548588,29.2937292,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn2_q,155920,8553600,0.018228582117471005,465150456.98630136,8479033.30215396,155920,0.015592000000000002,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_k,13224206,273715200,0.048313743628413765,14884814623.561644,719141117.6792214,13224206,1.3224206,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_q,16952751,273715200,0.06193573100799663,14884814623.561644,921901874.6288086,16952751,1.6952751,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn1,71519366,265420800,0.26945652337721837,14433759634.968866,3889270690.501139,71519366,64.3674294,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn2,83814101,1061683200,0.07894454861864632,57735038539.875465,4557866557.010617,83814101,75.4326909,mac
sttmultires_unet.encoders.swin3d.layers.1.downsample.sn,22886971,132710400,0.1724580063054591,7216879817.484433,1244608705.069471,22886971,20.5982739,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.attn_sn,0,149299200,0.0,8118989794.669988,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.proj_sn,3649379,149299200,0.02444339286479767,8118989794.669988,198455657.21640146,3649379,3.2844411,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn2_q,0,4665600,0.0,253718431.08343711,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_k,0,149299200,0.0,8118989794.669988,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_q,820571,149299200,0.005496151352451989,8118989794.669988,44623196.74051935,820571,0.0820571,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn1,8741896,132710400,0.06587197386188272,7216879817.484433,475390118.7016835,8741896,7.8677064,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn2,30050791,530841600,0.05660971370744117,28867519269.937733,1634182001.315216,30050791,27.045711899999997,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.attn_sn,0,149299200,0.0,8118989794.669988,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.proj_sn,6375623,149299200,0.042703664855538406,8118989794.669988,346710619.15712374,6375623,5.7380607,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn2_q,366682,4665600,0.07859267832647462,253718431.08343711,19940411.039638393,366682,0.0366682,logic
