layer,spikes,elements,firing_rate,dense_flops_share,effective_flops,synops,energy_uj,op_type
sttmultires_unet.decoders.0.sn,17513450,66355200,0.2639348536361883,3608439908.7422166,952393059.1688576,17513450,15.762105,mac
sttmultires_unet.decoders.1.sn,34994866,133056000,0.2630085527898028,7235673775.342465,1903044088.1119504,34994866,31.495379399999997,mac
sttmultires_unet.decoders.2.sn,78097436,266803200,0.29271551465649587,14508935466.400997,4246990512.165454,78097436,70.28769240000001,mac
sttmultires_unet.decoders.3.sn,178644248,536371200,0.3330608503961436,29168222595.666252,9714793022.256613,178644248,160.7798232,mac
sttmultires_unet.encoders.swin3d.layers.0.downsample.sn,105409337,265420800,0.3971404539508584,14433759634.968866,5732229853.649112,105409337,94.86840330000001,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.attn_sn,0,273715200,0.0,14884814623.561644,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.proj_sn,70346445,273715200,0.25700598651445006,14884814623.561644,3825486466.4131727,70346445,63.311800500000004,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn2_q,1551143,8553600,0.18134387860082304,465150456.98630136,84352188.00284119,1551143,0.1551143,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_k,34390062,273715200,0.1256417692550505,14884814623.561644,1870154444.3377333,34390062,3.4390062,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_q,7100433,273715200,0.02594095249368687,14884814623.561644,386126269.0271482,7100433,0.7100433,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn1,75664261,265420800,0.28507283905406056,14433759634.968866,4114672837.3644753,75664261,68.0978349,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn2,186542500,1061683200,0.17570448510440778,57735038539.875465,10144305219.131958,186542500,167.88825,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.attn_sn,0,273715200,0.0,14884814623.561644,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.proj_sn,48309050,273715200,0.17649385200383463,14884814623.561644,2627078269.275402,48309050,43.478145000000005,mac
