layer,spikes,elements,firing_rate,dense_flops_share,effective_flops,synops,energy_uj,op_type
sttmultires_unet.decoders.0.sn,16498126,66355200,0.24863350573881174,3608439908.7422166,897179064.7584152,16498126,14.8483134,mac
sttmultires_unet.decoders.1.sn,33159557,133056000,0.2492150447931698,7235673775.342465,1803238764.0307367,33159557,29.8436013,mac
sttmultires_unet.decoders.2.sn,44763937,266803200,0.16777886097318173,14508935466.400997,2434292666.4861584,44763937,40.2875433,mac
sttmultires_unet.decoders.3.sn,147352633,536371200,0.27472137392909984,29168222595.666252,8013134186.551248,147352633,132.61736969999998,mac
sttmultires_unet.encoders.swin3d.layers.0.downsample.sn,108643363,265420800,0.4093249775450907,14433759634.968866,5908098338.474868,108643363,97.7790267,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.attn_sn,0,273715200,0.0,14884814623.561644,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.proj_sn,71719735,273715200,0.2620232087951272,14884814623.561644,3900166889.986255,71719735,64.5477615,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn2_q,1584249,8553600,0.18521429573512907,465150456.98630136,86152514.30159125,1584249,0.1584249,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_k,34162719,273715200,0.12481118695636925,14884814623.561644,1857791380.7922513,34162719,3.4162719,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_q,7085015,273715200,0.025884623871820053,14884814623.561644,385287827.9326599,7085015,0.7085015,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn1,92912593,265420800,0.3500576932930652,14433759634.968866,5052648603.363756,92912593,83.6213337,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn2,209696495,1061683200,0.19751324594756703,57735038539.875465,11403434866.918684,209696495,188.7268455,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.attn_sn,0,273715200,0.0,14884814623.561644,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.proj_sn,52691457,273715200,0.19250468004699775,14884814623.561644,2865396476.6676073,52691457,47.4223113,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn2_q,623351,8553600,0.07287586513280958,465150456.98630136,33898241.969798446,623351,0.0623351,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_k,25498445,273715200,0.09315684697086607,14884814623.561644,1386622398.0768416,25498445,2.5498445000000003,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_q,30752895,273715200,0.11235362522797418,14884814623.561644,1672362883.8035145,30752895,3.0752895000000002,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn1,104869358,265420800,0.3951060278621721,14433759634.968866,5702865436.489903,104869358,94.3824222,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn2,252086842,1061683200,0.23744073750060282,57735038539.875465,13708650130.533758,252086842,226.8781578,mac
sttmultires_unet.encoders.swin3d.layers.1.downsample.sn,19758032,132710400,0.14888081114969134,7216879817.484433,1074454921.1969187,19758032,17.7822288,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.attn_sn,0,149299200,0.0,8118989794.669988,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.proj_sn,4534126,149299200,0.030369392468278463,8118989794.669988,246568787.52028042,4534126,4.0807134000000005,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn2_q,0,4665600,0.0,253718431.08343711,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_k,1,149299200,6.697959533607682e-09,8118989794.669988,54.380665098473315,1,1.0000000000000001e-07,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_q,1003818,149299200,0.006723532343106996,8118989794.669988,54588290.47781929,1003818,0.10038180000000001,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn1,9495775,132710400,0.07155260627652392,7216879817.484433,516386560.12545544,9495775,8.5461975,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn2,28628765,530841600,0.053930899537639854,28867519269.937733,1556851281.6478944,28628765,25.7658885,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.attn_sn,0,149299200,0.0,8118989794.669988,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.proj_sn,6975872,149299200,0.04672410836762689,8118989794.669988,379352559.0018173,6975872,6.2782848,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn2_q,403070,4665600,0.08639188957475995,253718431.08343711,21919214.681241643,403070,0.040306999999999996,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn_k,7030482,149299200,0.047089883937757204,8118989794.669988,382322287.12284493,7030482,0.7030482,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn_q,1638731,149299200,0.01097615392446845,8118989794.669988,89115281.69748628,1638731,0.1638731,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.sn1,17317410,132710400,0.13049022533275462,7216879817.484433,941732273.5829527,17317410,15.585669000000001,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.sn2,25836636,530841600,0.048671083803530094,28867519269.937733,1405013449.5871592,25836636,23.252972399999997,mac
sttmultires_unet.encoders.swin3d.layers.2.downsample.sn,30900165,66355200,0.46567812319155094,3608439908.7422166,1680371524.3525667,30900165,27.8101485,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.attn_sn,0,74649600,0.0,4059494897.334994,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.proj_sn,1497891,74649600,0.020065626607510288,4059494897.334994,81456308.8250173,1497891,1.3481019,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn2_q,325170,2332800,0.13939043209876542,126859215.54171856,17682960.87007057,325170,0.032517,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn_k,1303682,74649600,0.01746401856138546,4059494897.334994,70895094.2369079,1303682,0.13036820000000002,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn_q,2147001,74649600,0.028761051633230453,4059494897.334994,116755342.34708732,2147001,0.2147001,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.sn1,19414524,66355200,0.29258481626157407,3608439908.7422166,1055774727.6902726,19414524,17.4730716,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.sn2,65645140,265420800,0.24732477635513117,14433759634.968866,3569826373.6823945,65645140,59.080626,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.attn_sn,0,74649600,0.0,4059494897.334994,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.proj_sn,25017645,74649600,0.3351343476723251,4059494897.334994,1360476174.2974954,25017645,22.515880499999998,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn2_q,751660,2332800,0.3222136488340192,126859215.54171856,40875770.72791845,751660,0.075166,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn_k,8106282,74649600,0.1085910976080247,4059494897.334994,440825006.63578254,8106282,0.8106282,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn_q,4341990,74649600,0.05816494663065844,4059494897.334994,236120304.05092016,4341990,0.43419900000000006,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.sn1,28296491,66355200,0.4264396912374614,3608439908.7422166,1538782000.5329642,28296491,25.466841900000002,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.sn2,23692744,265420800,0.08926483531057099,14433759634.968866,1288427176.727863,23692744,21.323469600000003,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.attn_sn,0,74649600,0.0,4059494897.334994,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.proj_sn,23300497,74649600,0.3121315720378944,4059494897.334994,1267096523.9849823,23300497,20.9704473,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn2_q,198109,2332800,0.08492326817558299,126859215.54171856,10773299.181993451,198109,0.0198109,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn_k,13807233,74649600,0.18496057581018518,4059494897.334994,750846513.709589,13807233,1.3807233,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn_q,12670709,74649600,0.16973579228823732,4059494897.334994,689041582.6892118,12670709,1.2670709,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.sn1,28529848,66355200,0.4299564766589506,3608439908.7422166,1551472109.3983486,28529848,25.6768632,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.sn2,70406037,265420800,0.2652619425455729,14433759634.968866,3828727119.0077205,70406037,63.36543330000001,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.attn_sn,0,74649600,0.0,4059494897.334994,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.proj_sn,22277071,74649600,0.2984218401706104,4059494897.334994,1211441937.4259121,22277071,20.049363900000003,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.sn2_q,0,2332800,0.0,126859215.54171856,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.sn_k,6340158,74649600,0.08493224344135802,4059494897.334994,344782008.8694064,6340158,0.6340158,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.sn_q,266570,74649600,0.0035709501457475996,4059494897.334994,14496253.895300033,266570,0.026657,logic
