layer,spikes,elements,firing_rate,dense_flops_share,effective_flops,synops,energy_uj,op_type
sttmultires_unet.decoders.0.sn,10924024,66355200,0.16462950906635804,3608439908.7422166,594055690.6716849,10924024,9.8316216,mac
sttmultires_unet.decoders.1.sn,31218023,133056000,0.23462318873256374,7235673775.342465,1697656853.7994373,31218023,28.0962207,mac
sttmultires_unet.decoders.2.sn,50485149,266803200,0.18922242686744387,14508935466.400997,2745415980.215525,50485149,45.4366341,mac
sttmultires_unet.decoders.3.sn,161172685,536371200,0.30048720923121897,29168222595.666252,8764677806.006733,161172685,145.05541649999998,mac
sttmultires_unet.encoders.swin3d.layers.0.downsample.sn,117677841,265420800,0.4433632970739294,14433759634.968866,6399399260.932392,117677841,105.9100569,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.attn_sn,0,273715200,0.0,14884814623.561644,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.proj_sn,67119065,273715200,0.24521497162013656,14884814623.561644,3649979395.487662,67119065,60.4071585,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn2_q,5626,8553600,0.0006577347549569771,465150456.98630136,305945.62184401084,5626,0.0005626,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_k,8240237,273715200,0.03010514944000187,14884814623.561644,448109568.62904847,8240237,0.8240237,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_q,102255,273715200,0.0003735817375140292,14884814623.561644,5560694.909644389,102255,0.010225500000000002,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn1,5040704,265420800,0.018991367669753085,14433759634.968866,274116836.0845348,5040704,4.5366336,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn2,170075886,1061683200,0.1601945721661603,57735038539.875465,9248839797.892126,170075886,153.06829739999998,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.attn_sn,0,273715200,0.0,14884814623.561644,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.proj_sn,68715029,273715200,0.2510457183232791,14884814623.561644,3736768979.280882,68715029,61.8435261,mac
