layer,spikes,elements,firing_rate,dense_flops_share,effective_flops,synops,energy_uj,op_type
sttmultires_unet.decoders.0.sn,18038436,66355200,0.27184660734953703,3608439908.7422166,980942147.0162445,18038436,16.2345924,mac
sttmultires_unet.decoders.1.sn,37344583,133056000,0.28066816227753727,7235673775.342465,2030823261.3651397,37344583,33.6101247,mac
sttmultires_unet.decoders.2.sn,51960689,266803200,0.19475287028041643,14508935466.400997,2825656826.7949266,51960689,46.7646201,mac
sttmultires_unet.decoders.3.sn,159941528,536371200,0.298191864141848,29168222595.666252,8697726669.506092,159941528,143.9473752,mac
sttmultires_unet.encoders.swin3d.layers.0.downsample.sn,109305823,265420800,0.41182086332344714,14433759634.968866,5944123353.876001,109305823,98.3752407,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.attn_sn,0,273715200,0.0,14884814623.561644,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.proj_sn,48594680,273715200,0.17753738192106247,14884814623.561644,2642611018.647479,48594680,43.735212,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn2_q,109853,8553600,0.012842896558174336,465150456.98630136,5973879.203062589,109853,0.0109853,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_k,13072439,273715200,0.047759273142302654,14884814623.561644,710887927.2792214,13072439,1.3072439,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_q,687142,273715200,0.002510426896277591,14884814623.561644,37367238.97709516,687142,0.0687142,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn1,19737455,265420800,0.07436287962360147,14433759634.968866,1073335930.2511877,19737455,17.7637095,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn2,110316376,1061683200,0.10390705626687886,57735038539.875465,5999077898.13326,110316376,99.28473840000001,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.attn_sn,0,273715200,0.0,14884814623.561644,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.proj_sn,47481605,273715200,0.173470837571315,14884814623.561644,2582081259.842996,47481605,42.7334445,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn2_q,175776,8553600,0.020549943883277216,465150456.98630136,9558815.788349245,175776,0.017577600000000002,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_k,9263705,273715200,0.03384432066615226,14884814623.561644,503766439.17605275,9263705,0.9263705000000001,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_q,18287981,273715200,0.06681390364875608,14884814623.561644,994512570.0882432,18287981,1.8287981,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn1,67980703,265420800,0.2561242487401138,14433759634.968866,3696835843.00178,67980703,61.1826327,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn2,262326068,1061683200,0.24708507019796488,57735038539.875465,14265466050.507338,262326068,236.0934612,mac
sttmultires_unet.encoders.swin3d.layers.1.downsample.sn,21808944,132710400,0.16433485243055557,7216879817.484433,1185984879.815359,21808944,19.6280496,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.attn_sn,0,149299200,0.0,8118989794.669988,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.proj_sn,5371075,149299200,0.03597524300197188,8118989794.669988,292082630.7937826,5371075,4.8339675,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn2_q,0,4665600,0.0,253718431.08343711,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_k,0,149299200,0.0,8118989794.669988,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_q,92185,149299200,0.0006174513996056242,8118989794.669988,5013081.612102763,92185,0.009218500000000001,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn1,10193179,132710400,0.07680768801842207,7216879817.484433,554311853.4877912,10193179,9.1738611,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn2,35397665,530841600,0.06668216093086902,28867519269.937733,1924948565.6329505,35397665,31.857898499999997,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.attn_sn,0,149299200,0.0,8118989794.669988,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.proj_sn,8223523,149299200,0.05508082427769204,8118989794.669988,447200650.1925926,8223523,7.401170700000001,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn2_q,69462,4665600,0.014888117283950618,253718431.08343711,3777389.759070154,69462,0.0069462,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn_k,4863636,149299200,0.03257643711419753,8118989794.669988,264487760.4768784,4863636,0.4863636,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn_q,422715,149299200,0.0028313279642489713,8118989794.669988,22987522.84710115,422715,0.042271500000000004,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.sn1,18873619,132710400,0.14221657835407023,7216879817.484433,1026359954.035183,18873619,16.9862571,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.sn2,30354980,530841600,0.05718274528597608,28867519269.937733,1650724001.4508557,30354980,27.319482,mac
sttmultires_unet.encoders.swin3d.layers.2.downsample.sn,31935446,66355200,0.48128023124035496,3608439908.7422166,1736670793.6963794,31935446,28.7419014,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.attn_sn,0,74649600,0.0,4059494897.334994,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.proj_sn,2220199,74649600,0.029741606117112483,4059494897.334994,120735898.27096537,2220199,1.9981791000000002,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn2_q,290588,2332800,0.12456618655692729,126859215.54171856,15802368.709635165,290588,0.029058800000000003,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn_k,975833,74649600,0.013072179891117969,4059494897.334994,53066447.56503851,975833,0.0975833,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn_q,1654420,74649600,0.02216247642318244,4059494897.334994,89968459.95221622,1654420,0.165442,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.sn1,3078791,66355200,0.04639863944347994,3608439908.7422166,167426702.27919376,3078791,2.7709119,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.sn2,64793931,265420800,0.2441177594220197,14433759634.968866,3523537062.1245885,64793931,58.3145379,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.attn_sn,0,74649600,0.0,4059494897.334994,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.proj_sn,29667345,74649600,0.3974213525591564,4059494897.334994,1613329952.805867,29667345,26.7006105,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn2_q,199253,2332800,0.08541366598079561,126859215.54171856,10835510.662866104,199253,0.0199253,logic
