layer,spikes,elements,firing_rate,dense_flops_share,effective_flops,synops,energy_uj,op_type
sttmultires_unet.decoders.0.sn,316595896,1368576000,0.23133234544519266,3608439908.7422166,834748867.487374,316595896,284.9363064,mac
sttmultires_unet.decoders.1.sn,563342022,2744280000,0.20527862390135118,7235673775.342465,1485329155.6013958,563342022,507.0078198,mac
sttmultires_unet.decoders.2.sn,977788165,5502816000,0.17768868975448207,14508935466.400997,2578073732.7571282,977788165,880.0093485,mac
sttmultires_unet.decoders.3.sn,2954424624,11062656000,0.26706286663889756,29168222595.666252,7789749141.160094,2954424624,2658.9821616,mac
sttmultires_unet.encoders.swin3d.layers.0.downsample.sn,1417802827,5474304000,0.2589923444149247,14433759634.968866,3738233246.582094,1417802827,1276.0225443,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.attn_sn,0,5645376000,0.0,14884814623.561644,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.proj_sn,1108972303,5645376000,0.1964390508267297,14884814623.561644,2923958856.384275,1108972303,998.0750727000001,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn2_q,10139637,176418000,0.057475070571030164,465150456.98630136,26734555.3414346,10139637,1.0139637,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_k,534273172,5645376000,0.09463907665317597,14884814623.561644,1408685112.1275651,534273172,53.4273172,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_q,69881901,5645376000,0.012378608794170663,14884814623.561644,184253297.19882023,69881901,6.988190100000001,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn1,1375581023,5474304000,0.2512796189250725,14433759634.968866,3626909620.7310705,1375581023,1238.0229207,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn2,1674927723,21897216000,0.07649044166162493,57735038539.875465,4416178597.266011,1674927723,1507.4349507,mac
