epsilon_ratio,scope_type,scope,tokens,baseline_nonzero_blocks,kept_blocks,dropped_blocks,drop_fraction_of_remaining_nonzero_blocks,metadata_bytes,baseline_weight_bytes,saved_weight_bytes,baseline_nonzero_products,saved_nonzero_products,extra_nonzero_product_reduction,saved_psum_update_events,max_dropped_block_abs_output_code_debt,max_accumulated_abs_output_code_debt_per_token,sum_abs_output_code_debt,dynamic_same_block_keep_drop_witness_count,paired_aee_present,overall_delta_aee,max_sequence_delta_aee,same_resource_cycle_speedup,paper_admission
0.0,all,FC1,22320000,8594923488,8594923488,0,0.0,0,8801201651712,0,384283132032,0,0.0,0,0,0,0,0,False,,,,False
0.0,layer,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.fc1,7680000,893705784,893705784,0,0.0,0,915154722816,0,47511097728,0,0.0,0,0,0,0,0,False,,,,False
0.0,layer,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.fc1,7680000,859388232,859388232,0,0.0,0,880013549568,0,42080036352,0,0.0,0,0,0,0,0,False,,,,False
0.0,layer,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.fc1,1920000,289855392,289855392,0,0.0,0,296811921408,0,12952555776,0,0.0,0,0,0,0,0,False,,,,False
0.0,layer,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.fc1,1920000,518415552,518415552,0,0.0,0,530857525248,0,18742866432,0,0.0,0,0,0,0,0,False,,,,False
0.0,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.fc1,480000,675676032,675676032,0,0.0,0,691892256768,0,30514845696,0,0.0,0,0,0,0,0,False,,,,False
0.0,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.fc1,480000,659560416,659560416,0,0.0,0,675389865984,0,23005426176,0,0.0,0,0,0,0,0,False,,,,False
0.0,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.fc1,480000,795172416,795172416,0,0.0,0,814256553984,0,31378374144,0,0.0,0,0,0,0,0,False,,,,False
0.0,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.fc1,480000,926752704,926752704,0,0.0,0,948994768896,0,45911327232,0,0.0,0,0,0,0,0,False,,,,False
0.0,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.fc1,480000,824254080,824254080,0,0.0,0,844036177920,0,39754761216,0,0.0,0,0,0,0,0,False,,,,False
