bundle,scope_type,scope,tokens,bundle_count,ordinary_lru_capacity_rows,baseline_weight_row_fetches,candidate_weight_row_fetches,baseline_weight_fetch_bytes,candidate_weight_fetch_bytes,weight_fetch_reduction,weight_fetch_ratio,compute_issue_cycles,commit_cycles,baseline_weight_cycles,candidate_weight_cycles,baseline_roofline_cycles,candidate_roofline_cycles,roofline_cycle_speedup,fetch_ratio_is_cycle_speedup
4,all,FC1_FC2,44640000,11160000,4,2033702650,707774134,12495069081600,4348564279296,0.6519775720408291,2.8733780344677022,2045116621,182400000,100581477504,34640732544,100581477504,34640732544,2.9035609271900737,False
4,family,FC1,22320000,5580000,4,1431977407,453395577,8798069188608,2785662425088,0.6833779815354307,3.158340044856679,1439783060,145920000,70653234048,22088557056,70653234048,22088557056,3.19863510635287,False
4,family,FC2,22320000,5580000,4,601725243,254378557,3696999892992,1562901854208,0.5772513120244815,2.365471563705741,605333561,36480000,29928243456,12552175488,29928243456,12552175488,2.3843072847899305,False
4,layer,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.fc1,7680000,1920000,4,148655835,42263998,913341450240,259670003712,0.7156923036354409,3.5173159671264416,151085880,30720000,7188673536,2033309568,7188673536,2033309568,3.5354545363551844,False
4,layer,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.fc2,7680000,1920000,4,51594733,20996356,316998039552,129001611264,0.5930523373383869,2.457318450877857,52580388,7680000,2555918208,1041671808,2555918208,1041671808,2.453669369153168,False
4,layer,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.fc1,7680000,1920000,4,143016660,42227531,878694359040,259445950464,0.7047369795938458,3.3868108462225748,144244892,30720000,6969110400,2038028928,6969110400,2038028928,3.4195345827789936,False
4,layer,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.fc2,7680000,1920000,4,40189330,22462005,246923243520,138006558720,0.44109531062100316,1.7892138301990406,42200397,7680000,2127474048,1169199360,2127474048,1169199360,1.8195990528082397,False
4,layer,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.fc1,1920000,480000,4,48309232,19028728,296811921408,116912504832,0.6061057646290051,2.538752564017942,48927360,15360000,2376322560,940996608,2376322560,940996608,2.5253253197699093,False
4,layer,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.fc2,1920000,480000,4,58731319,22471529,360845223936,138065074176,0.6173842273149016,2.613588020646036,58795050,3840000,2916130944,1105076352,2916130944,1105076352,2.6388501923168475,False
4,layer,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.fc1,1920000,480000,4,86402592,32239672,530857525248,198080544768,0.6268668421428838,2.6800084070334216,86496592,15360000,4251910656,1570547712,4251910656,1570547712,2.7072788833555665,False
