attack_id,attack,result
A01,top double-seal leaf hash and exact population,PASS
A02,"payload double-seal, 120 NPZ, exact population",PASS
A03,R2 result double-seal and exact population,PASS
A04,1440 dtype/shape/byte/logical-array receipts,PASS
A05,rho/exact-zero/tau/source-work recomputation,PASS
A06,operator_runtime input_active Cartesian reconciliation,PASS
A07,per-pair/per-role integer-floor full mask = 159784111,PASS
A08,literal S10/T10 all-site ATLIF full mask = 45600000,PASS
A09,"frozen grid site=0, token diagnostic=2951",PASS
A10,token-only huge but site0 must remain NO-GO,PASS
A11,strict equality class and nextafter cliffs 1.15/1.20/1.30,PASS
A12,oracle/executable/system/admission red-line labels,PASS
A13,direct logical dtype/shape/value mutation sensitivity,PASS
A14,independent double-seal tamper sensitivity,PASS
A15,protected docs359 pre/post SHA,PASS
