config	status	train_samples_per_sec	train_step_time_sec	max_gpu_mem_gib	epoch_time_sec	log
bs8w4	0	5.0085	1.5973	37.077	25.56	neuron_experiments/E2_exp_atlif/results/corrected_loader_bench/bs8w4_20260426_004017.log
bs8w8	0	5.0360	1.5886	37.077	25.42	neuron_experiments/E2_exp_atlif/results/corrected_loader_bench/bs8w8_20260426_004054.log
bs12w4	0	5.4217	2.2133	55.399	22.13	neuron_experiments/E2_exp_atlif/results/corrected_loader_bench/bs12w4_20260426_004131.log
bs12w8	0	5.3356	2.2490	55.399	22.49	neuron_experiments/E2_exp_atlif/results/corrected_loader_bench/bs12w8_20260426_004203.log
bs14w4	0	5.4843	2.5528	64.560	22.97	neuron_experiments/E2_exp_atlif/results/corrected_loader_bench/bs14w4_20260426_004236.log
bs14w8	0	5.3661	2.6090	64.560	23.48	neuron_experiments/E2_exp_atlif/results/corrected_loader_bench/bs14w8_20260426_004309.log
bs16w4	0	5.5103	2.9037	73.721	23.23	neuron_experiments/E2_exp_atlif/results/corrected_loader_bench/bs16w4_20260426_004343.log
bs16w8	0	5.2980	3.0200	73.721	24.16	neuron_experiments/E2_exp_atlif/results/corrected_loader_bench/bs16w8_20260426_004416.log
bs16w2	0	5.5360	2.8902	73.721	23.12	neuron_experiments/E2_exp_atlif/results/corrected_loader_bench/bs16w2_20260426_004617.log
bs17w4	1	OOM				neuron_experiments/E2_exp_atlif/results/corrected_loader_bench/bs17w4_20260426_004651.log
bs18w4	1	OOM				neuron_experiments/E2_exp_atlif/results/corrected_loader_bench/bs18w4_20260426_004723.log
