layer,calls,spikes,elements,firing_rate,mean_call_firing_rate
sttmultires_unet.decoders.0.sn,40,10539247,66355200,0.15883076232156637,0.1588307623215664
sttmultires_unet.decoders.1.sn,40,21112028,133056000,0.1586702441077441,0.1586702441077441
sttmultires_unet.decoders.2.sn,40,32073669,266803200,0.12021470881908462,0.12021470881908461
sttmultires_unet.decoders.3.sn,40,77507310,536371200,0.14450311649842498,0.14450311649842495
sttmultires_unet.encoders.swin3d.layers.0.downsample.sn,40,53654199,265420800,0.20214768021195023,0.20214768021195026
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.attn_sn,40,222141,273715200,0.0008115771429573513,0.0008115771429573514
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.proj_sn,40,169319,273715200,0.0006185955328750468,0.0006185955328750467
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn2_q,40,56464,8553600,0.006601197156752712,0.006601197156752713
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_k,40,251088,273715200,0.0009173330527497194,0.00091733305274972
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_q,40,223066,273715200,0.0008149565679947625,0.0008149565679947624
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn1,40,49035568,265420800,0.18474651572145062,0.18474651572145057
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn2,40,81262558,1061683200,0.07654124883957851,0.07654124883957851
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.attn_sn,40,207191,273715200,0.0007569583274878414,0.0007569583274878415
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.proj_sn,40,247342,273715200,0.0009036472947063224,0.0009036472947063225
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn2_q,40,56500,8553600,0.006605405910961467,0.006605405910961469
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_k,40,267518,273715200,0.0009773589482790872,0.0009773589482790874
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_q,40,266787,273715200,0.0009746882891414142,0.0009746882891414141
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn1,40,51996981,265420800,0.19590394196686922,0.19590394196686922
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn2,40,82976315,1061683200,0.07815543751657746,0.07815543751657746
sttmultires_unet.encoders.swin3d.layers.1.downsample.sn,40,19352907,132710400,0.14582811143663194,0.14582811143663196
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.attn_sn,40,7779,149299200,5.2103427211934156e-05,5.210342721193415e-05
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.proj_sn,40,17590,149299200,0.00011781710819615912,0.00011781710819615909
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn2_q,40,5505,4665600,0.0011799125514403291,0.0011799125514403294
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_k,40,23917,149299200,0.00016019509816529492,0.0001601950981652949
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_q,40,27424,149299200,0.00018368484224965707,0.00018368484224965707
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn1,40,11624373,132710400,0.08759202745225694,0.08759202745225694
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn2,40,36869845,530841600,0.06945545526198399,0.06945545526198399
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.attn_sn,40,4296,149299200,2.87744341563786e-05,2.8774434156378603e-05
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.proj_sn,40,10652,149299200,7.134666495198902e-05,7.134666495198901e-05
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn2_q,40,1833,4665600,0.0003928755144032922,0.0003928755144032921
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn_k,40,7531,149299200,5.0442333247599454e-05,5.044233324759946e-05
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn_q,40,7458,149299200,4.995338220164609e-05,4.99533822016461e-05
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.sn1,40,16339160,132710400,0.12311891155478395,0.12311891155478398
