layer,calls,spikes,elements,firing_rate,mean_call_firing_rate
sttmultires_unet.decoders.0.sn,40,13715610,66355200,0.20669985170717592,0.206699851707176
sttmultires_unet.decoders.1.sn,40,26273891,133056000,0.19746490951178453,0.19746490951178453
sttmultires_unet.decoders.2.sn,40,45125812,266803200,0.16913519777873728,0.1691351977787373
sttmultires_unet.decoders.3.sn,40,145634970,536371200,0.27151899654567585,0.27151899654567574
sttmultires_unet.encoders.swin3d.layers.0.downsample.sn,40,76796929,265420800,0.28934028154538,0.28934028154538
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.attn_sn,40,0,273715200,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.proj_sn,40,73587403,273715200,0.2688466077148803,0.2688466077148802
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn2_q,40,701554,8553600,0.08201856528245417,0.08201856528245417
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_k,40,39474411,273715200,0.14421709499508978,0.14421709499508978
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_q,40,4503313,273715200,0.016452549949728768,0.01645254994972877
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn1,40,77791488,265420800,0.29308738425925923,0.2930873842592593
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn2,40,93389371,1061683200,0.0879635007881824,0.08796350078818238
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.attn_sn,40,0,273715200,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.proj_sn,40,37167668,273715200,0.13578956521230826,0.13578956521230828
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn2_q,40,17,8553600,1.987467265245043e-06,1.987467265245043e-06
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_k,40,13700028,273715200,0.05005212717452301,0.050052127174522995
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_q,40,13790900,273715200,0.05038412189019828,0.05038412189019829
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn1,40,76151322,265420800,0.28690789116753473,0.2869078911675348
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn2,40,86046442,1061683200,0.08104719185534819,0.0810471918553482
sttmultires_unet.encoders.swin3d.layers.1.downsample.sn,40,21685640,132710400,0.1634057315779321,0.16340573157793215
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.attn_sn,40,0,149299200,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.proj_sn,40,5186509,149299200,0.034739027402692045,0.03473902740269204
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn2_q,40,0,4665600,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_k,40,0,149299200,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_q,40,1176238,149299200,0.007878394525891633,0.007878394525891634
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn1,40,9990219,132710400,0.07527834291811343,0.07527834291811343
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn2,40,42535791,530841600,0.08012897067599827,0.08012897067599827
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.attn_sn,40,0,149299200,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.proj_sn,40,6674289,149299200,0.04470411763760288,0.04470411763760289
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn2_q,40,61280,4665600,0.013134430727023319,0.013134430727023323
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn_k,40,6962743,149299200,0.04663617085691015,0.04663617085691015
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn_q,40,380371,149299200,0.0025477095657578876,0.0025477095657578876
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.sn1,40,16953678,132710400,0.12774943033854166,0.12774943033854166
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.sn2,40,35213424,530841600,0.06633508752893519,0.06633508752893519
sttmultires_unet.encoders.swin3d.layers.2.downsample.sn,40,18626234,66355200,0.280704963589892,0.28070496358989194
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.attn_sn,40,0,74649600,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.proj_sn,40,2582749,74649600,0.034598296574931416,0.034598296574931416
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn2_q,40,361955,2332800,0.15515903635116599,0.15515903635116596
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn_k,40,2109062,74649600,0.02825282385973937,0.028252823859739366
