layer,calls,spikes,elements,firing_rate,mean_call_firing_rate
sttmultires_unet.decoders.0.sn,825,298726123,1368576000,0.21827514365296483,0.21827514365296485
sttmultires_unet.decoders.1.sn,825,560205671,2744280000,0.2041357554622706,0.20413575546227036
sttmultires_unet.decoders.2.sn,825,960075680,5502816000,0.17446988596384105,0.174469885963841
sttmultires_unet.decoders.3.sn,825,3000177855,11062656000,0.27119869360486304,0.27119869360486276
sttmultires_unet.encoders.swin3d.layers.0.downsample.sn,825,1453720477,5474304000,0.26555347985789607,0.26555347985789607
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.attn_sn,825,0,5645376000,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.proj_sn,825,1284596423,5645376000,0.22754842600386582,0.2275484260038663
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn2_q,825,10172999,176418000,0.05766417825845435,0.05766417825845439
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_k,825,645976802,5645376000,0.1144258242497931,0.11442582424979299
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_q,825,66974986,5645376000,0.011863689150200092,0.01186368915020009
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn1,825,1418424691,5474304000,0.25910594132149034,0.2591059413214907
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn2,825,1731802303,21897216000,0.07908778462979038,0.07908778462979024
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.attn_sn,825,0,5645376000,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.proj_sn,825,761395557,5645376000,0.1348706546738428,0.13487065467384274
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn2_q,825,441,176418000,2.499744923987348e-06,2.4997449239873503e-06
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_k,825,256859973,5645376000,0.04549917897408428,0.04549917897408424
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_q,825,262593761,5645376000,0.046514839932716615,0.04651483993271657
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn1,825,1400762808,5474304000,0.25587961647727275,0.25587961647727286
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn2,825,1681790603,21897216000,0.07680385501974316,0.07680385501974317
sttmultires_unet.encoders.swin3d.layers.1.downsample.sn,825,430078412,2737152000,0.15712624362841376,0.1571262436284139
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.attn_sn,825,0,3079296000,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.proj_sn,825,97082015,3079296000,0.031527340989628796,0.03152734098962878
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn2_q,825,0,96228000,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_k,825,0,3079296000,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_q,825,22641194,3079296000,0.007352717634160536,0.007352717634160534
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn1,825,188724476,2737152000,0.06894921290450805,0.06894921290450808
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn2,825,801215167,10948608000,0.07317963772198256,0.07317963772198259
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.attn_sn,825,0,3079296000,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.proj_sn,825,129427205,3079296000,0.04203142698850646,0.042031426988506516
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn2_q,825,1485198,96228000,0.015434156378600824,0.015434156378600806
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn_k,825,132006680,3079296000,0.042869110342104166,0.04286911034210417
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn_q,825,8443070,3079296000,0.0027418832096687035,0.002741883209668701
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.sn1,825,336634116,2737152000,0.1229870010872615,0.12298700108726164
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.sn2,825,718139092,10948608000,0.0655918169688786,0.06559181696887857
sttmultires_unet.encoders.swin3d.layers.2.downsample.sn,825,399897029,1368576000,0.2921993583111205,0.29219935831112037
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.attn_sn,825,0,1539648000,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.proj_sn,825,63242585,1539648000,0.041076002436920646,0.04107600243692067
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn2_q,825,9330266,48114000,0.19391998171010516,0.1939199817101051
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn_k,825,59388237,1539648000,0.03857260685559297,0.038572606855592995
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn_q,825,91543602,1539648000,0.05945748768549695,0.05945748768549695
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.sn1,825,208371629,1368576000,0.15225433516297232,0.1522543351629721
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.sn2,825,442416658,5474304000,0.08081696924394408,0.0808169692439441
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.attn_sn,825,0,1539648000,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.proj_sn,825,293949062,1539648000,0.19091965306355738,0.19091965306355727
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn2_q,825,2046202,48114000,0.0425282038491915,0.04252820384919154
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn_k,825,49804108,1539648000,0.032347723635532274,0.03234772363553225
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn_q,825,15870602,1539648000,0.010307941815272063,0.01030794181527207
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.sn1,825,241397574,1368576000,0.17638594714506173,0.17638594714506145
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.sn2,825,237112095,5474304000,0.043313651379243825,0.043313651379243874
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.attn_sn,825,0,1539648000,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.proj_sn,825,190952609,1539648000,0.12402354888909672,0.12402354888909668
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn2_q,825,5497638,48114000,0.11426275096645468,0.11426275096645477
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn_k,825,104328529,1539648000,0.06776128634596999,0.06776128634596995
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn_q,825,113563421,1539648000,0.07375934044664754,0.07375934044664757
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.sn1,825,302555869,1368576000,0.22107348733281892,0.22107348733281856
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.sn2,825,367102427,5474304000,0.0670591963836864,0.0670591963836864
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.attn_sn,825,0,1539648000,0.0,0.0
