layer,spikes,elements,firing_rate,dense_flops_share,effective_flops,synops,energy_uj,op_type
sttmultires_unet.decoders.0.sn,316348318,1368576000,0.2311514435442387,3608439908.7422166,834096093.8484043,316348318,284.7134862,mac
sttmultires_unet.decoders.1.sn,563682178,2744280000,0.20540257481015056,7235673775.342465,1486226023.9416254,563682178,507.31396020000005,mac
sttmultires_unet.decoders.2.sn,985067262,5502816000,0.17901148466530592,14508935466.400997,2597266078.7535553,985067262,886.5605357999999,mac
sttmultires_unet.decoders.3.sn,2976654928,11062656000,0.26907235730732293,29168222595.666252,7848362412.28064,2976654928,2678.9894351999997,mac
sttmultires_unet.encoders.swin3d.layers.0.downsample.sn,1425366776,5474304000,0.26037406325991397,14433759634.968866,3758176644.2737765,1425366776,1282.8300984,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.attn_sn,0,5645376000,0.0,14884814623.561644,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.proj_sn,1110538151,5645376000,0.1967164190657983,14884814623.561644,2928087431.205275,1110538151,999.4843359,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn2_q,10426990,176418000,0.05910388962577515,465150456.98630136,27492201.269097224,10426990,1.042699,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_k,544221460,5645376000,0.09640127778911449,14884814623.561644,1434915149.3654397,544221460,54.422146,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_q,71662430,5645376000,0.01269400479259486,14884814623.561644,188947908.16837755,71662430,7.166243000000001,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn1,1378574341,5474304000,0.25182641318421484,14433759634.968866,3634801917.6373115,1378574341,1240.7169069,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn2,1697393461,21897216000,0.07751640487082924,57735038539.875465,4475412622.689917,1697393461,1527.6541149,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.attn_sn,0,5645376000,0.0,14884814623.561644,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.proj_sn,802175795,5645376000,0.14209430780164156,14884814623.561644,2115047430.6907437,802175795,721.9582154999999,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn2_q,3811,176418000,2.1602104093686586e-05,465150456.98630136,10048.228591043968,3811,0.0003811,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_k,262939127,5645376000,0.04657601672590098,14884814623.561644,693275374.8689426,262939127,26.2939127,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_q,265024899,5645376000,0.04694548228497092,14884814623.561644,698774801.2254893,265024899,26.5024899,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn1,1363620032,5474304000,0.24909468527871306,14433759634.968866,3595372813.661162,1363620032,1227.2580288000001,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn2,1643794176,21897216000,0.07506863776655444,57735038539.875465,4334090694.587972,1643794176,1479.4147584,mac
sttmultires_unet.encoders.swin3d.layers.1.downsample.sn,453112724,2737152000,0.16554167397353162,7216879817.484433,1194694365.8521683,453112724,407.8014516,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.attn_sn,0,3079296000,0.0,8118989794.669988,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.proj_sn,82176080,3079296000,0.026686645259176123,8118989794.669988,216668600.51322916,82176080,73.958472,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn2_q,0,96228000,0.0,253718431.08343711,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_k,0,3079296000,0.0,8118989794.669988,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_q,17298198,3079296000,0.005617582070707071,8118989794.669988,45609091.50279181,17298198,1.7298198,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn1,185227153,2737152000,0.06767148956287411,7216879817.484433,488377007.2454146,185227153,166.7044377,mac
