layer,calls,spikes,elements,firing_rate,mean_call_firing_rate
sttmultires_unet.decoders.0.sn,40,15306250,66355200,0.2306714470003858,0.2306714470003858
sttmultires_unet.decoders.1.sn,40,26024119,133056000,0.19558771494708996,0.19558771494708996
sttmultires_unet.decoders.2.sn,40,43226961,266803200,0.16201815045696602,0.16201815045696605
sttmultires_unet.decoders.3.sn,40,97776976,536371200,0.18229348630202366,0.1822934863020237
sttmultires_unet.encoders.swin3d.layers.0.downsample.sn,40,73764595,265420800,0.2779156531816647,0.2779156531816648
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.attn_sn,40,0,273715200,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.proj_sn,40,66933823,273715200,0.2445382024819959,0.24453820248199584
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn2_q,40,1553919,8553600,0.18166842031425365,0.18166842031425365
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_k,40,47165885,273715200,0.1723173758709783,0.17231737587097828
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_q,40,9624139,273715200,0.035161141946081186,0.035161141946081186
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn1,40,71302563,265420800,0.2686396959092882,0.26863969590928816
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn2,40,108147822,1061683200,0.1018644940411603,0.1018644940411603
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.attn_sn,40,0,273715200,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.proj_sn,40,38514392,273715200,0.14070973040591095,0.14070973040591098
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn2_q,40,17465,8553600,0.0020418303404414516,0.0020418303404414516
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_k,40,32677142,273715200,0.11938373170361018,0.11938373170361019
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_q,40,25874661,273715200,0.09453132672208193,0.09453132672208191
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn1,40,76507198,265420800,0.28824869038146217,0.28824869038146217
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn2,40,105580242,1061683200,0.09944608900282118,0.09944608900282119
sttmultires_unet.encoders.swin3d.layers.1.downsample.sn,40,30922715,132710400,0.23300898045669366,0.23300898045669363
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.attn_sn,40,0,149299200,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.proj_sn,40,8732852,149299200,0.05849228930898491,0.058492289308984924
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn2_q,40,0,4665600,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_k,40,0,149299200,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_q,40,2880791,149299200,0.019295421542781205,0.01929542154278121
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn1,40,11185788,132710400,0.08428719979745371,0.08428719979745372
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn2,40,53854102,530841600,0.10145041760103202,0.10145041760103202
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.attn_sn,40,0,149299200,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.proj_sn,40,13698016,149299200,0.09174875685871056,0.09174875685871056
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn2_q,40,1472571,4665600,0.3156230709876543,0.31562307098765424
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn_k,40,13023738,149299200,0.08723247010030864,0.08723247010030864
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn_q,40,6052822,149299200,0.04054155682013032,0.040541556820130324
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.sn1,40,29089147,132710400,0.21919267065731096,0.21919267065731093
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.sn2,40,50868870,530841600,0.09582683421947338,0.09582683421947337
sttmultires_unet.encoders.swin3d.layers.2.downsample.sn,40,23062865,66355200,0.3475668071228781,0.34756680712287813
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.attn_sn,40,0,74649600,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.proj_sn,40,5074366,74649600,0.06797579625342935,0.06797579625342935
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn2_q,40,790172,2332800,0.33872256515775034,0.33872256515775034
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn_k,40,6187606,74649600,0.08288866919581618,0.08288866919581618
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn_q,40,10988279,74649600,0.14719809617198218,0.14719809617198218
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.sn1,40,13268176,66355200,0.19995683834876543,0.1999568383487655
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.sn2,40,25544046,265420800,0.09623980486834491,0.09623980486834491
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.attn_sn,40,0,74649600,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.proj_sn,40,19692927,74649600,0.26380485628858025,0.2638048562885802
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn2_q,40,130455,2332800,0.055922067901234565,0.055922067901234565
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn_k,40,1541683,74649600,0.020652260695301784,0.020652260695301787
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn_q,40,1354359,74649600,0.018142883551954734,0.018142883551954734
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.sn1,40,17299426,66355200,0.26070942443094136,0.26070942443094136
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.sn2,40,14487274,265420800,0.05458228593991127,0.05458228593991127
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.attn_sn,40,0,74649600,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.proj_sn,40,14361376,74649600,0.19238383058984912,0.1923838305898491
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn2_q,40,60304,2332800,0.02585048010973937,0.025850480109739372
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn_k,40,8312454,74649600,0.11135296103395062,0.11135296103395062
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn_q,40,8752792,74649600,0.11725169324417009,0.11725169324417013
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.sn1,40,19403305,66355200,0.2924157413435571,0.292415741343557
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.sn2,40,20599830,265420800,0.07761196560329861,0.07761196560329861
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.attn_sn,40,0,74649600,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.proj_sn,40,8693742,74649600,0.11646066422325103,0.11646066422325108
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.sn2_q,40,0,2332800,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.sn_k,40,1105177,74649600,0.014804861646947875,0.014804861646947876
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.sn_q,40,142649,74649600,0.0019109144590192045,0.0019109144590192047
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.sn1,40,20954793,66355200,0.3157972999855324,0.3157972999855324
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.sn2,40,20662893,265420800,0.07784956190321181,0.07784956190321181
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.attn.attn_sn,40,0,74649600,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.attn.proj_sn,40,20504355,74649600,0.27467468010545265,0.27467468010545265
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.attn.sn2_q,40,808662,2332800,0.34664866255144033,0.3466486625514403
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.attn.sn_k,40,2443238,74649600,0.03272941850994513,0.032729418509945124
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.attn.sn_q,40,10127537,74649600,0.13566766600222907,0.13566766600222904
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.sn1,40,20494238,66355200,0.30885654779128086,0.3088565477912808
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.sn2,40,14209235,265420800,0.0535347455813561,0.053534745581356104
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.attn.attn_sn,40,0,74649600,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.attn.proj_sn,40,20996001,74649600,0.28126073013117286,0.2812607301311728
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.attn.sn2_q,40,523494,2332800,0.22440586419753086,0.22440586419753084
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.attn.sn_k,40,7139660,74649600,0.09564230752743484,0.09564230752743483
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.attn.sn_q,40,1762869,74649600,0.02361525045010288,0.023615250450102876
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.sn1,40,21800069,66355200,0.32853595498167437,0.32853595498167437
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.sn2,40,15731188,265420800,0.059268859109760805,0.0592688591097608
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.attn.attn_sn,40,0,49766400,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.attn.proj_sn,40,2638962,49766400,0.053026982060185184,0.05302698206018519
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.attn.sn2_q,40,402206,1555200,0.2586201131687243,0.2586201131687242
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.attn.sn_k,40,1025774,49766400,0.02061177822788066,0.02061177822788066
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.attn.sn_q,40,6044277,49766400,0.12145296826774692,0.12145296826774692
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.sn1,40,4031417,33177600,0.12151020568094135,0.12151020568094137
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.sn2,40,7971568,132710400,0.06006739486882716,0.06006739486882716
