layer,spikes,elements,firing_rate,dense_flops,effective_flops,synops,energy_j,op_type
sttmultires_unet.decoders.0.sn,15501113,66355200,0.23360811209972993,45864714240.0,10714369305.599998,15501113,1.39510017e-05,accumulate
sttmultires_unet.decoders.1.sn,28311200,133056000,0.21277657527657529,45864714240.0,9758936822.025974,28311200,2.548008e-05,accumulate
sttmultires_unet.decoders.2.sn,51817398,266803200,0.19421580400834773,45864714240.0,8907652351.734715,51817398,4.66356582e-05,accumulate
sttmultires_unet.decoders.3.sn,160602500,536371200,0.2994241674422489,183458856960.0,54932015505.15463,160602500,0.00014454225,accumulate
sttmultires_unet.encoders.swin3d.layers.0.downsample.sn,71083267,265420800,0.2678134758089796,20384317440.0,5459194905.6,71083267,6.39749403e-05,accumulate
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.attn_sn,0,273715200,0.0,14925938688.0,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.proj_sn,66865654,273715200,0.24428915164375234,11194454016.0,2734683674.683636,66865654,6.01790886e-05,accumulate
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn2_q,1364200,8553600,0.1594884025439581,5597227008.0,892692794.1818182,1364200,1.3642e-07,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_k,31789329,273715200,0.1161401668595679,5597227008.0,650062878.6600001,31789329,3.1789329e-06,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_q,6049912,273715200,0.022102944958847737,5597227008.0,123715200.48,6049912,6.049912e-07,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn1,73557270,265420800,0.27713453504774305,24461180928.0,6779038003.2,73557270,6.6201543e-05,accumulate
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn2,90667245,1061683200,0.08539952878598814,16307453952.0,1392648883.2,90667245,8.16005205e-05,accumulate
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.attn_sn,0,273715200,0.0,14925938688.0,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.proj_sn,32548588,273715200,0.11891406834549195,11194454016.0,1331178069.949091,32548588,2.92937292e-05,accumulate
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn2_q,155920,8553600,0.018228582117471005,5597227008.0,102029512.14545454,155920,1.5592e-08,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_k,13224206,273715200,0.048313743628413765,5597227008.0,270422990.69454545,13224206,1.3224206e-06,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_q,16952751,273715200,0.06193573100799663,5597227008.0,346668346.35818183,16952751,1.6952751e-06,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn1,71519366,265420800,0.26945652337721837,24461180928.0,6591224770.56,71519366,6.43674294e-05,accumulate
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn2,83814101,1061683200,0.07894454861864632,16307453952.0,1287384591.3600001,83814101,7.54326909e-05,accumulate
sttmultires_unet.encoders.swin3d.layers.1.downsample.sn,22886971,132710400,0.1724580063054591,20384317440.0,3515438745.6,22886971,2.05982739e-05,accumulate
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.attn_sn,0,149299200,0.0,11378589696.0,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.proj_sn,3649379,149299200,0.02444339286479767,8533942272.0,208598503.64000002,3649379,3.2844411e-06,accumulate
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn2_q,0,4665600,0.0,4266971136.0,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_k,0,149299200,0.0,4266971136.0,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_q,820571,149299200,0.005496151352451989,4266971136.0,23451919.18,820571,8.20571e-08,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn1,8741896,132710400,0.06587197386188272,24461180928.0,1611306270.72,8741896,7.8677064e-06,accumulate
