layer,spikes,elements,firing_rate,dense_flops_share,effective_flops,synops,energy_uj,op_type
sttmultires_unet.decoders.0.sn,27275262,66355200,0.4110493525752315,3608439908.7422166,1483246888.2951157,27275262,24.5477358,mac
sttmultires_unet.decoders.1.sn,37405291,133056000,0.2811244212962963,7235673775.342465,2034124602.7819378,37405291,33.6647619,mac
sttmultires_unet.decoders.2.sn,47333531,266803200,0.17740990737742277,14508935466.400997,2574028897.239205,47333531,42.6001779,mac
sttmultires_unet.decoders.3.sn,120577569,536371200,0.2248024670228379,29168222595.666252,6557088398.177058,120577569,108.5198121,mac
sttmultires_unet.encoders.swin3d.layers.0.downsample.sn,95044047,265420800,0.35808816415292244,14433759634.968866,5168558489.510557,95044047,85.53964230000001,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.attn_sn,0,273715200,0.0,14884814623.561644,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.proj_sn,65231268,273715200,0.23831803275813693,14884814623.561644,3547319739.0567594,65231268,58.7081412,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn2_q,3697,8553600,0.0004322156752712308,465150456.98630136,201045.31886905586,3697,0.00036970000000000004,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_k,8418067,273715200,0.030754839336653572,14884814623.561644,457780082.30350995,8418067,0.8418067,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_q,76525,273715200,0.0002795789199869061,14884814623.561644,4161480.3966606706,76525,0.0076525000000000004,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn1,1883220,265420800,0.00709522388599537,14433759634.968866,102410756.12674692,1883220,1.694898,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn2,40208717,1061683200,0.03787261303560233,57735038539.875465,2186576773.2162905,40208717,36.1878453,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.attn_sn,0,273715200,0.0,14884814623.561644,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.proj_sn,47004185,273715200,0.17172661584011412,14884814623.561644,2556118842.7116833,47004185,42.303766499999995,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn2_q,696816,8553600,0.08146464646464646,465150456.98630136,37893317.53125778,696816,0.06968160000000001,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_k,1566235,273715200,0.005722133809156379,14884814623.561644,85172901.00050735,1566235,0.1566235,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_q,15950478,273715200,0.058273994283108865,14884814623.561644,867397602.2785665,15950478,1.5950478000000001,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn1,21254604,265420800,0.08007889359085649,14433759634.968866,1155839501.9246714,21254604,19.1291436,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn2,124114691,1061683200,0.11690369688434366,57735038539.875465,6749439445.071501,124114691,111.7032219,mac
sttmultires_unet.encoders.swin3d.layers.1.downsample.sn,20223990,132710400,0.15239189995659722,7216879817.484433,1099794027.1448734,20223990,18.201591,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.attn_sn,0,149299200,0.0,8118989794.669988,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.proj_sn,4852715,149299200,0.032503288698131,8118989794.669988,263893869.23333797,4852715,4.367443499999999,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn2_q,0,4665600,0.0,253718431.08343711,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_k,0,149299200,0.0,8118989794.669988,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_q,8,149299200,5.3583676268861454e-08,8118989794.669988,435.0453207877865,8,8.000000000000001e-07,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn1,9799430,132710400,0.07384070879147377,7216879817.484433,532899520.98593235,9799430,8.819487,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn2,29276477,530841600,0.05515106012791763,28867519269.937733,1592074291.0001566,29276477,26.348829300000002,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.attn_sn,0,149299200,0.0,8118989794.669988,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.proj_sn,7023726,149299200,0.047044632523148146,8118989794.669988,381954891.34943956,7023726,6.3213534,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn2_q,16,4665600,3.429355281207133e-06,253718431.08343711,870.090641575573,16,1.6000000000000001e-06,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn_k,617887,149299200,0.00413858212234225,8118989794.669988,33601106.015700385,617887,0.061788699999999995,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn_q,2876,149299200,1.9263331618655694e-05,8118989794.669988,156398.79282320928,2876,0.0002876,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.sn1,16640354,132710400,0.12538846993152006,7216879817.484433,904913517.9940408,16640354,14.976318599999999,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.sn2,28534972,530841600,0.053754212179301694,28867519269.937733,1551750755.9263132,28534972,25.6814748,mac
sttmultires_unet.encoders.swin3d.layers.2.downsample.sn,32331096,66355200,0.48724283854166667,3608439908.7422166,1758186503.8425903,32331096,29.0979864,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.attn_sn,0,74649600,0.0,4059494897.334994,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.proj_sn,1419581,74649600,0.019016592185356652,4059494897.334994,77197758.94115585,1419581,1.2776229,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn2_q,18837,2332800,0.008074845679012345,126859215.54171856,1024368.5884599418,18837,0.0018837,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn_k,51509,74649600,0.0006900103952331961,4059494897.334994,2801093.678557262,51509,0.005150900000000001,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn_q,151887,74649600,0.00203466595936214,4059494897.334994,8259716.079811816,151887,0.015188700000000001,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.sn1,249012,66355200,0.003752712673611111,3608439908.7422166,13541438.177501038,249012,0.2241108,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.sn2,5389437,265420800,0.02030525490089699,14433759634.968866,293081168.5663207,5389437,4.8504933,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.attn_sn,0,74649600,0.0,4059494897.334994,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.proj_sn,13669845,74649600,0.1831201372813786,4059494897.334994,743375262.8930401,13669845,12.302860500000001,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn2_q,154,2332800,6.601508916323731e-05,126859215.54171856,8374.622425164891,154,1.5399999999999998e-05,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn_k,141493,74649600,0.0018954287765775035,4059494897.334994,7694483.446778285,141493,0.014149300000000002,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn_q,24698,74649600,0.00033085240912208503,4059494897.334994,1343093.666602094,24698,0.0024698,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.sn1,10119154,66355200,0.1524997890142747,3608439908.7422166,550286324.7538767,10119154,9.1072386,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.sn2,15793850,265420800,0.059504944601176696,14433759634.968866,858880067.4655228,15793850,14.214465,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.attn_sn,0,74649600,0.0,4059494897.334994,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.proj_sn,9769876,74649600,0.13087646819272977,4059494897.334994,531292354.80961215,9769876,8.7928884,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn2_q,134010,2332800,0.05744598765432099,126859215.54171856,7287552.92984641,134010,0.013401,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn_k,2520128,74649600,0.03375943072702332,4059494897.334994,137046236.77328536,2520128,0.2520128,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn_q,2162949,74649600,0.028974689750514402,4059494897.334994,117622605.19407776,2162949,0.2162949,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.sn1,4822310,66355200,0.07267418378665123,3608439908.7422166,262240425.11101887,4822310,4.340079,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.sn2,45166032,265420800,0.17016764322916667,14433759634.968866,2456158860.018929,45166032,40.6494288,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.attn_sn,0,74649600,0.0,4059494897.334994,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.proj_sn,23186323,74649600,0.3106021063743141,4059494897.334994,1260887665.928029,23186323,20.8676907,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.sn2_q,0,2332800,0.0,126859215.54171856,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.sn_k,3964406,74649600,0.05310686192558299,4059494897.334994,215587035.00037822,3964406,0.39644060000000003,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.sn_q,58114,74649600,0.0007784904406721537,4059494897.334994,3160277.9715326787,58114,0.0058114,logic
