layer,spikes,elements,firing_rate,dense_flops_share,effective_flops,synops,energy_uj,op_type
sttmultires_unet.decoders.0.sn,16567029,66355200,0.24967190212673612,3608439908.7422166,900926055.7256954,16567029,14.910326099999999,mac
sttmultires_unet.decoders.1.sn,33161281,133056000,0.24922800174362675,7235673775.342465,1803332516.2973664,33161281,29.8451529,mac
sttmultires_unet.decoders.2.sn,44580335,266803200,0.16709070580862598,14508935466.400997,2424308267.6127486,44580335,40.1223015,mac
sttmultires_unet.decoders.3.sn,147160560,536371200,0.27436327677548683,29168222595.666252,8002689129.063788,147160560,132.444504,mac
sttmultires_unet.encoders.swin3d.layers.0.downsample.sn,108090950,265420800,0.4072437050901813,14433759634.968866,5878057752.125824,108090950,97.28185500000001,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.attn_sn,0,273715200,0.0,14884814623.561644,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.proj_sn,72105433,273715200,0.26343233039305086,14884814623.561644,3921141403.753406,72105433,64.8948897,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn2_q,1609404,8553600,0.18815516273849608,465150456.98630136,87520459.93214336,1609404,0.1609404,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_k,34577331,273715200,0.1263259439008137,14884814623.561644,1880338257.1100595,34577331,3.4577331,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_q,7272503,273715200,0.0265695986192948,14884814623.561644,395483550.0706425,7272503,0.7272503,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn1,92613631,265420800,0.34893132339289157,14433759634.968866,5036390850.964586,92613631,83.3522679,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn2,210184707,1061683200,0.19797309310347946,57735038539.875465,11429984160.18774,210184707,189.16623629999998,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.attn_sn,0,273715200,0.0,14884814623.561644,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.proj_sn,52305009,273715200,0.19109281837471942,14884814623.561644,2844381177.401633,52305009,47.074508099999996,mac
