layer,spikes,elements,firing_rate,dense_flops_share,effective_flops,synops,energy_uj,op_type
sttmultires_unet.decoders.0.sn,317477102,1368576000,0.23197623076833146,3608439908.7422166,837072288.9840413,317477102,285.72939180000003,mac
sttmultires_unet.decoders.1.sn,563572464,2744280000,0.20536259565350473,7235673775.342465,1485936747.8063228,563572464,507.21521759999996,mac
sttmultires_unet.decoders.2.sn,977908803,5502816000,0.17771061271174612,14508935466.400997,2578391811.5293055,977908803,880.1179227,mac
sttmultires_unet.decoders.3.sn,2939027622,11062656000,0.2656710668758027,29168222595.666252,7749152815.861548,2939027622,2645.1248597999997,mac
sttmultires_unet.encoders.swin3d.layers.0.downsample.sn,1405945013,5474304000,0.256826258278678,14433759634.968866,3706968479.942871,1405945013,1265.3505117,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.attn_sn,0,5645376000,0.0,14884814623.561644,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.proj_sn,1076616252,5645376000,0.19070762549739823,14884814623.561644,2838647652.8283906,1076616252,968.9546268,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn2_q,9224638,176418000,0.052288530648800007,465150456.98630136,24322033.926431548,9224638,0.9224638000000001,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_k,518508243,5645376000,0.0918465382996633,14884814623.561644,1367118696.4063427,518508243,51.8508243,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_q,63860502,5645376000,0.011312001538958609,14884814623.561644,168377045.92884293,63860502,6.386050200000001,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn1,1352809960,5474304000,0.2471199918747662,14433759634.968866,3566870563.7158346,1352809960,1217.528964,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn2,1656016445,21897216000,0.07562680319726489,57735038539.875465,4366316397.241666,1656016445,1490.4148005000002,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.attn_sn,0,5645376000,0.0,14884814623.561644,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.proj_sn,793213584,5645376000,0.14050677651940277,14884814623.561644,2091417321.845514,793213584,713.8922256,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn2_q,2393,176418000,1.3564375517237471e-05,465150456.98630136,6309.475470576807,2393,0.0002393,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_k,257859333,5645376000,0.0456762017268646,14884814623.561644,679881795.4127859,257859333,25.7859333,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_q,262107464,5645376000,0.04642869916901903,14884814623.561644,691082580.3439589,262107464,26.2107464,logic
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn1,1340614461,5474304000,0.2448922202712893,14433759634.968866,3534715443.86964,1340614461,1206.5530149,mac
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn2,1590289442,21897216000,0.07262518860845141,57735038539.875465,4193018063.274667,1590289442,1431.2604978,mac
sttmultires_unet.encoders.swin3d.layers.1.downsample.sn,454851249,2737152000,0.16617683234252245,7216879817.484433,1199278227.4662447,454851249,409.36612410000004,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.attn_sn,0,3079296000,0.0,8118989794.669988,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.proj_sn,81637968,3079296000,0.02651189362763437,8118989794.669988,215249793.80013973,81637968,73.4741712,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn2_q,0,96228000,0.0,253718431.08343711,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_k,0,3079296000,0.0,8118989794.669988,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_q,16987121,3079296000,0.0055165599539635036,8118989794.669988,44788893.96791482,16987121,1.6987121,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn1,184530921,2737152000,0.06741712590312851,7216879817.484433,486541295.2830951,184530921,166.07782890000001,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn2,783491339,10948608000,0.07156081750301042,28867519269.937733,2065783278.240651,783491339,705.1422051,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.attn_sn,0,3079296000,0.0,8118989794.669988,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.proj_sn,161159130,3079296000,0.0523363554526749,8118989794.669988,424918335.81048846,161159130,145.043217,mac
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn2_q,2087136,96228000,0.021689487467265244,253718431.08343711,5503022.73119841,2087136,0.2087136,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn_k,148242563,3079296000,0.04814170609126242,8118989794.669988,390862020.45296156,148242563,14.8242563,logic
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn_q,18022334,3079296000,0.005852744913123,8118989794.669988,47518376.22045232,18022334,1.8022334000000002,logic
