path=dc_handoff/filelists/date_m188_fc2_dual_window_k7_weakest_bank_defer_frontend_rtl.f expected=ca33eed3b54e56aa960740210f7dc80bdc15f2a72aed11d95f682f32cd8a129c observed=ca33eed3b54e56aa960740210f7dc80bdc15f2a72aed11d95f682f32cd8a129c
path=dc_handoff/runs/m184_fc2_dual_window_k8_fixed_bank_frontend_logic_only_dc_3p000ns_r1_sealed_20260825/RUN_COMPLETE.txt expected=ee772129cfa156349f98c737f53aa435e474dddfb70738833348927826641e8f observed=ee772129cfa156349f98c737f53aa435e474dddfb70738833348927826641e8f
path=contracts/m187_h67_fc2_fixed_bank_kcap_exact_payload_dse_contract_r1_20260825.json expected=ad1316e92eedc2b6ca71cc21ca0795f401bbe6f9436652a0e01077a8fc5a1f9d observed=ad1316e92eedc2b6ca71cc21ca0795f401bbe6f9436652a0e01077a8fc5a1f9d
path=contracts/m188_fc2_dual_window_k7_weakest_bank_defer_frontend_vcs_contract_r1_20260825.json expected=ec1473bb7930cd7b4d274099deb7a570b96b8d07967e082b502c9770cf055fe1 observed=ec1473bb7930cd7b4d274099deb7a570b96b8d07967e082b502c9770cf055fe1
path=rtl_m188/m188_fc2_dual_window_k7_weakest_bank_defer_frontend.sv expected=e5401fce15191b261ccf5c413a221d2e9042daf16c9e0773654b4f27b851f0ee observed=e5401fce15191b261ccf5c413a221d2e9042daf16c9e0773654b4f27b851f0ee
path=dc_handoff/scripts/run_dc_m135r3_flattened_logic_only.tcl expected=837b50d1c1700ef83edebd070ca3ebb6a6de166a2d649272f7b597c13e56dbe9 observed=837b50d1c1700ef83edebd070ca3ebb6a6de166a2d649272f7b597c13e56dbe9
path=contracts/m188_fc2_dual_window_k7_weakest_bank_defer_frontend_logic_only_dc_contract_r1_20260825.json expected=2af9362b8c82480606a7bf8a9fb8508177731fbe06f132de3192dad35c6782f4 observed=2af9362b8c82480606a7bf8a9fb8508177731fbe06f132de3192dad35c6782f4
path=dc_handoff/constraints/date_m180_logic_only_3ns_maxfanout16.sdc expected=c4ad2bed6eb2851175d99a8a1a9fbd0f79cf637967de332876f4bd663d8a685a observed=c4ad2bed6eb2851175d99a8a1a9fbd0f79cf637967de332876f4bd663d8a685a
path=docs/359_DATE终局冻结_20260813.md expected=dedde7ce44c3e595098f25ce6550dc0f6dfd66ce7227bcffd3dab0426a7bdfc4 observed=dedde7ce44c3e595098f25ce6550dc0f6dfd66ce7227bcffd3dab0426a7bdfc4
path=results/m187_h67_fc2_fixed_bank_kcap_exact_payload_dse_r1_20260825/m187_h67_fc2_fixed_bank_kcap_exact_payload_dse.json expected=411e61ff9c5e0a8b4ff27e86cf15d5ae87b8ef523fc25e43b0939417d65cd201 observed=411e61ff9c5e0a8b4ff27e86cf15d5ae87b8ef523fc25e43b0939417d65cd201
path=dc_handoff/runs/m180_fc2_dual_window_k4_reservoir_frontend_logic_only_dc_3p000ns_r1_sealed_20260824/RUN_COMPLETE.txt expected=3bb31c56d23e960852e0b27e264bfa4e14506f234ed159bd7655f1cee4ba5b27 observed=3bb31c56d23e960852e0b27e264bfa4e14506f234ed159bd7655f1cee4ba5b27
path=dc_handoff/runs/m188_fc2_dual_window_k7_weakest_bank_defer_frontend_vcs_r1_sealed_20260825/RUN_COMPLETE.txt expected=ee5d41c6e5b6701a553769d36d948ca9ada1033a1a7badee64fae62c1c2deb99 observed=ee5d41c6e5b6701a553769d36d948ca9ada1033a1a7badee64fae62c1c2deb99
