evidence,family,corner,voltage_v,word,io,mux,seg,area_um2,cycle_ns,access_ns,readc_uA_per_MHz,writec_uA_per_MHz,leakage_uA,vt,notes
foundry_QRT,SP,tt1v85c,1.0,32,16,4,s,1276.818,0.358,0.251,1.970,1.916,48.312,svt,exact QRT row
foundry_QRT,SP,tt1v85c,1.0,32,48,4,s,2937.195,0.365,0.269,4.541,4.396,90.800,svt,exact QRT row
foundry_QRT,SP,tt1v85c,1.0,32,64,4,s,3767.384,0.369,0.278,5.827,5.636,112.044,svt,exact QRT row
foundry_QRT,SP,tt1v85c,1.0,64,32,4,s,2310.500,0.357,0.254,3.366,3.278,72.610,svt,exact QRT row
foundry_QRT,SP,tt1v85c,1.0,64,64,4,s,4131.236,0.363,0.272,6.046,5.863,116.273,svt,exact QRT row
foundry_QRT,SP,tt1v85c,1.0,64,96,4,s,5951.972,0.388,0.294,8.725,8.448,159.937,svt,exact QRT row
foundry_QRT,SP,tt1v85c,1.0,128,32,4,s,2717.487,0.359,0.258,3.551,3.514,78.478,svt,exact QRT row
foundry_QRT,SP,tt1v85c,1.0,128,64,4,s,4858.940,0.366,0.276,6.378,6.309,123.864,svt,exact QRT row
foundry_QRT,SP,tt1v85c,1.0,256,32,4,s,3531.462,0.364,0.265,3.769,3.827,90.917,svt,exact QRT row
foundry_QRT,SP,tt1v85c,1.0,256,64,4,s,6314.348,0.372,0.283,6.736,6.848,141.005,svt,exact QRT row
foundry_QRT,SP,tt1v85c,1.0,256,128,4,s,11880.121,0.428,0.331,12.671,12.890,241.180,svt,exact QRT row
foundry_QRT,SP,tt1v85c,1.0,2048,128,4,s,57933.258,0.635,0.550,22.213,25.937,875.047,svt,exact QRT row
foundry_QRT,SP,ssg0p9v125c,0.9,32,16,4,s,1276.818,0.469,0.329,1.758,1.716,68.020,svt,exact QRT row
foundry_QRT,SP,ssg0p9v125c,0.9,32,48,4,s,2937.195,0.479,0.351,4.100,3.983,127.027,svt,exact QRT row
foundry_QRT,SP,ssg0p9v125c,0.9,32,64,4,s,3767.384,0.484,0.362,5.271,5.117,156.530,svt,exact QRT row
foundry_QRT,SP,ssg0p9v125c,0.9,64,32,4,s,2310.500,0.465,0.331,3.015,2.963,101.830,svt,exact QRT row
foundry_QRT,SP,ssg0p9v125c,0.9,64,64,4,s,4131.236,0.474,0.353,5.408,5.307,161.775,svt,exact QRT row
foundry_QRT,SP,ssg0p9v125c,0.9,64,96,4,s,5951.972,0.500,0.379,7.801,7.651,221.720,svt,exact QRT row
foundry_QRT,SP,ssg0p9v125c,0.9,128,32,4,s,2717.487,0.469,0.336,3.156,3.147,113.333,svt,exact QRT row
foundry_QRT,SP,ssg0p9v125c,0.9,128,64,4,s,4858.940,0.479,0.358,5.661,5.644,178.546,svt,exact QRT row
foundry_QRT,SP,ssg0p9v125c,0.9,256,32,4,s,3531.462,0.477,0.346,3.325,3.424,133.001,svt,exact QRT row
foundry_QRT,SP,ssg0p9v125c,0.9,256,64,4,s,6314.348,0.488,0.369,5.915,6.110,204.536,svt,exact QRT row
foundry_QRT,SP,ssg0p9v125c,0.9,256,128,4,s,11880.121,0.543,0.425,11.095,11.483,347.605,svt,exact QRT row
foundry_QRT,SP,ssg0p9v125c,0.9,2048,128,4,s,57933.258,0.800,0.701,19.831,22.732,1311.680,svt,exact QRT row
foundry_QRT,DP,tt1v85c,1.0,32,36,4,f,8274.341,0.576,0.415,6.698,4.473,272.545,svt,QRT type column says spsram but package is DPSRAM
foundry_QRT,DP,tt1v85c,1.0,32,72,4,f,14782.335,0.733,0.477,12.044,7.932,431.237,svt,QRT type column says spsram but package is DPSRAM
foundry_QRT,DP,tt1v85c,1.0,64,36,8,f,14782.335,0.711,0.475,9.157,6.628,398.490,svt,QRT type column says spsram but package is DPSRAM
foundry_QRT,DP,tt1v85c,1.0,128,36,4,f,9982.729,0.577,0.413,7.017,5.147,325.788,svt,QRT type column says spsram but package is DPSRAM
foundry_QRT,DP,tt1v85c,1.0,128,72,4,f,17834.415,0.738,0.475,12.633,9.231,519.149,svt,QRT type column says spsram but package is DPSRAM
foundry_QRT,DP,tt1v85c,1.0,256,36,4,f,12260.578,0.578,0.410,7.441,6.045,396.778,svt,QRT type column says spsram but package is DPSRAM
foundry_QRT,DP,tt1v85c,1.0,256,72,4,f,21903.855,0.745,0.472,13.419,10.963,636.367,svt,QRT type column says spsram but package is DPSRAM
foundry_QRT,DP,ssg0p9v125c,0.9,32,36,4,f,8274.341,0.710,0.536,5.914,3.971,374.122,svt,QRT type column says spsram but package is DPSRAM
foundry_QRT,DP,ssg0p9v125c,0.9,32,72,4,f,14782.335,0.876,0.608,10.620,7.039,600.486,svt,QRT type column says spsram but package is DPSRAM
foundry_QRT,DP,ssg0p9v125c,0.9,64,36,8,f,14782.335,0.853,0.605,8.143,5.933,555.925,svt,QRT type column says spsram but package is DPSRAM
foundry_QRT,DP,ssg0p9v125c,0.9,128,36,4,f,9982.729,0.710,0.533,6.219,4.592,456.753,svt,QRT type column says spsram but package is DPSRAM
foundry_QRT,DP,ssg0p9v125c,0.9,128,72,4,f,17834.415,0.880,0.605,11.185,8.236,736.568,svt,QRT type column says spsram but package is DPSRAM
foundry_QRT,DP,ssg0p9v125c,0.9,256,36,4,f,12260.578,0.709,0.529,6.624,5.420,566.927,svt,QRT type column says spsram but package is DPSRAM
foundry_QRT,DP,ssg0p9v125c,0.9,256,72,4,f,21903.855,0.885,0.600,11.938,9.832,918.010,svt,QRT type column says spsram but package is DPSRAM
generated_datasheet,SP,ssg0p9v125c,0.9,128,128,4,s,8758.3606,0.6160,0.4679,11.6754,11.1923,66.6783,hvt,generated TS1N28HPCPHVTB128X128M4S with DB LIB LEF GDS V DS
generated_datasheet,SP,ffg1p05vm40c,1.05,128,128,4,s,8758.3606,0.3811,0.2887,13.3596,12.5927,3.0361,hvt,generated TS1N28HPCPHVTB128X128M4S with DB LIB LEF GDS V DS
