layer,calls,spikes,elements,firing_rate,mean_call_firing_rate
sttmultires_unet.decoders.0.sn,40,13947192,66355200,0.21018988715277778,0.21018988715277778
sttmultires_unet.decoders.1.sn,40,25040136,133056000,0.18819246031746031,0.18819246031746034
sttmultires_unet.decoders.2.sn,40,40866837,266803200,0.15317221457613703,0.15317221457613706
sttmultires_unet.decoders.3.sn,40,135958823,536371200,0.2534789768727329,0.25347897687273296
sttmultires_unet.encoders.swin3d.layers.0.downsample.sn,40,74807972,265420800,0.2818466827015818,0.28184668270158186
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.attn_sn,40,0,273715200,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.proj_sn,40,71494433,273715200,0.26120008315212306,0.261200083152123
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn2_q,40,606218,8553600,0.07087284885895997,0.07087284885895997
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_k,40,37685843,273715200,0.13768268258394126,0.13768268258394126
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.attn.sn_q,40,4259561,273715200,0.015562018477600074,0.015562018477600073
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn1,40,76796954,265420800,0.289340375735436,0.2893403757354359
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.sn2,40,88615536,1061683200,0.08346702293113425,0.08346702293113428
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.attn_sn,40,0,273715200,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.proj_sn,40,36484815,273715200,0.13329480788790685,0.13329480788790682
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn2_q,40,70,8553600,8.183688739244294e-06,8.183688739244294e-06
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_k,40,13580308,273715200,0.049614738238870186,0.04961473823887018
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.attn.sn_q,40,14066881,273715200,0.05139239983749532,0.05139239983749533
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn1,40,74267745,265420800,0.2798113222475405,0.27981132224754046
sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.sn2,40,81950148,1061683200,0.0771888902452257,0.07718889024522572
sttmultires_unet.encoders.swin3d.layers.1.downsample.sn,40,21126800,132710400,0.15919475790895063,0.15919475790895057
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.attn_sn,40,0,149299200,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.proj_sn,40,5250670,149299200,0.035168775184327844,0.03516877518432785
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn2_q,40,0,4665600,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_k,40,0,149299200,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.attn.sn_q,40,1312756,149299200,0.008792786565500687,0.008792786565500687
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn1,40,9238255,132710400,0.06961214042004243,0.06961214042004246
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.sn2,40,38986478,530841600,0.07344277087553047,0.07344277087553047
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.attn_sn,40,0,149299200,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.proj_sn,40,6699795,149299200,0.04487495579346708,0.04487495579346707
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn2_q,40,158999,4665600,0.03407900377229081,0.03407900377229081
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn_k,40,7077798,149299200,0.04740680459104938,0.04740680459104937
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.attn.sn_q,40,743382,149299200,0.004979142554012345,0.004979142554012346
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.sn1,40,16221177,132710400,0.12222988552517361,0.1222298855251736
sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.sn2,40,31274621,530841600,0.05891516603069541,0.05891516603069539
sttmultires_unet.encoders.swin3d.layers.2.downsample.sn,40,18367812,66355200,0.2768104383680556,0.2768104383680556
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.attn_sn,40,0,74649600,0.0,0.0
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.proj_sn,40,2330503,74649600,0.031219229573902607,0.031219229573902607
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn2_q,40,344424,2332800,0.1476440329218107,0.14764403292181072
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn_k,40,1851273,74649600,0.024799503279320987,0.024799503279320984
