family,operators,calls,dense_macs_per_frame,active_macs_proxy_per_frame,dense_dot_share_percent
patch_residual_conv3x3,4,160,254803968000.0,10830042900.0,36.14750307115299
FC1,12,480,84934656000.0,9607078300.8,12.04916769038433
FC2,12,480,84934656000.0,2835681444.0,12.04916769038433
decoder_convtranspose,4,160,78848509440.0,15141017305.730114,11.185762763075319
bottleneck_conv3x3,4,160,63700992000.0,6420540211.2,9.036875767788247
patch_other_convolution,4,160,52199424000.0,5834635740.6,7.405217643048702
QK_projection,24,960,49766400000.0,2953760121.6,7.060059193584568
attention_output_projection,12,480,24883200000.0,775742193.6,3.530029596792284
downsample,3,120,10616832000.0,1787535940.8,1.5061459612980412
flow_heads,4,160,211968000.0,20126823.8,0.03007062249119353
