capture_00.npz 0 [('independent_Y', 0), ('pair_2_3', 0), ('common_word', 0), ('row_word', 0)]
capture_00.npz 216 [('independent_Y', 0), ('pair_2_3', 7), ('common_word', 2), ('row_word', 2)]
capture_00.npz 432 [('independent_Y', 0), ('pair_2_3', 93), ('common_word', 469), ('row_word', 593)]
capture_00.npz 648 [('independent_Y', 0), ('pair_2_3', 5573), ('common_word', 9396), ('row_word', 10349)]
capture_00.npz 864 [('independent_Y', 0), ('pair_2_3', 0), ('common_word', 0), ('row_word', 0)]
capture_01.npz 0 [('independent_Y', 0), ('pair_2_3', 0), ('common_word', 18307), ('row_word', 18327)]
capture_01.npz 216 [('independent_Y', 0), ('pair_2_3', 5), ('common_word', 18193), ('row_word', 18293)]
capture_01.npz 432 [('independent_Y', 0), ('pair_2_3', 147), ('common_word', 19216), ('row_word', 19738)]
capture_01.npz 648 [('independent_Y', 0), ('pair_2_3', 2278), ('common_word', 5706), ('row_word', 6602)]
capture_01.npz 864 [('independent_Y', 0), ('pair_2_3', 0), ('common_word', 0), ('row_word', 0)]
capture_02.npz 0 [('independent_Y', 0), ('pair_2_3', 0), ('common_word', 10697), ('row_word', 10697)]
capture_02.npz 216 [('independent_Y', 0), ('pair_2_3', 0), ('common_word', 12614), ('row_word', 12615)]
capture_02.npz 432 [('independent_Y', 0), ('pair_2_3', 106), ('common_word', 11771), ('row_word', 11778)]
capture_02.npz 648 [('independent_Y', 0), ('pair_2_3', 3642), ('common_word', 6759), ('row_word', 7458)]
capture_02.npz 864 [('independent_Y', 0), ('pair_2_3', 0), ('common_word', 0), ('row_word', 0)]
capture_03.npz 0 [('independent_Y', 0), ('pair_2_3', 0), ('common_word', 940), ('row_word', 1289)]
capture_03.npz 216 [('independent_Y', 0), ('pair_2_3', 0), ('common_word', 1265), ('row_word', 1725)]
capture_03.npz 432 [('independent_Y', 0), ('pair_2_3', 198), ('common_word', 2075), ('row_word', 2837)]
capture_03.npz 648 [('independent_Y', 0), ('pair_2_3', 1851), ('common_word', 2992), ('row_word', 3036)]
capture_03.npz 864 [('independent_Y', 0), ('pair_2_3', 0), ('common_word', 0), ('row_word', 0)]
