context,p,word,anchor,last_gate_read,last_PED_read,last_write,physical_free,local_outputs_done,output_policy_extra_hold
0,0,0,True,32728,34838,22927,34838,70434,35596
0,0,1,True,32729,34844,22927,34844,70434,35590
0,0,2,True,32730,34853,22927,34853,70434,35581
0,0,3,True,32832,34862,22988,34862,70434,35572
0,0,4,True,32833,34868,22988,34868,70434,35566
0,0,5,True,32834,34877,22988,34877,70434,35557
0,0,6,True,32936,34886,23049,34886,70434,35548
0,0,7,True,32937,34892,23049,34892,70434,35542
0,0,8,True,32938,34901,23049,34901,70434,35533
0,0,9,True,33040,34910,23110,34910,70434,35524
0,0,10,True,33041,34916,23110,34916,70434,35518
0,0,11,True,33042,34925,23110,34925,70434,35509
0,0,12,True,33144,34934,23171,34934,70434,35500
0,0,13,True,33145,34940,23171,34940,70434,35494
0,0,14,True,33146,34949,23171,34949,70434,35485
0,0,15,True,33248,34958,23232,34958,70434,35476
0,0,16,True,33249,34964,23232,34964,70434,35470
0,0,17,True,33250,34973,23232,34973,70434,35461
0,0,18,True,33352,34982,23293,34982,70434,35452
0,0,19,True,33353,34988,23293,34988,70434,35446
0,0,20,True,33354,34997,23293,34997,70434,35437
0,0,21,True,33456,35006,23354,35006,70434,35428
0,0,22,True,33457,35012,23354,35012,70434,35422
0,0,23,True,33458,35021,23354,35021,70434,35413
0,0,24,True,33560,35030,23415,35030,70434,35404
0,0,25,True,33561,35036,23415,35036,70434,35398
0,0,26,True,33562,35045,23415,35045,70434,35389
0,0,27,True,33664,35054,23476,35054,70434,35380
0,0,28,True,33665,35060,23476,35060,70434,35374
0,0,29,True,33666,35069,23476,35069,70434,35365
0,0,30,True,33768,35078,23537,35078,70434,35356
0,0,31,True,33769,35084,23537,35084,70434,35350
0,0,32,True,33770,35093,23537,35093,70434,35341
0,0,33,True,33872,35102,23598,35102,70434,35332
0,0,34,True,33873,35108,23598,35108,70434,35326
0,0,35,True,33874,35117,23598,35117,70434,35317
0,0,36,True,32713,36014,23609,36014,70434,34420
