context,p,word,anchor,last_gate_read,last_PED_read,last_write,physical_free,local_outputs_done,output_policy_extra_hold
0,0,0,True,179207,33590,22927,179207,180381,1174
0,0,1,True,179208,33596,22927,179208,180381,1173
0,0,2,True,179209,33605,22927,179209,180381,1172
0,0,3,True,179311,33614,22988,179311,180381,1070
0,0,4,True,179312,33620,22988,179312,180381,1069
0,0,5,True,179313,33629,22988,179313,180381,1068
0,0,6,True,179415,33638,23049,179415,180381,966
0,0,7,True,179416,33644,23049,179416,180381,965
0,0,8,True,179417,33653,23049,179417,180381,964
0,0,9,True,179519,33662,23110,179519,180381,862
0,0,10,True,179520,33668,23110,179520,180381,861
0,0,11,True,179521,33677,23110,179521,180381,860
0,0,12,True,179623,33686,23171,179623,180381,758
0,0,13,True,179624,33692,23171,179624,180381,757
0,0,14,True,179625,33701,23171,179625,180381,756
0,0,15,True,179727,33710,23232,179727,180381,654
0,0,16,True,179728,33716,23232,179728,180381,653
0,0,17,True,179729,33725,23232,179729,180381,652
0,0,18,True,179831,33734,23293,179831,180381,550
0,0,19,True,179832,33740,23293,179832,180381,549
0,0,20,True,179833,33749,23293,179833,180381,548
0,0,21,True,179935,33758,23354,179935,180381,446
0,0,22,True,179936,33764,23354,179936,180381,445
0,0,23,True,179937,33773,23354,179937,180381,444
0,0,24,True,180039,33782,23415,180039,180381,342
0,0,25,True,180040,33788,23415,180040,180381,341
0,0,26,True,180041,33797,23415,180041,180381,340
0,0,27,True,180143,33806,23476,180143,180381,238
0,0,28,True,180144,33812,23476,180144,180381,237
0,0,29,True,180145,33821,23476,180145,180381,236
0,0,30,True,180247,33830,23537,180247,180381,134
0,0,31,True,180248,33836,23537,180248,180381,133
0,0,32,True,180249,33845,23537,180249,180381,132
0,0,33,True,180351,33854,23598,180351,180381,30
0,0,34,True,180352,33860,23598,180352,180381,29
0,0,35,True,180353,33869,23598,180353,180381,28
0,0,36,True,179192,34766,23609,179192,180381,1189
0,0,37,True,179193,34772,23609,179193,180381,1188
0,0,38,True,179194,34781,23609,179194,180381,1187
0,0,39,True,179296,34790,23620,179296,180381,1085
0,0,40,True,179297,34796,23620,179297,180381,1084
0,0,41,True,179298,34805,23620,179298,180381,1083
0,0,42,True,179400,34814,23631,179400,180381,981
0,0,43,True,179401,34820,23631,179401,180381,980
0,0,44,True,179402,34829,23631,179402,180381,979
0,0,45,True,179504,34838,23642,179504,180381,877
0,0,46,True,179505,34844,23642,179505,180381,876
0,0,47,True,179506,34853,23642,179506,180381,875
0,0,48,True,179608,34862,23653,179608,180381,773
0,0,49,True,179609,34868,23653,179609,180381,772
0,0,50,True,179610,34877,23653,179610,180381,771
0,0,51,True,179712,34886,23664,179712,180381,669
0,0,52,True,179713,34892,23664,179713,180381,668
0,0,53,True,179714,34901,23664,179714,180381,667
0,0,54,True,179816,34910,23675,179816,180381,565
0,0,55,True,179817,34916,23675,179817,180381,564
0,0,56,True,179818,34925,23675,179818,180381,563
0,0,57,True,179920,34934,23686,179920,180381,461
0,0,58,True,179921,34940,23686,179921,180381,460
0,0,59,True,179922,34949,23686,179922,180381,459
0,0,60,True,180024,34958,23697,180024,180381,357
0,0,61,True,180025,34964,23697,180025,180381,356
0,0,62,True,180026,34973,23697,180026,180381,355
0,0,63,True,180128,34982,23708,180128,180381,253
0,0,64,True,180129,34988,23708,180129,180381,252
0,0,65,True,180130,34997,23708,180130,180381,251
0,0,66,True,180232,35006,23719,180232,180381,149
0,0,67,True,180233,35012,23719,180233,180381,148
0,0,68,True,180234,35021,23719,180234,180381,147
0,0,69,True,180336,35030,23730,180336,180381,45
0,0,70,True,180337,35036,23730,180337,180381,44
0,0,71,True,180338,35045,23730,180338,180381,43
0,0,72,True,179227,35942,23791,179227,180381,1154
0,0,73,True,179228,35948,23791,179228,180381,1153
0,0,74,True,179229,35957,23791,179229,180381,1152
0,0,75,True,179331,35966,23852,179331,180381,1050
0,0,76,True,179332,35972,23852,179332,180381,1049
0,0,77,True,179333,35981,23852,179333,180381,1048
0,0,78,True,179435,35990,23913,179435,180381,946
0,0,79,True,179436,35996,23913,179436,180381,945
0,0,80,True,179437,36005,23913,179437,180381,944
0,0,81,True,179539,36014,23974,179539,180381,842
0,0,82,True,179540,36020,23974,179540,180381,841
0,0,83,True,179541,36029,23974,179541,180381,840
0,0,84,True,179643,36038,24035,179643,180381,738
0,0,85,True,179644,36044,24035,179644,180381,737
0,0,86,True,179645,36053,24035,179645,180381,736
0,0,87,True,179747,36062,24096,179747,180381,634
0,0,88,True,179748,36068,24096,179748,180381,633
0,0,89,True,179749,36077,24096,179749,180381,632
0,0,90,True,179851,36086,24157,179851,180381,530
0,0,91,True,179852,36092,24157,179852,180381,529
0,0,92,True,179853,36101,24157,179853,180381,528
0,0,93,True,179955,36110,24218,179955,180381,426
0,0,94,True,179956,36116,24218,179956,180381,425
0,0,95,True,179957,36125,24218,179957,180381,424
0,0,96,True,180059,36134,24279,180059,180381,322
0,0,97,True,180060,36140,24279,180060,180381,321
0,0,98,True,180061,36149,24279,180061,180381,320
0,0,99,True,180163,36158,24340,180163,180381,218
0,0,100,True,180164,36164,24340,180164,180381,217
0,0,101,True,180165,36173,24340,180165,180381,216
0,0,102,True,180267,36182,24401,180267,180381,114
0,0,103,True,180268,36188,24401,180268,180381,113
0,0,104,True,180269,36197,24401,180269,180381,112
0,0,105,True,180371,36206,24462,180371,180381,10
0,0,106,True,180372,36212,24462,180372,180381,9
0,0,107,True,180373,36221,24462,180373,180381,8
0,0,108,True,179232,37118,24473,179232,180381,1149
0,0,109,True,179233,37124,24473,179233,180381,1148
0,0,110,True,179234,37133,24473,179234,180381,1147
0,0,111,True,179336,37142,24484,179336,180381,1045
