context,p,word,anchor,last_gate_read,last_PED_read,last_write,physical_free,local_outputs_done,output_policy_extra_hold
0,0,0,True,82168,33590,22927,82168,83342,1174
0,0,1,True,82169,33596,22927,82169,83342,1173
0,0,2,True,82170,33605,22927,82170,83342,1172
0,0,3,True,82272,33614,22988,82272,83342,1070
0,0,4,True,82273,33620,22988,82273,83342,1069
0,0,5,True,82274,33629,22988,82274,83342,1068
0,0,6,True,82376,33638,23049,82376,83342,966
0,0,7,True,82377,33644,23049,82377,83342,965
0,0,8,True,82378,33653,23049,82378,83342,964
0,0,9,True,82480,33662,23110,82480,83342,862
0,0,10,True,82481,33668,23110,82481,83342,861
0,0,11,True,82482,33677,23110,82482,83342,860
0,0,12,True,82584,33686,23171,82584,83342,758
0,0,13,True,82585,33692,23171,82585,83342,757
0,0,14,True,82586,33701,23171,82586,83342,756
0,0,15,True,82688,33710,23232,82688,83342,654
0,0,16,True,82689,33716,23232,82689,83342,653
0,0,17,True,82690,33725,23232,82690,83342,652
0,0,18,True,82792,33734,23293,82792,83342,550
0,0,19,True,82793,33740,23293,82793,83342,549
0,0,20,True,82794,33749,23293,82794,83342,548
0,0,21,True,82896,33758,23354,82896,83342,446
0,0,22,True,82897,33764,23354,82897,83342,445
0,0,23,True,82898,33773,23354,82898,83342,444
0,0,24,True,83000,33782,23415,83000,83342,342
0,0,25,True,83001,33788,23415,83001,83342,341
0,0,26,True,83002,33797,23415,83002,83342,340
0,0,27,True,83104,33806,23476,83104,83342,238
0,0,28,True,83105,33812,23476,83105,83342,237
0,0,29,True,83106,33821,23476,83106,83342,236
0,0,30,True,83208,33830,23537,83208,83342,134
0,0,31,True,83209,33836,23537,83209,83342,133
0,0,32,True,83210,33845,23537,83210,83342,132
0,0,33,True,83312,33854,23598,83312,83342,30
0,0,34,True,83313,33860,23598,83313,83342,29
0,0,35,True,83314,33869,23598,83314,83342,28
0,0,36,True,82153,34766,23609,82153,83342,1189
0,0,37,True,82154,34772,23609,82154,83342,1188
0,0,38,True,82155,34781,23609,82155,83342,1187
0,0,39,True,82257,34790,23620,82257,83342,1085
0,0,40,True,82258,34796,23620,82258,83342,1084
0,0,41,True,82259,34805,23620,82259,83342,1083
0,0,42,True,82361,34814,23631,82361,83342,981
0,0,43,True,82362,34820,23631,82362,83342,980
0,0,44,True,82363,34829,23631,82363,83342,979
0,0,45,True,82465,34838,23642,82465,83342,877
0,0,46,True,82466,34844,23642,82466,83342,876
0,0,47,True,82467,34853,23642,82467,83342,875
0,0,48,True,82569,34862,23653,82569,83342,773
0,0,49,True,82570,34868,23653,82570,83342,772
0,0,50,True,82571,34877,23653,82571,83342,771
0,0,51,True,82673,34886,23664,82673,83342,669
0,0,52,True,82674,34892,23664,82674,83342,668
0,0,53,True,82675,34901,23664,82675,83342,667
0,0,54,True,82777,34910,23675,82777,83342,565
0,0,55,True,82778,34916,23675,82778,83342,564
0,0,56,True,82779,34925,23675,82779,83342,563
0,0,57,True,82881,34934,23686,82881,83342,461
0,0,58,True,82882,34940,23686,82882,83342,460
0,0,59,True,82883,34949,23686,82883,83342,459
0,0,60,True,82985,34958,23697,82985,83342,357
0,0,61,True,82986,34964,23697,82986,83342,356
