context,p,word,anchor,last_gate_read,last_PED_read,last_write,physical_free,local_outputs_done,output_policy_extra_hold
0,0,0,True,180231,34909,24196,180231,181405,1174
0,0,1,True,180232,34915,24196,180232,181405,1173
0,0,2,True,180233,34924,24196,180233,181405,1172
0,0,3,True,180335,34933,24207,180335,181405,1070
0,0,4,True,180336,34939,24207,180336,181405,1069
0,0,5,True,180337,34948,24207,180337,181405,1068
0,0,6,True,180439,34957,24218,180439,181405,966
0,0,7,True,180440,34963,24218,180440,181405,965
0,0,8,True,180441,34972,24218,180441,181405,964
0,0,9,True,180543,34981,24229,180543,181405,862
0,0,10,True,180544,34987,24229,180544,181405,861
0,0,11,True,180545,34996,24229,180545,181405,860
0,0,12,True,180647,35005,24240,180647,181405,758
0,0,13,True,180648,35011,24240,180648,181405,757
0,0,14,True,180649,35020,24240,180649,181405,756
0,0,15,True,180751,35029,24251,180751,181405,654
0,0,16,True,180752,35035,24251,180752,181405,653
0,0,17,True,180753,35044,24251,180753,181405,652
0,0,18,True,180855,35053,24262,180855,181405,550
0,0,19,True,180856,35059,24262,180856,181405,549
0,0,20,True,180857,35068,24262,180857,181405,548
0,0,21,True,180959,35077,24273,180959,181405,446
0,0,22,True,180960,35083,24273,180960,181405,445
0,0,23,True,180961,35092,24273,180961,181405,444
0,0,24,True,181063,35101,24284,181063,181405,342
0,0,25,True,181064,35107,24284,181064,181405,341
0,0,26,True,181065,35116,24284,181065,181405,340
0,0,27,True,181167,35125,24295,181167,181405,238
0,0,28,True,181168,35131,24295,181168,181405,237
0,0,29,True,181169,35140,24295,181169,181405,236
0,0,30,True,181271,35149,24306,181271,181405,134
0,0,31,True,181272,35155,24306,181272,181405,133
0,0,32,True,181273,35164,24306,181273,181405,132
0,0,33,True,181375,35173,24317,181375,181405,30
0,0,34,True,181376,35179,24317,181376,181405,29
0,0,35,True,181377,35188,24317,181377,181405,28
0,0,36,True,180216,36085,24328,180216,181405,1189
0,0,37,True,180217,36091,24328,180217,181405,1188
0,0,38,True,180218,36100,24328,180218,181405,1187
0,0,39,True,180320,36109,24339,180320,181405,1085
0,0,40,True,180321,36115,24339,180321,181405,1084
0,0,41,True,180322,36124,24339,180322,181405,1083
0,0,42,True,180424,36133,24350,180424,181405,981
0,0,43,True,180425,36139,24350,180425,181405,980
0,0,44,True,180426,36148,24350,180426,181405,979
0,0,45,True,180528,36157,24361,180528,181405,877
0,0,46,True,180529,36163,24361,180529,181405,876
