context,p,word,anchor,last_gate_read,last_PED_read,last_write,physical_free,local_outputs_done,output_policy_extra_hold
0,0,0,True,83487,34909,24196,83487,84661,1174
0,0,1,True,83488,34915,24196,83488,84661,1173
0,0,2,True,83489,34924,24196,83489,84661,1172
0,0,3,True,83591,34933,24207,83591,84661,1070
0,0,4,True,83592,34939,24207,83592,84661,1069
0,0,5,True,83593,34948,24207,83593,84661,1068
0,0,6,True,83695,34957,24218,83695,84661,966
0,0,7,True,83696,34963,24218,83696,84661,965
0,0,8,True,83697,34972,24218,83697,84661,964
0,0,9,True,83799,34981,24229,83799,84661,862
0,0,10,True,83800,34987,24229,83800,84661,861
0,0,11,True,83801,34996,24229,83801,84661,860
0,0,12,True,83903,35005,24240,83903,84661,758
0,0,13,True,83904,35011,24240,83904,84661,757
0,0,14,True,83905,35020,24240,83905,84661,756
0,0,15,True,84007,35029,24251,84007,84661,654
0,0,16,True,84008,35035,24251,84008,84661,653
0,0,17,True,84009,35044,24251,84009,84661,652
0,0,18,True,84111,35053,24262,84111,84661,550
0,0,19,True,84112,35059,24262,84112,84661,549
0,0,20,True,84113,35068,24262,84113,84661,548
0,0,21,True,84215,35077,24273,84215,84661,446
0,0,22,True,84216,35083,24273,84216,84661,445
0,0,23,True,84217,35092,24273,84217,84661,444
0,0,24,True,84319,35101,24284,84319,84661,342
0,0,25,True,84320,35107,24284,84320,84661,341
0,0,26,True,84321,35116,24284,84321,84661,340
0,0,27,True,84423,35125,24295,84423,84661,238
0,0,28,True,84424,35131,24295,84424,84661,237
0,0,29,True,84425,35140,24295,84425,84661,236
0,0,30,True,84527,35149,24306,84527,84661,134
0,0,31,True,84528,35155,24306,84528,84661,133
0,0,32,True,84529,35164,24306,84529,84661,132
0,0,33,True,84631,35173,24317,84631,84661,30
0,0,34,True,84632,35179,24317,84632,84661,29
0,0,35,True,84633,35188,24317,84633,84661,28
0,0,36,True,83472,36085,24328,83472,84661,1189
0,0,37,True,83473,36091,24328,83473,84661,1188
0,0,38,True,83474,36100,24328,83474,84661,1187
0,0,39,True,83576,36109,24339,83576,84661,1085
0,0,40,True,83577,36115,24339,83577,84661,1084
0,0,41,True,83578,36124,24339,83578,84661,1083
0,0,42,True,83680,36133,24350,83680,84661,981
0,0,43,True,83681,36139,24350,83681,84661,980
0,0,44,True,83682,36148,24350,83682,84661,979
0,0,45,True,83784,36157,24361,83784,84661,877
0,0,46,True,83785,36163,24361,83785,84661,876
0,0,47,True,83786,36172,24361,83786,84661,875
0,0,48,True,83888,36181,24372,83888,84661,773
0,0,49,True,83889,36187,24372,83889,84661,772
0,0,50,True,83890,36196,24372,83890,84661,771
0,0,51,True,83992,36205,24383,83992,84661,669
