untrained_code8 zurich_city_09_a_0001 {'direct_T10_zero_skip': -11.2956, 'folded_time_rows': 0.0, 'code_basis_B': 33.9213}
untrained_code8 zurich_city_07_a_0001 {'direct_T10_zero_skip': -15.736, 'folded_time_rows': 0.0, 'code_basis_B': 33.5007}
untrained_code8 zurich_city_02_c_0001 {'direct_T10_zero_skip': -12.7946, 'folded_time_rows': 0.0, 'code_basis_B': 33.565}
untrained_code8 zurich_city_11_b_0001 {'direct_T10_zero_skip': -19.9609, 'folded_time_rows': 0.0, 'code_basis_B': 33.5205}
untrained_code8 zurich_city_09_a_0011 {'direct_T10_zero_skip': -11.2132, 'folded_time_rows': 0.0, 'code_basis_B': 34.0625}
untrained_code8 zurich_city_07_a_0011 {'direct_T10_zero_skip': -15.7719, 'folded_time_rows': 0.0, 'code_basis_B': 33.8094}
untrained_code8 zurich_city_02_c_0011 {'direct_T10_zero_skip': -13.2598, 'folded_time_rows': 0.0, 'code_basis_B': 34.3652}
untrained_code8 zurich_city_11_b_0011 {'direct_T10_zero_skip': -19.8478, 'folded_time_rows': 0.0, 'code_basis_B': 33.3814}
untrained_code8 zurich_city_09_a_0021 {'direct_T10_zero_skip': -11.32, 'folded_time_rows': 0.0, 'code_basis_B': 34.3411}
untrained_code8 zurich_city_07_a_0021 {'direct_T10_zero_skip': -15.1757, 'folded_time_rows': 0.0, 'code_basis_B': 33.7538}
trained_code8 zurich_city_09_a_0001 {'direct_T10_zero_skip': -10.8393, 'folded_time_rows': 0.0, 'code_basis_B': 34.8432}
trained_code8 zurich_city_07_a_0001 {'direct_T10_zero_skip': -15.0745, 'folded_time_rows': 0.0, 'code_basis_B': 34.5011}
trained_code8 zurich_city_02_c_0001 {'direct_T10_zero_skip': -12.2449, 'folded_time_rows': 0.0, 'code_basis_B': 34.4742}
trained_code8 zurich_city_11_b_0001 {'direct_T10_zero_skip': -19.2365, 'folded_time_rows': 0.0, 'code_basis_B': 34.3973}
trained_code8 zurich_city_09_a_0011 {'direct_T10_zero_skip': -10.7628, 'folded_time_rows': 0.0, 'code_basis_B': 35.0019}
trained_code8 zurich_city_07_a_0011 {'direct_T10_zero_skip': -15.1791, 'folded_time_rows': 0.0, 'code_basis_B': 34.7218}
trained_code8 zurich_city_02_c_0011 {'direct_T10_zero_skip': -12.636, 'folded_time_rows': 0.0, 'code_basis_B': 35.1831}
trained_code8 zurich_city_11_b_0011 {'direct_T10_zero_skip': -19.1334, 'folded_time_rows': 0.0, 'code_basis_B': 34.1821}
trained_code8 zurich_city_09_a_0021 {'direct_T10_zero_skip': -10.8608, 'folded_time_rows': 0.0, 'code_basis_B': 35.2124}
trained_code8 zurich_city_07_a_0021 {'direct_T10_zero_skip': -14.6096, 'folded_time_rows': 0.0, 'code_basis_B': 34.7783}
FINISHED 20 24.86452940199524
