=== T45c-2：两条独立管线对表 ===
A = m2041 spike_profile（825 样本，480×640，T=10，no_running BN）
B = operator_runtime 逐算子 hook（40 样本，input_activity）
C = unified_ordered_records 逐样本 active/elements（40 样本；B 缺记录时用它顶）
可比的脉冲输入算子 81 个；A vs B/C 相对差 ≤5% 的 78 个（≤1% 的 44 个）
op                                                          A_prof   B/C_cap      rel    src
patch_embed.proj.conv                                      0.03235   0.05639  +74.32%      B
layers.1.swin_blocks.0.attn.proj                           0.00000   0.00000  +51.65%      B
patch_embed.conv.conv.0                                    0.07338   0.07735   +5.40%      B
patch_embed.residual_encoding.resblocks.1.conv1.0          0.04828   0.05041   +4.40%      B
layers.0.swin_blocks.1.attn.proj                           0.00398   0.00381   -4.17%      B
layers.2.swin_blocks.0.attn.linear_q                       0.01483   0.01425   -3.94%      B
layers.2.swin_blocks.0.attn.linear_k                       0.01483   0.01425   -3.94%      B
layers.1.swin_blocks.0.mlp.fc1                             0.04407   0.04575   +3.80%      B
layers.1.swin_blocks.0.attn.linear_q                       0.00187   0.00181   -3.64%      B
layers.1.swin_blocks.0.attn.linear_k                       0.00187   0.00181   -3.64%      B
layers.0.swin_blocks.0.attn.linear_q                       0.10884   0.11261   +3.46%      B
layers.0.swin_blocks.0.attn.linear_k                       0.10884   0.11261   +3.46%      B
layers.2.swin_blocks.0.mlp.fc2                             0.06021   0.06197   +2.93%      B
layers.0.swin_blocks.1.mlp.fc2                             0.02080   0.02020   -2.89%      B
layers.0.swin_blocks.0.mlp.fc1                             0.16362   0.16782   +2.56%      B
layers.0.swin_blocks.1.attn.linear_q                       0.06211   0.06056   -2.50%      B
layers.0.swin_blocks.1.attn.linear_k                       0.06211   0.06056   -2.50%      B
patch_embed.residual_encoding.resblocks.0.conv2.0          0.04171   0.04275   +2.48%      B
layers.1.swin_blocks.1.attn.proj                           0.00608   0.00594   -2.45%      B
layers.2.swin_blocks.0.mlp.fc1                             0.10522   0.10778   +2.44%      B
layers.2.swin_blocks.1.mlp.fc2                             0.01808   0.01765   -2.36%      B
layers.1.swin_blocks.1.attn.linear_q                       0.00577   0.00564   -2.19%      B
layers.1.swin_blocks.1.attn.linear_k                       0.00577   0.00564   -2.19%      B
layers.1.swin_blocks.1.mlp.fc2                             0.03460   0.03405   -1.57%      B
layers.2.swin_blocks.5.mlp.fc2                             0.02699   0.02658   -1.54%      B
layers.2.swin_blocks.2.attn.proj                           0.03047   0.03002   -1.45%      B
layers.0.swin_blocks.1.mlp.fc1                             0.14652   0.14863   +1.44%      B
resblocks.0.conv2.0                                        0.05613   0.05687   +1.32%      B
layers.2.swin_blocks.1.attn.proj                           0.04019   0.03968   -1.26%      B
layers.2.swin_blocks.3.attn.proj                           0.00004   0.00004   -1.18%      B
layers.1.swin_blocks.1.mlp.fc1                             0.06698   0.06620   -1.16%      B
