Z nslot 2880 mismatch 0
P nslot 720 mismatch 0
Z_vs_P mismatch 0
0 91 91 91
1 660 660 660
2 91 91 91
3 660 660 660
4 91 91 91
5 660 660 660
6 91 91 91
7 660 660 660
8 91 91 91
9 276 276 276
10 -50 -50 -50
11 213 213 213
12 -50 -50 -50
13 213 213 213
14 -50 -50 -50
15 213 213 213
16 -50 -50 -50
17 213 213 213
18 -50 -50 -50
19 163 163 163
20 91 91 91
21 660 660 660
22 91 91 91
23 660 660 660
24 91 91 91
25 660 660 660
26 91 91 91
27 660 660 660
28 91 91 91
29 276 276 276
30 -50 -50 -50
31 213 213 213
32 -50 -50 -50
33 213 213 213
34 -50 -50 -50
35 213 213 213
36 -50 -50 -50
37 213 213 213
38 -50 -50 -50
39 163 163 163
40 91 91 91
41 660 660 660
42 91 91 91
43 660 660 660
44 91 91 91
45 660 660 660
46 91 91 91
47 660 660 660
48 91 91 91
49 276 276 276
50 -50 -50 -50
51 213 213 213
52 -50 -50 -50
53 213 213 213
54 -50 -50 -50
55 213 213 213
56 -50 -50 -50
57 213 213 213
58 -50 -50 -50
59 163 163 163
60 91 91 91
61 660 660 660
62 91 91 91
63 660 660 660
64 91 91 91
65 660 660 660
66 91 91 91
67 660 660 660
68 91 91 91
69 276 276 276
70 -17 -17 -17
71 98 98 98
72 -17 -17 -17
73 98 98 98
74 -17 -17 -17
75 98 98 98
76 -17 -17 -17
77 98 98 98
78 -17 -17 -17
79 93 93 93
