Z nslot 2880 mismatch 0
P nslot 720 mismatch 0
Z_vs_P mismatch 0
0 22 22 22
1 372 372 372
2 73 73 73
3 464 464 464
4 51 51 51
5 272 272 272
6 36 36 36
7 204 204 204
8 15 15 15
9 78 78 78
10 -67 -67 -67
11 55 55 55
12 -56 -56 -56
13 194 194 194
14 27 27 27
15 141 141 141
16 55 55 55
17 108 108 108
18 -44 -44 -44
19 140 140 140
20 0 0 0
21 204 204 204
22 33 33 33
23 134 134 134
24 0 0 0
25 77 77 77
26 18 18 18
27 183 183 183
28 15 15 15
29 78 78 78
30 0 0 0
31 71 71 71
32 45 45 45
33 67 67 67
34 -59 -59 -59
35 26 26 26
36 69 69 69
37 65 65 65
38 -24 -24 -24
39 67 67 67
40 0 0 0
41 194 194 194
42 54 54 54
43 196 196 196
44 22 22 22
45 259 259 259
46 54 54 54
47 133 133 133
48 0 0 0
49 0 0 0
50 46 46 46
51 46 46 46
52 74 74 74
53 7 7 7
54 -67 -67 -67
55 44 44 44
56 120 120 120
57 102 102 102
58 4 4 4
59 14 14 14
60 54 54 54
61 133 133 133
62 0 0 0
63 0 0 0
64 0 0 0
65 194 194 194
66 54 54 54
67 210 210 210
68 18 18 18
69 56 56 56
70 74 74 74
71 48 48 48
72 0 0 0
73 0 0 0
74 0 0 0
75 25 25 25
76 74 74 74
77 57 57 57
78 23 23 23
79 23 23 23
