Z nslot 2880 mismatch 0
P nslot 720 mismatch 0
Z_vs_P mismatch 0
0 73 73 73
1 424 424 424
2 33 33 33
3 455 455 455
4 69 69 69
5 415 415 415
6 33 33 33
7 455 455 455
8 69 69 69
9 211 211 211
10 -73 -73 -73
11 126 126 126
12 -60 -60 -60
13 149 149 149
14 -25 -25 -25
15 256 256 256
16 -21 -21 -21
17 257 257 257
18 30 30 30
19 188 188 188
20 91 91 91
21 339 339 339
22 22 22 22
23 332 332 332
24 55 55 55
25 326 326 326
26 15 15 15
27 205 205 205
28 15 15 15
29 78 78 78
30 -30 -30 -30
31 38 38 38
32 -122 -122 -122
33 -87 -87 -87
34 -127 -127 -127
35 113 113 113
36 -44 -44 -44
37 242 242 242
38 -40 -40 -40
39 154 154 154
40 76 76 76
41 338 338 338
42 40 40 40
43 184 184 184
44 22 22 22
45 192 192 192
46 15 15 15
47 282 282 282
48 33 33 33
49 134 134 134
50 -26 -26 -26
51 64 64 64
52 -44 -44 -44
53 -40 -40 -40
54 -67 -67 -67
55 47 47 47
56 -44 -44 -44
57 218 218 218
58 -21 -21 -21
59 163 163 163
60 91 91 91
61 276 276 276
62 0 0 0
63 0 0 0
64 0 0 0
65 127 127 127
66 15 15 15
67 205 205 205
68 15 15 15
69 78 78 78
70 -17 -17 -17
71 93 93 93
72 0 0 0
73 0 0 0
74 0 0 0
75 21 21 21
76 -24 -24 -24
77 88 88 88
78 -24 -24 -24
79 67 67 67
