family,workload,endpoint,contexts,z_port_bits,mode,backpressure,repeat,cycles
bitmap_pipeline,64,raw,1,208,14,0,0,983682
bitmap_pipeline,64,raw,1,208,14,0,1,981858
bitmap_pipeline,64,raw,1,208,14,1,0,1019088
bitmap_pipeline,64,raw,1,208,14,1,1,1017264
bitmap_pipeline,64,raw,1,208,15,0,0,1094270
bitmap_pipeline,64,raw,1,208,15,0,1,1092446
bitmap_pipeline,64,raw,1,208,15,1,0,1164968
bitmap_pipeline,64,raw,1,208,15,1,1,1163144
bitmap_pipeline,64,raw,1,208,13,0,0,859289
bitmap_pipeline,64,raw,1,208,13,0,1,857465
bitmap_pipeline,64,raw,1,208,13,1,0,964025
bitmap_pipeline,64,raw,1,208,13,1,1,962201
bitmap_pipeline,64,raw,1,208,10,0,0,823321
bitmap_pipeline,64,raw,1,208,10,0,1,821497
bitmap_pipeline,64,raw,1,208,10,1,0,905003
bitmap_pipeline,64,raw,1,208,10,1,1,903179
bitmap_pipeline,disjoint,raw,1,208,14,0,0,1077632
bitmap_pipeline,disjoint,raw,1,208,14,0,1,1075808
bitmap_pipeline,disjoint,raw,1,208,14,1,0,1116345
bitmap_pipeline,disjoint,raw,1,208,14,1,1,1114521
bitmap_pipeline,disjoint,raw,1,208,15,0,0,1159682
bitmap_pipeline,disjoint,raw,1,208,15,0,1,1157858
bitmap_pipeline,disjoint,raw,1,208,15,1,0,1238363
bitmap_pipeline,disjoint,raw,1,208,15,1,1,1236539
bitmap_pipeline,disjoint,raw,1,208,13,0,0,915743
bitmap_pipeline,disjoint,raw,1,208,13,0,1,913919
bitmap_pipeline,disjoint,raw,1,208,13,1,0,1039882
bitmap_pipeline,disjoint,raw,1,208,13,1,1,1038058
bitmap_pipeline,disjoint,raw,1,208,10,0,0,874517
bitmap_pipeline,disjoint,raw,1,208,10,0,1,872693
bitmap_pipeline,disjoint,raw,1,208,10,1,0,971792
bitmap_pipeline,disjoint,raw,1,208,10,1,1,969968
bitmap_block_resident,64,raw,1,208,14,0,0,983682
bitmap_block_resident,64,raw,1,208,14,0,1,981858
bitmap_block_resident,64,raw,1,208,14,1,0,1019088
bitmap_block_resident,64,raw,1,208,14,1,1,1017264
bitmap_block_resident,64,raw,1,208,9,0,0,904547
bitmap_block_resident,64,raw,1,208,9,0,1,902723
bitmap_block_resident,64,raw,1,208,9,1,0,964540
bitmap_block_resident,64,raw,1,208,9,1,1,962716
bitmap_block_resident,64,raw,1,208,8,0,0,890797
bitmap_block_resident,64,raw,1,208,8,0,1,888973
bitmap_block_resident,64,raw,1,208,8,1,0,934711
bitmap_block_resident,64,raw,1,208,8,1,1,932887
bitmap_block_resident,disjoint,raw,1,208,14,0,0,1077632
bitmap_block_resident,disjoint,raw,1,208,14,0,1,1075808
bitmap_block_resident,disjoint,raw,1,208,14,1,0,1116345
bitmap_block_resident,disjoint,raw,1,208,14,1,1,1114521
bitmap_block_resident,disjoint,raw,1,208,9,0,0,973659
bitmap_block_resident,disjoint,raw,1,208,9,0,1,971835
bitmap_block_resident,disjoint,raw,1,208,9,1,0,1040382
bitmap_block_resident,disjoint,raw,1,208,9,1,1,1038558
bitmap_block_resident,disjoint,raw,1,208,8,0,0,953907
bitmap_block_resident,disjoint,raw,1,208,8,0,1,952083
bitmap_block_resident,disjoint,raw,1,208,8,1,0,1000235
bitmap_block_resident,disjoint,raw,1,208,8,1,1,998411
count_rr,64,FP32_identity_to_J20_to_I24,2,416,0,0,0,815406
count_rr,64,FP32_identity_to_J20_to_I24,2,416,0,0,1,813558
count_rr,64,FP32_identity_to_J20_to_I24,2,416,0,1,0,885599
count_rr,64,FP32_identity_to_J20_to_I24,2,416,0,1,1,884004
count_rr,64,FP32_identity_to_J20_to_I24,2,416,1,0,0,814321
count_rr,64,FP32_identity_to_J20_to_I24,2,416,1,0,1,812473
count_rr,64,FP32_identity_to_J20_to_I24,2,416,1,1,0,884397
count_rr,64,FP32_identity_to_J20_to_I24,2,416,1,1,1,882629
count_rr,64,FP32_identity_to_J20_to_I24,2,416,2,0,0,787603
count_rr,64,FP32_identity_to_J20_to_I24,2,416,2,0,1,785755
count_rr,64,FP32_identity_to_J20_to_I24,2,416,2,1,0,858814
count_rr,64,FP32_identity_to_J20_to_I24,2,416,2,1,1,856904
count_rr,64,FP32_identity_to_J20_to_I24,2,416,3,0,0,786421
count_rr,64,FP32_identity_to_J20_to_I24,2,416,3,0,1,784573
count_rr,64,FP32_identity_to_J20_to_I24,2,416,3,1,0,857282
count_rr,64,FP32_identity_to_J20_to_I24,2,416,3,1,1,855357
count_rr,64,FP32_identity_to_J20_to_I24,2,416,4,0,0,786421
count_rr,64,FP32_identity_to_J20_to_I24,2,416,4,0,1,784573
count_rr,64,FP32_identity_to_J20_to_I24,2,416,4,1,0,857282
count_rr,64,FP32_identity_to_J20_to_I24,2,416,4,1,1,855357
count_rr,64,FP32_identity_to_J20_to_I24,2,416,20,0,0,787753
count_rr,64,FP32_identity_to_J20_to_I24,2,416,20,0,1,785008
count_rr,64,FP32_identity_to_J20_to_I24,2,416,20,1,0,859072
count_rr,64,FP32_identity_to_J20_to_I24,2,416,20,1,1,856377
count_rr,64,FP32_identity_to_J20_to_I24,2,416,21,0,0,772611
count_rr,64,FP32_identity_to_J20_to_I24,2,416,21,0,1,769865
count_rr,64,FP32_identity_to_J20_to_I24,2,416,21,1,0,844899
count_rr,64,FP32_identity_to_J20_to_I24,2,416,21,1,1,842204
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,0,0,0,879020
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,0,0,1,877172
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,0,1,0,955834
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,0,1,1,954452
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,1,0,0,868255
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,1,0,1,866407
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,1,1,0,945384
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,1,1,1,943459
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,2,0,0,831996
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,2,0,1,830148
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,2,1,0,909177
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,2,1,1,907252
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,3,0,0,830886
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,3,0,1,829038
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,3,1,0,908472
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,3,1,1,906052
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,4,0,0,830886
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,4,0,1,829038
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,4,1,0,908472
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,4,1,1,906052
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,20,0,0,828782
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,20,0,1,826037
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,20,1,0,905234
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,20,1,1,902609
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,21,0,0,810788
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,21,0,1,808042
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,21,1,0,888404
count_rr,disjoint,FP32_identity_to_J20_to_I24,2,416,21,1,1,885709
bitmap_consumer,64,FP32_identity_to_J20_to_I24,1,208,14,0,0,1138971
bitmap_consumer,64,FP32_identity_to_J20_to_I24,1,208,14,0,1,1137123
bitmap_consumer,64,FP32_identity_to_J20_to_I24,1,208,14,1,0,1219057
bitmap_consumer,64,FP32_identity_to_J20_to_I24,1,208,14,1,1,1216912
bitmap_consumer,64,FP32_identity_to_J20_to_I24,1,208,15,0,0,1249559
bitmap_consumer,64,FP32_identity_to_J20_to_I24,1,208,15,0,1,1247711
bitmap_consumer,64,FP32_identity_to_J20_to_I24,1,208,15,1,0,1364752
bitmap_consumer,64,FP32_identity_to_J20_to_I24,1,208,15,1,1,1362732
bitmap_consumer,64,FP32_identity_to_J20_to_I24,1,208,13,0,0,1014578
bitmap_consumer,64,FP32_identity_to_J20_to_I24,1,208,13,0,1,1012730
bitmap_consumer,64,FP32_identity_to_J20_to_I24,1,208,13,1,0,1163569
bitmap_consumer,64,FP32_identity_to_J20_to_I24,1,208,13,1,1,1161517
bitmap_consumer,64,FP32_identity_to_J20_to_I24,1,208,10,0,0,978610
bitmap_consumer,64,FP32_identity_to_J20_to_I24,1,208,10,0,1,976762
bitmap_consumer,64,FP32_identity_to_J20_to_I24,1,208,10,1,0,1104734
bitmap_consumer,64,FP32_identity_to_J20_to_I24,1,208,10,1,1,1102739
bitmap_consumer,disjoint,FP32_identity_to_J20_to_I24,1,208,14,0,0,1232921
bitmap_consumer,disjoint,FP32_identity_to_J20_to_I24,1,208,14,0,1,1231073
bitmap_consumer,disjoint,FP32_identity_to_J20_to_I24,1,208,14,1,0,1320477
bitmap_consumer,disjoint,FP32_identity_to_J20_to_I24,1,208,14,1,1,1318472
bitmap_consumer,disjoint,FP32_identity_to_J20_to_I24,1,208,15,0,0,1314971
bitmap_consumer,disjoint,FP32_identity_to_J20_to_I24,1,208,15,0,1,1313123
bitmap_consumer,disjoint,FP32_identity_to_J20_to_I24,1,208,15,1,0,1442467
bitmap_consumer,disjoint,FP32_identity_to_J20_to_I24,1,208,15,1,1,1440454
bitmap_consumer,disjoint,FP32_identity_to_J20_to_I24,1,208,13,0,0,1071032
bitmap_consumer,disjoint,FP32_identity_to_J20_to_I24,1,208,13,0,1,1069184
bitmap_consumer,disjoint,FP32_identity_to_J20_to_I24,1,208,13,1,0,1243789
bitmap_consumer,disjoint,FP32_identity_to_J20_to_I24,1,208,13,1,1,1241802
bitmap_consumer,disjoint,FP32_identity_to_J20_to_I24,1,208,10,0,0,1029806
bitmap_consumer,disjoint,FP32_identity_to_J20_to_I24,1,208,10,0,1,1027958
bitmap_consumer,disjoint,FP32_identity_to_J20_to_I24,1,208,10,1,0,1175864
bitmap_consumer,disjoint,FP32_identity_to_J20_to_I24,1,208,10,1,1,1173869
bitmap_block_consumer,64,FP32_identity_to_J20_to_I24,1,208,14,0,0,1138971
bitmap_block_consumer,64,FP32_identity_to_J20_to_I24,1,208,14,0,1,1137123
bitmap_block_consumer,64,FP32_identity_to_J20_to_I24,1,208,14,1,0,1219057
bitmap_block_consumer,64,FP32_identity_to_J20_to_I24,1,208,14,1,1,1216912
bitmap_block_consumer,64,FP32_identity_to_J20_to_I24,1,208,9,0,0,1059836
bitmap_block_consumer,64,FP32_identity_to_J20_to_I24,1,208,9,0,1,1057988
bitmap_block_consumer,64,FP32_identity_to_J20_to_I24,1,208,9,1,0,1164339
bitmap_block_consumer,64,FP32_identity_to_J20_to_I24,1,208,9,1,1,1162342
