case	real	time	intersection	reduce	stress	cycles_through_done_handshake	last_gate	source_reads	w_reads	w_zero	packets	events	commits	source_req_wait	w_req_wait	w_response_wait	output_wait	barrier_wait	psn_issues	nr_peak	w_pending_peak	w_accept_peak	source_accept_peak	first_tile0	first_tile1	w_metadata_reads	w_value_reads	compare_active_PE_beats	weight_pointer_advances_without_value	nrv_skips	nnz_tile0	nnz_tile1	image_bytes_tile0	image_bytes_tile1	frontend_load_beats	configuration_beats	rank_catchup_pe_beats
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	3	0	0	2576	2569	288	2626	38	648	5984	4754	0	0	0	0	0	2432	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	96	0
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	3	0	1	6978	6971	288	2626	38	648	5984	4754	42	857	0	12	6	2432	2	4	4	4	0	1	4	2622	0	0	0	378	379	386	386	11	96	0
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	3	1	0	2576	2569	288	2626	38	648	5984	4754	0	0	0	0	0	2432	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	96	0
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	3	1	1	6978	6971	288	2626	38	648	5984	4754	42	857	0	15	4	2432	2	4	4	4	0	1	4	2622	0	0	0	378	379	386	386	11	96	0
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	4	0	0	2579	2572	288	2626	38	648	5984	4754	0	0	0	0	0	2432	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	96	0
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	4	0	1	6978	6971	288	2626	38	648	5984	4754	45	860	0	19	6	2432	2	4	4	4	0	1	4	2622	0	0	0	378	379	386	386	11	96	0
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	4	1	0	2579	2572	288	2626	38	648	5984	4754	0	0	0	0	0	2432	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	96	0
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	4	1	1	6978	6971	288	2626	38	648	5984	4754	45	860	0	22	4	2432	2	4	4	4	0	1	4	2622	0	0	0	378	379	386	386	11	96	0
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	3	0	0	2635	2628	288	2626	38	648	13442	9145	0	0	331	0	0	2080	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	85	0
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	3	0	1	6988	6981	288	2626	38	648	13442	9145	45	861	0	44	2	2080	2	4	3	4	1	0	4	2622	0	0	0	378	379	386	386	12	85	0
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	3	1	0	2535	2528	288	2626	38	648	13442	9145	0	0	0	0	0	2080	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	85	0
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	3	1	1	6971	6964	288	2626	38	648	13442	9145	45	861	0	24	2	2080	2	4	3	4	1	0	4	2622	0	0	0	378	379	386	386	12	85	0
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	4	0	0	2638	2631	288	2626	38	648	13442	9145	0	0	331	0	0	2080	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	85	0
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	4	0	1	6988	6981	288	2626	38	648	13442	9145	45	855	0	44	2	2080	2	4	4	4	1	0	4	2622	0	0	0	378	379	386	386	9	85	0
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	4	1	0	2538	2531	288	2626	38	648	13442	9145	0	0	0	0	0	2080	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	85	0
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	4	1	1	6971	6964	288	2626	38	648	13442	9145	45	855	0	24	2	2080	2	4	4	4	1	0	4	2622	0	0	0	378	379	386	386	9	85	0
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	3	0	0	2192	2185	288	1958	30	484	3719	3031	0	0	0	0	10	2624	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	3	102	0
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	3	0	1	5355	5348	288	1958	30	484	3719	3031	49	602	0	46	12	2624	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	11	102	0
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	3	1	0	2190	2183	288	1958	30	484	3719	3031	0	0	0	0	9	2624	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	3	102	0
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	3	1	1	5355	5348	288	1958	30	484	3719	3031	49	602	0	49	10	2624	1	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	11	102	0
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	4	0	0	2176	2169	288	1958	30	484	3719	3031	0	0	0	0	10	2624	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	3	102	0
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	4	0	1	5373	5366	288	1958	30	484	3719	3031	33	645	0	24	12	2624	2	4	3	4	2	1	4	1954	0	0	0	375	380	386	386	10	102	0
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	4	1	0	2174	2167	288	1958	30	484	3719	3031	0	0	0	0	9	2624	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	3	102	0
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	4	1	1	5373	5366	288	1958	30	484	3719	3031	33	645	0	27	10	2624	2	4	3	4	2	1	4	1954	0	0	0	375	380	386	386	10	102	0
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	3	0	0	2172	2165	288	1958	30	484	4305	3185	0	0	0	0	9	2464	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	3	97	0
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	3	0	1	5268	5261	288	1958	30	484	4305	3185	40	633	0	20	22	2464	2	4	3	4	2	1	4	1954	0	0	0	375	380	386	386	12	97	0
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	3	1	0	2166	2159	288	1958	30	484	4305	3185	0	0	0	0	7	2464	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	3	97	0
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	3	1	1	5259	5252	288	1958	30	484	4305	3185	40	633	0	13	12	2464	2	4	3	4	2	1	4	1954	0	0	0	375	380	386	386	12	97	0
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	4	0	0	2156	2149	288	1958	30	484	4305	3185	0	0	0	0	9	2464	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	3	97	0
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	4	0	1	5344	5337	288	1958	30	484	4305	3185	40	621	0	21	22	2464	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	9	97	0
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	4	1	0	2150	2143	288	1958	30	484	4305	3185	0	0	0	0	7	2464	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	3	97	0
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	4	1	1	5335	5328	288	1958	30	484	4305	3185	40	621	0	23	12	2464	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	9	97	0
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	3	0	0	2675	2668	288	2826	51	695	6666	5069	0	0	0	0	2	2496	2	4	4	4	1	0	4	2822	0	0	0	377	377	386	386	3	98	0
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	3	0	1	7371	7364	288	2826	51	695	6666	5069	34	917	0	42	13	2496	2	4	3	4	0	3	4	2822	0	0	0	377	377	386	386	11	98	0
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	3	1	0	2675	2668	288	2826	51	695	6666	5069	0	0	0	0	1	2496	2	4	4	4	1	0	4	2822	0	0	0	377	377	386	386	3	98	0
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	3	1	1	7360	7353	288	2826	51	695	6666	5069	34	917	0	33	12	2496	2	4	3	4	0	3	4	2822	0	0	0	377	377	386	386	11	98	0
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	4	0	0	2678	2671	288	2826	51	695	6666	5069	0	0	0	0	2	2496	2	4	4	4	1	0	4	2822	0	0	0	377	377	386	386	3	98	0
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	4	0	1	7360	7353	288	2826	51	695	6666	5069	32	937	0	37	14	2496	2	4	4	4	0	3	4	2822	0	0	0	377	377	386	386	11	98	0
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	4	1	0	2678	2671	288	2826	51	695	6666	5069	0	0	0	0	1	2496	2	4	4	4	1	0	4	2822	0	0	0	377	377	386	386	3	98	0
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	4	1	1	7349	7342	288	2826	51	695	6666	5069	32	937	0	31	13	2496	2	4	4	4	0	3	4	2822	0	0	0	377	377	386	386	11	98	0
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	3	0	0	2651	2644	288	2826	51	695	10211	7710	0	0	3	0	3	2304	2	4	4	4	1	1	4	2822	0	0	0	377	377	386	386	3	92	0
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	3	0	1	7387	7380	288	2826	51	695	10211	7710	47	899	0	22	21	2304	2	4	3	4	3	0	4	2822	0	0	0	377	377	386	386	12	92	0
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	3	1	0	2649	2642	288	2826	51	695	10211	7710	0	0	0	0	4	2304	2	4	4	4	1	1	4	2822	0	0	0	377	377	386	386	3	92	0
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	3	1	1	7387	7380	288	2826	51	695	10211	7710	47	899	0	31	19	2304	2	4	3	4	3	0	4	2822	0	0	0	377	377	386	386	12	92	0
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	4	0	0	2654	2647	288	2826	51	695	10211	7710	0	0	3	0	3	2304	2	4	4	4	1	1	4	2822	0	0	0	377	377	386	386	3	92	0
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	4	0	1	7387	7380	288	2826	51	695	10211	7710	47	893	0	22	21	2304	2	4	4	4	3	0	4	2822	0	0	0	377	377	386	386	9	92	0
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	4	1	0	2652	2645	288	2826	51	695	10211	7710	0	0	0	0	4	2304	2	4	4	4	1	1	4	2822	0	0	0	377	377	386	386	3	92	0
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	4	1	1	7387	7380	288	2826	51	695	10211	7710	47	893	0	31	19	2304	2	4	4	4	3	0	4	2822	0	0	0	377	377	386	386	9	92	0
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	3	0	0	2785	2778	288	2990	40	740	9045	6485	0	0	0	0	0	2656	2	4	4	4	0	0	4	2986	0	0	0	377	381	386	386	3	103	0
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	3	0	1	7729	7722	288	2990	40	740	9045	6485	23	977	0	25	7	2656	2	4	3	4	0	1	4	2986	0	0	0	377	381	386	386	11	103	0
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	3	1	0	2785	2778	288	2990	40	740	9045	6485	0	0	0	0	0	2656	2	4	4	4	0	0	4	2986	0	0	0	377	381	386	386	3	103	0
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	3	1	1	7729	7722	288	2990	40	740	9045	6485	23	977	0	25	7	2656	2	4	3	4	0	1	4	2986	0	0	0	377	381	386	386	11	103	0
