case	real	time	intersection	reduce	stress	cycles_through_done_handshake	last_gate	source_reads	w_reads	w_zero	packets	events	commits	source_req_wait	w_req_wait	w_response_wait	output_wait	barrier_wait	psn_issues	nr_peak	w_pending_peak	w_accept_peak	source_accept_peak	first_tile0	first_tile1	w_metadata_reads	w_value_reads	compare_active_PE_beats	weight_pointer_advances_without_value	nrv_skips	nnz_tile0	nnz_tile1	image_bytes_tile0	image_bytes_tile1	frontend_load_beats	configuration_beats
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	0	0	0	2576	2569	288	2622	38	648	5984	4754	0	0	0	0	0	2432	2	4	4	4	0	0	0	2622	0	0	0	378	379	384	384	0	96
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	0	0	1	6978	6971	288	2622	38	648	5984	4754	33	859	0	21	6	2432	2	4	3	4	0	1	0	2622	0	0	0	378	379	384	384	0	96
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	0	1	0	2576	2569	288	2622	38	648	5984	4754	0	0	0	0	0	2432	2	4	4	4	0	0	0	2622	0	0	0	378	379	384	384	0	96
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	0	1	1	6978	6971	288	2622	38	648	5984	4754	33	859	0	25	4	2432	2	4	3	4	0	1	0	2622	0	0	0	378	379	384	384	0	96
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	1	0	0	7004	6997	288	8656	0	648	5984	4754	0	0	0	0	0	2432	2	4	4	4	0	0	6072	2584	9493	444	38	378	379	1136	1139	0	96
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	1	0	1	21732	21725	288	8656	0	648	5984	4754	33	2818	0	13	6	2432	1	4	4	4	0	1	6072	2584	15966	444	38	378	379	1136	1139	0	96
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	1	1	0	7004	6997	288	8656	0	648	5984	4754	0	0	0	0	0	2432	1	4	4	4	0	0	6072	2584	9493	444	38	378	379	1136	1139	0	96
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	1	1	1	21732	21725	288	8656	0	648	5984	4754	33	2818	0	7	4	2432	1	4	4	4	0	1	6072	2584	15966	444	38	378	379	1136	1139	0	96
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	2	0	0	2638	2631	288	2680	0	648	5984	4754	0	0	0	0	0	2432	2	4	4	4	0	0	96	2584	0	0	38	378	379	426	427	72	96
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	2	0	1	7112	7105	288	2680	0	648	5984	4754	30	876	0	13	4	2432	2	4	4	4	0	1	96	2584	0	0	38	378	379	426	427	235	96
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	2	1	0	2638	2631	288	2680	0	648	5984	4754	0	0	0	0	0	2432	2	4	4	4	0	0	96	2584	0	0	38	378	379	426	427	72	96
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	2	1	1	7112	7105	288	2680	0	648	5984	4754	30	876	0	7	4	2432	2	4	4	4	0	1	96	2584	0	0	38	378	379	426	427	235	96
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	3	0	0	2576	2569	288	2626	38	648	5984	4754	0	0	0	0	0	2432	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	96
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	3	0	1	6978	6971	288	2626	38	648	5984	4754	42	857	0	12	6	2432	2	4	4	4	0	1	4	2622	0	0	0	378	379	386	386	11	96
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	3	1	0	2576	2569	288	2626	38	648	5984	4754	0	0	0	0	0	2432	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	96
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	3	1	1	6978	6971	288	2626	38	648	5984	4754	42	857	0	15	4	2432	2	4	4	4	0	1	4	2622	0	0	0	378	379	386	386	11	96
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	0	0	0	2635	2628	288	2622	38	648	13442	9145	0	0	331	0	0	2080	2	4	4	4	0	0	0	2622	0	0	0	378	379	384	384	0	85
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	0	0	1	6988	6981	288	2622	38	648	13442	9145	41	836	0	25	3	2080	2	4	3	4	1	0	0	2622	0	0	0	378	379	384	384	0	85
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	0	1	0	2535	2528	288	2622	38	648	13442	9145	0	0	0	0	0	2080	2	4	4	4	0	0	0	2622	0	0	0	378	379	384	384	0	85
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	0	1	1	6971	6964	288	2622	38	648	13442	9145	41	836	0	20	3	2080	2	4	3	4	1	0	0	2622	0	0	0	378	379	384	384	0	85
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	1	0	0	6966	6959	288	8656	0	648	13442	9145	0	0	0	0	0	2080	2	4	4	4	0	0	6072	2584	9493	444	38	378	379	1136	1139	0	85
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	1	0	1	21751	21744	288	8656	0	648	13442	9145	46	2943	0	28	14	2080	2	4	4	4	1	0	6072	2584	16007	444	38	378	379	1136	1139	0	85
