case	kind	held	mode	lazy	bp	cycles	configuration	mem_beats	w_beats	center_beats	pwp_beats	query	alu	fields	build	parent_reads	joins	negative_fields	pwp_rows	query_native_rows	mem_wait	out_wait
calibration_tile_0_k16_00	1	0	0	0	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_0_k16_00	1	0	0	0	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
calibration_tile_0_k16_00	1	0	0	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_0_k16_00	1	0	0	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
calibration_tile_0_k16_00	1	0	1	0	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_0_k16_00	1	0	1	0	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
calibration_tile_0_k16_00	1	0	1	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_0_k16_00	1	0	1	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
calibration_tile_0_k16_00	1	0	2	0	0	118	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_0_k16_00	1	0	2	0	1	131	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	6
calibration_tile_0_k16_00	1	0	2	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_0_k16_00	1	0	2	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
calibration_tile_0_k16_00	1	0	3	0	0	118	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_0_k16_00	1	0	3	0	1	131	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	6
calibration_tile_0_k16_00	1	0	3	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_0_k16_00	1	0	3	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
calibration_tile_0_k16_00	1	0	4	0	0	118	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_0_k16_00	1	0	4	0	1	131	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	6
calibration_tile_0_k16_00	1	0	4	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_0_k16_00	1	0	4	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
calibration_tile_0_k16_00	1	0	5	0	0	118	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_0_k16_00	1	0	5	0	1	131	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	6
calibration_tile_0_k16_00	1	0	5	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_0_k16_00	1	0	5	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
calibration_tile_0_k16_00	1	0	6	0	0	118	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_0_k16_00	1	0	6	0	1	131	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	6
calibration_tile_0_k16_00	1	0	6	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_0_k16_00	1	0	6	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
calibration_tile_0_k16_00	1	0	7	0	0	118	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_0_k16_00	1	0	7	0	1	131	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	6
calibration_tile_0_k16_00	1	0	7	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_0_k16_00	1	0	7	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
held_tile_128_k16_00	1	1	0	0	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	0	0	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
held_tile_128_k16_00	1	1	0	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	0	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
held_tile_128_k16_00	1	1	1	0	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	1	0	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
held_tile_128_k16_00	1	1	1	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	1	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
held_tile_128_k16_00	1	1	2	0	0	118	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	2	0	1	131	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	6
held_tile_128_k16_00	1	1	2	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	2	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
held_tile_128_k16_00	1	1	3	0	0	118	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	3	0	1	131	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	6
held_tile_128_k16_00	1	1	3	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	3	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
held_tile_128_k16_00	1	1	4	0	0	118	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	4	0	1	131	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	6
held_tile_128_k16_00	1	1	4	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	4	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
held_tile_128_k16_00	1	1	5	0	0	118	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	5	0	1	131	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	6
held_tile_128_k16_00	1	1	5	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	5	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
held_tile_128_k16_00	1	1	6	0	0	118	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	6	0	1	131	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	6
held_tile_128_k16_00	1	1	6	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	6	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
held_tile_128_k16_00	1	1	7	0	0	118	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	7	0	1	131	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	6
held_tile_128_k16_00	1	1	7	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	7	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
calibration_tile_159_k16_07	1	0	0	0	0	117	40	2	2	0	0	0	11	14	0	0	0	0	0	0	0	0
calibration_tile_159_k16_07	1	0	0	0	1	132	40	2	2	0	0	0	11	14	0	0	0	0	0	0	0	10
calibration_tile_159_k16_07	1	0	0	1	0	117	40	2	2	0	0	0	11	14	0	0	0	0	0	0	0	0
calibration_tile_159_k16_07	1	0	0	1	1	132	40	2	2	0	0	0	11	14	0	0	0	0	0	0	0	10
calibration_tile_159_k16_07	1	0	1	0	0	113	40	2	2	0	0	0	7	10	0	3	0	0	0	0	0	0
