MODEL_LOADED 105 12
AS0_diverse exact 1 1.57855785740496
AS0_diverse exact 2 2.084833255080658
AS0_diverse exact 3 1.7705343670360305
AS0_diverse exact 4 1.5231129897986153
AS0_diverse exact 5 1.4191558797870285
AS0_diverse exact 6 1.429078259259777
AS0_diverse exact 7 1.3807381035400543
AS0_diverse exact 8 1.354644280969222
AS0_diverse exact 9 1.3330144530244579
AS0_diverse exact 10 1.3903315401317662
ARM_COMPLETE 0 1.3903315401317662 14.284084796905518
AS1_diverse group_drop 1 1.5940168100344319
AS1_diverse group_drop 2 2.012272390216996
AS1_diverse group_drop 3 1.7568635582350367
AS1_diverse group_drop 4 1.5091640304545897
AS1_diverse group_drop 5 1.4002135787506382
AS1_diverse group_drop 6 1.4164185977678514
AS1_diverse group_drop 7 1.3617393340401212
AS1_diverse group_drop 8 1.335523550875404
AS1_diverse group_drop 9 1.3267911627746853
AS1_diverse group_drop 10 1.3931077275142232
ARM_COMPLETE 1 1.3931077275142232 4.029895782470703
AS2_diverse rank_drop 1 1.5468399739202794
AS2_diverse rank_drop 2 2.0442821766626196
AS2_diverse rank_drop 3 1.7552261111166299
AS2_diverse rank_drop 4 1.50346801525118
AS2_diverse rank_drop 5 1.3939497317816367
AS2_diverse rank_drop 6 1.40387833388676
AS2_diverse rank_drop 7 1.3571909352832332
AS2_diverse rank_drop 8 1.3321610925968301
AS2_diverse rank_drop 9 1.3200769795745915
AS2_diverse rank_drop 10 1.3793652604557802
ARM_COMPLETE 2 1.3793652604557802 4.04383659362793
AS3_diverse prototype_one_residual 1 1.7542401777513947
AS3_diverse prototype_one_residual 2 2.0677371837640637
AS3_diverse prototype_one_residual 3 1.8121052526737893
AS3_diverse prototype_one_residual 4 1.5581342955457136
AS3_diverse prototype_one_residual 5 1.4723161713673016
AS3_diverse prototype_one_residual 6 1.4849623376159842
AS3_diverse prototype_one_residual 7 1.4284159531419147
AS3_diverse prototype_one_residual 8 1.4125774079205713
AS3_diverse prototype_one_residual 9 1.4100444476131393
AS3_diverse prototype_one_residual 10 1.471894678699932
ARM_COMPLETE 3 1.471894678699932 4.091397285461426
AS4_diverse zero_prototype_one_rank 1 1.8745958333872286
AS4_diverse zero_prototype_one_rank 2 2.3195385602474494
AS4_diverse zero_prototype_one_rank 3 2.137260427024258
AS4_diverse zero_prototype_one_rank 4 1.8056188271467495
AS4_diverse zero_prototype_one_rank 5 1.7007684975943858
AS4_diverse zero_prototype_one_rank 6 1.7758736448273744
AS4_diverse zero_prototype_one_rank 7 1.7452653772500746
AS4_diverse zero_prototype_one_rank 8 1.6950671823872083
AS4_diverse zero_prototype_one_rank 9 1.657785932308546
AS4_diverse zero_prototype_one_rank 10 1.714547411880878
ARM_COMPLETE 4 1.714547411880878 4.024834394454956
AS5_diverse temporal_group_hold 1 1.629521520157969
AS5_diverse temporal_group_hold 2 2.0184084804321074
AS5_diverse temporal_group_hold 3 1.7356282212598095
AS5_diverse temporal_group_hold 4 1.4915099505186624
AS5_diverse temporal_group_hold 5 1.3838915235089777
AS5_diverse temporal_group_hold 6 1.4184366495649252
AS5_diverse temporal_group_hold 7 1.3674737847067757
AS5_diverse temporal_group_hold 8 1.3455537909504436
AS5_diverse temporal_group_hold 9 1.3284636505854337
AS5_diverse temporal_group_hold 10 1.3868015094110187
ARM_COMPLETE 5 1.3868015094110187 4.040935039520264
AS6_diverse temporal_rank_deadband 1 1.5876794441533748
AS6_diverse temporal_rank_deadband 2 1.9796166021971788
AS6_diverse temporal_rank_deadband 3 1.7231475949045354
AS6_diverse temporal_rank_deadband 4 1.473400970846416
AS6_diverse temporal_rank_deadband 5 1.3683961588124776
AS6_diverse temporal_rank_deadband 6 1.3852959881797797
AS6_diverse temporal_rank_deadband 7 1.3401277836574912
AS6_diverse temporal_rank_deadband 8 1.3107012140997192
AS6_diverse temporal_rank_deadband 9 1.287816911306761
AS6_diverse temporal_rank_deadband 10 1.3457219579892477
ARM_COMPLETE 6 1.3457219579892477 4.2416253089904785
