id,mechanism,scope,control_mode,candidate_mode,control_cycles,candidate_cycles,cycle_change_pct,control_cold_with_configuration,candidate_cold_with_configuration,source
1,Q1位平面/bitmap,八个封存真实tile，线性核内，不含配置/consumer,14,15,87599,103908,18.61779244055297,114487,130796,decompositions/q1_bitplanes/results.json
2,Q2分组DA,八个封存真实tile，线性核内，不含配置/consumer,14,15,87599,100043,14.205641616913445,114487,126931,decompositions/q2_da/results.json
3,Q1重复完整列字典,八个封存真实tile，线性核内，不含配置/consumer,14,15,87599,90217,2.9886185915364294,121663,124281,decompositions/q1_dictionary/results.json
4,完成latent整组剪枝,八个当前真实tile，完整consumer，go后,2,1,98870,97682,-1.201577829473044,126470,125282,algorithm_sparse/results.json
5,K4原型+单rank残差,八个当前真实tile，完整consumer，go后,0,3,107044,98813,-7.689361384103732,134644,126413,algorithm_sparse/results.json
6,整latent时间保持,八个当前真实tile，完整consumer，同Δ权限,7,8,102596,100808,-1.742758002261302,130196,128408,algorithm_sparse/results.json
7,取消p物化写,64连续tile，冷配置到最终I24,1,2,968747,968747,0.0,968747,968747,dataflow/d1_forward/results_64.json
8,横邻halo轮转,19200tile单帧组件，冷配置到最终I24,0,1,324217349,309563909,-4.519634758965352,324217349,309563909,dataflow/d2_halo/results_full.json
9,双context阶段错位,19200tile单帧组件，对普通同时ready/RR,2,1,233289744,260697004,11.748163262590738,233289744,260697004,dataflow/d3_interleave/results_full.json
10,借用consumer宽链,19200tile单帧组件，同416bit z口,2,3,324025349,310814282,-4.077170826533083,324025349,310814282,phase_borrow/results_full.json
11,T10共同方向有限缩放,八个当前真实tile，冷配置到I24，对full/prev/anchor Δ,1,2,135102,136160,0.7831120190670671,135102,136160,temporal_direction/results.json
