receipt,fixture,first_tile,tiles,mode,stall,command,total_cycles,static_words,source_load_words,external_source_words,padding_words,core_weight_words,core_z_vector_reads,core_z_writes,core_psum_reads,core_psum_writes,core_first_issues,core_mac_issues,core_output_stalls,consumer_cycles,consumer_join_wait_cycles,consumer_output_stalls,output_beats
results.json,real_0,,,0,0,0,15901,1848,1536,864,672,231,405,385,480,480,365,2424,2419,12513,9128,0,480
results.json,real_0,,,0,0,1,14053,0,1536,864,672,231,405,385,480,480,365,2424,2419,12513,9128,0,480
results.json,real_0,,,0,1,0,17094,1848,1536,864,672,231,405,385,480,480,365,2424,2809,13075,9420,270,480
results.json,real_0,,,0,1,1,15089,0,1536,864,672,231,405,385,480,480,365,2424,2806,13072,9419,268,480
results.json,real_0,,,1,0,0,13554,1848,1536,864,672,231,405,385,0,480,365,2424,552,10166,6781,0,480
results.json,real_0,,,1,0,1,11706,0,1536,864,672,231,405,385,0,480,365,2424,552,10166,6781,0,480
results.json,real_0,,,1,1,0,14513,1848,1536,864,672,231,405,385,0,480,365,2424,717,10494,6783,326,480
results.json,real_0,,,1,1,1,12513,0,1536,864,672,231,405,385,0,480,365,2424,723,10496,6783,328,480
results.json,real_0,,,2,0,0,13554,1848,1536,864,672,231,405,385,0,0,365,2424,552,10166,6781,0,480
results.json,real_0,,,2,0,1,11706,0,1536,864,672,231,405,385,0,0,365,2424,552,10166,6781,0,480
results.json,real_0,,,2,1,0,14513,1848,1536,864,672,231,405,385,0,0,365,2424,717,10494,6783,326,480
results.json,real_0,,,2,1,1,12513,0,1536,864,672,231,405,385,0,0,365,2424,723,10496,6783,328,480
results.json,real_1,,,0,0,0,17853,1848,1536,864,672,385,865,845,480,480,825,2688,2419,14465,11080,0,480
results.json,real_1,,,0,0,1,16005,0,1536,864,672,385,865,845,480,480,825,2688,2419,14465,11080,0,480
results.json,real_1,,,0,1,0,19122,1848,1536,864,672,385,865,845,480,480,825,2688,2810,15102,11445,272,480
results.json,real_1,,,0,1,1,17117,0,1536,864,672,385,865,845,480,480,825,2688,2809,15099,11445,269,480
results.json,real_1,,,1,0,0,15350,1848,1536,864,672,385,865,845,0,480,825,2688,396,11962,8577,0,480
results.json,real_1,,,1,0,1,13502,0,1536,864,672,385,865,845,0,480,825,2688,396,11962,8577,0,480
results.json,real_1,,,1,1,0,16327,1848,1536,864,672,385,865,845,0,480,825,2688,497,12307,8600,322,480
results.json,real_1,,,1,1,1,14322,0,1536,864,672,385,865,845,0,480,825,2688,494,12304,8625,294,480
results.json,real_1,,,2,0,0,15350,1848,1536,864,672,385,865,845,0,0,825,2688,396,11962,8577,0,480
results.json,real_1,,,2,0,1,13502,0,1536,864,672,385,865,845,0,0,825,2688,396,11962,8577,0,480
results.json,real_1,,,2,1,0,16327,1848,1536,864,672,385,865,845,0,0,825,2688,497,12307,8600,322,480
results.json,real_1,,,2,1,1,14322,0,1536,864,672,385,865,845,0,0,825,2688,494,12304,8625,294,480
results.json,real_2,,,0,0,0,12223,1848,1536,864,672,87,43,23,480,480,3,96,2419,8835,5450,0,480
results.json,real_2,,,0,0,1,10375,0,1536,864,672,87,43,23,480,480,3,96,2419,8835,5450,0,480
results.json,real_2,,,0,1,0,13282,1848,1536,864,672,87,43,23,480,480,3,96,2808,9259,5603,271,480
results.json,real_2,,,0,1,1,11279,0,1536,864,672,87,43,23,480,480,3,96,2808,9258,5602,271,480
results.json,real_2,,,1,0,0,11160,1848,1536,864,672,87,43,23,0,480,3,96,1836,7772,4387,0,480
results.json,real_2,,,1,0,1,9312,0,1536,864,672,87,43,23,0,480,3,96,1836,7772,4387,0,480
results.json,real_2,,,1,1,0,12199,1848,1536,864,672,87,43,23,0,480,3,96,2184,8176,4524,267,480
results.json,real_2,,,1,1,1,10202,0,1536,864,672,87,43,23,0,480,3,96,2194,8181,4522,274,480
results.json,real_2,,,2,0,0,11160,1848,1536,864,672,87,43,23,0,0,3,96,1836,7772,4387,0,480
results.json,real_2,,,2,0,1,9312,0,1536,864,672,87,43,23,0,0,3,96,1836,7772,4387,0,480
results.json,real_2,,,2,1,0,12199,1848,1536,864,672,87,43,23,0,0,3,96,2184,8176,4524,267,480
results.json,real_2,,,2,1,1,10202,0,1536,864,672,87,43,23,0,0,3,96,2194,8181,4522,274,480
results.json,real_3,,,0,0,0,13859,1848,1536,864,672,176,181,161,480,480,141,1164,2419,10471,7086,0,480
results.json,real_3,,,0,0,1,12011,0,1536,864,672,176,181,161,480,480,141,1164,2419,10471,7086,0,480
results.json,real_3,,,0,1,0,14979,1848,1536,864,672,176,181,161,480,480,141,1164,2808,10962,7307,270,480
results.json,real_3,,,0,1,1,12977,0,1536,864,672,176,181,161,480,480,141,1164,2807,10962,7308,269,480
results.json,real_3,,,1,0,0,12244,1848,1536,864,672,176,181,161,0,480,141,1164,1284,8856,5471,0,480
results.json,real_3,,,1,0,1,10396,0,1536,864,672,176,181,161,0,480,141,1164,1284,8856,5471,0,480
results.json,real_3,,,1,1,0,13237,1848,1536,864,672,176,181,161,0,480,141,1164,1558,9220,5552,283,480
results.json,real_3,,,1,1,1,11229,0,1536,864,672,176,181,161,0,480,141,1164,1554,9214,5548,281,480
results.json,real_3,,,2,0,0,12244,1848,1536,864,672,176,181,161,0,0,141,1164,1284,8856,5471,0,480
results.json,real_3,,,2,0,1,10396,0,1536,864,672,176,181,161,0,0,141,1164,1284,8856,5471,0,480
results.json,real_3,,,2,1,0,13237,1848,1536,864,672,176,181,161,0,0,141,1164,1558,9220,5552,283,480
results.json,real_3,,,2,1,1,11229,0,1536,864,672,176,181,161,0,0,141,1164,1554,9214,5548,281,480
results.json,real_4,,,0,0,0,16902,1848,1536,1536,0,331,596,576,480,480,556,2652,2419,13514,10129,0,480
results.json,real_4,,,0,0,1,15054,0,1536,1536,0,331,596,576,480,480,556,2652,2419,13514,10129,0,480
results.json,real_4,,,0,1,0,18334,1848,1536,1536,0,331,596,576,480,480,556,2652,2805,14178,10524,269,480
results.json,real_4,,,0,1,1,16332,0,1536,1536,0,331,596,576,480,480,556,2652,2804,14178,10525,268,480
results.json,real_4,,,1,0,0,14387,1848,1536,1536,0,331,596,576,0,480,556,2652,384,10999,7614,0,480
results.json,real_4,,,1,0,1,12539,0,1536,1536,0,331,596,576,0,480,556,2652,384,10999,7614,0,480
results.json,real_4,,,1,1,0,15554,1848,1536,1536,0,331,596,576,0,480,556,2652,508,11398,7665,348,480
results.json,real_4,,,1,1,1,13542,0,1536,1536,0,331,596,576,0,480,556,2652,495,11388,7648,355,480
results.json,real_4,,,2,0,0,14387,1848,1536,1536,0,331,596,576,0,0,556,2652,384,10999,7614,0,480
results.json,real_4,,,2,0,1,12539,0,1536,1536,0,331,596,576,0,0,556,2652,384,10999,7614,0,480
results.json,real_4,,,2,1,0,15554,1848,1536,1536,0,331,596,576,0,0,556,2652,508,11398,7665,348,480
results.json,real_4,,,2,1,1,13542,0,1536,1536,0,331,596,576,0,0,556,2652,495,11388,7648,355,480
results.json,real_5,,,0,0,0,14974,1848,1536,1536,0,261,376,356,480,480,336,1524,2419,11586,8201,0,480
results.json,real_5,,,0,0,1,13126,0,1536,1536,0,261,376,356,480,480,336,1524,2419,11586,8201,0,480
results.json,real_5,,,0,1,0,16362,1848,1536,1536,0,261,376,356,480,480,336,1524,2808,12206,8550,271,480
results.json,real_5,,,0,1,1,14359,0,1536,1536,0,261,376,356,480,480,336,1524,2808,12205,8549,271,480
results.json,real_5,,,1,0,0,13143,1848,1536,1536,0,261,376,356,0,480,336,1524,1068,9755,6370,0,480
results.json,real_5,,,1,0,1,11295,0,1536,1536,0,261,376,356,0,480,336,1524,1068,9755,6370,0,480
results.json,real_5,,,1,1,0,14557,1848,1536,1536,0,261,376,356,0,480,336,1524,1467,10401,6574,442,480
results.json,real_5,,,1,1,1,12577,0,1536,1536,0,261,376,356,0,480,336,1524,1487,10423,6581,457,480
results.json,real_5,,,2,0,0,13143,1848,1536,1536,0,261,376,356,0,0,336,1524,1068,9755,6370,0,480
results.json,real_5,,,2,0,1,11295,0,1536,1536,0,261,376,356,0,0,336,1524,1068,9755,6370,0,480
results.json,real_5,,,2,1,0,14557,1848,1536,1536,0,261,376,356,0,0,336,1524,1467,10401,6574,442,480
results.json,real_5,,,2,1,1,12577,0,1536,1536,0,261,376,356,0,0,336,1524,1487,10423,6581,457,480
results.json,real_6,,,0,0,0,22530,1848,1536,1536,0,703,1904,1884,480,480,1864,3612,2419,19142,15757,0,480
results.json,real_6,,,0,0,1,20682,0,1536,1536,0,703,1904,1884,480,480,1864,3612,2419,19142,15757,0,480
results.json,real_6,,,0,1,0,24102,1848,1536,1536,0,703,1904,1884,480,480,1864,3612,2808,19946,16293,268,480
results.json,real_6,,,0,1,1,22099,0,1536,1536,0,703,1904,1884,480,480,1864,3612,2808,19945,16289,271,480
results.json,real_6,,,1,0,0,19631,1848,1536,1536,0,703,1904,1884,0,480,1864,3612,0,16243,12858,0,480
results.json,real_6,,,1,0,1,17783,0,1536,1536,0,703,1904,1884,0,480,1864,3612,0,16243,12858,0,480
results.json,real_6,,,1,1,0,20837,1848,1536,1536,0,703,1904,1884,0,480,1864,3612,22,16681,13007,289,480
results.json,real_6,,,1,1,1,18842,0,1536,1536,0,703,1904,1884,0,480,1864,3612,26,16688,13005,298,480
results.json,real_6,,,2,0,0,19631,1848,1536,1536,0,703,1904,1884,0,0,1864,3612,0,16243,12858,0,480
results.json,real_6,,,2,0,1,17783,0,1536,1536,0,703,1904,1884,0,0,1864,3612,0,16243,12858,0,480
results.json,real_6,,,2,1,0,20837,1848,1536,1536,0,703,1904,1884,0,0,1864,3612,22,16681,13007,289,480
results.json,real_6,,,2,1,1,18842,0,1536,1536,0,703,1904,1884,0,0,1864,3612,26,16688,13005,298,480
results.json,real_7,,,0,0,0,19898,1848,1536,1536,0,536,1194,1174,480,480,1154,3444,2419,16510,13125,0,480
results.json,real_7,,,0,0,1,18050,0,1536,1536,0,536,1194,1174,480,480,1154,3444,2419,16510,13125,0,480
results.json,real_7,,,0,1,0,21377,1848,1536,1536,0,536,1194,1174,480,480,1154,3444,2804,17221,13567,269,480
results.json,real_7,,,0,1,1,19372,0,1536,1536,0,536,1194,1174,480,480,1154,3444,2803,17218,13566,267,480
results.json,real_7,,,1,0,0,17011,1848,1536,1536,0,536,1194,1174,0,480,1154,3444,12,13623,10238,0,480
results.json,real_7,,,1,0,1,15163,0,1536,1536,0,536,1194,1174,0,480,1154,3444,12,13623,10238,0,480
results.json,real_7,,,1,1,0,18112,1848,1536,1536,0,536,1194,1174,0,480,1154,3444,13,13956,10267,304,480
results.json,real_7,,,1,1,1,16112,0,1536,1536,0,536,1194,1174,0,480,1154,3444,26,13958,10192,381,480
results.json,real_7,,,2,0,0,17011,1848,1536,1536,0,536,1194,1174,0,0,1154,3444,12,13623,10238,0,480
results.json,real_7,,,2,0,1,15163,0,1536,1536,0,536,1194,1174,0,0,1154,3444,12,13623,10238,0,480
results.json,real_7,,,2,1,0,18112,1848,1536,1536,0,536,1194,1174,0,0,1154,3444,13,13956,10267,304,480
results.json,real_7,,,2,1,1,16112,0,1536,1536,0,536,1194,1174,0,0,1154,3444,26,13958,10192,381,480
results.json,zero,,,0,0,0,12112,1848,1536,1536,0,0,40,20,480,480,0,0,2419,8724,5339,0,480
results.json,zero,,,0,0,1,10264,0,1536,1536,0,0,40,20,480,480,0,0,2419,8724,5339,0,480
results.json,zero,,,0,1,0,13402,1848,1536,1536,0,0,40,20,480,480,0,0,2806,9246,5592,269,480
results.json,zero,,,0,1,1,11397,0,1536,1536,0,0,40,20,480,480,0,0,2805,9243,5589,269,480
results.json,zero,,,1,0,0,11109,1848,1536,1536,0,0,40,20,0,480,0,0,1896,7721,4336,0,480
results.json,zero,,,1,0,1,9261,0,1536,1536,0,0,40,20,0,480,0,0,1896,7721,4336,0,480
results.json,zero,,,1,1,0,12412,1848,1536,1536,0,0,40,20,0,480,0,0,2296,8256,4597,274,480
results.json,zero,,,1,1,1,10399,0,1536,1536,0,0,40,20,0,480,0,0,2288,8245,4591,269,480
results.json,zero,,,2,0,0,11109,1848,1536,1536,0,0,40,20,0,0,0,0,1896,7721,4336,0,480
results.json,zero,,,2,0,1,9261,0,1536,1536,0,0,40,20,0,0,0,0,1896,7721,4336,0,480
results.json,zero,,,2,1,0,12412,1848,1536,1536,0,0,40,20,0,0,0,0,2296,8256,4597,274,480
results.json,zero,,,2,1,1,10399,0,1536,1536,0,0,40,20,0,0,0,0,2288,8245,4591,269,480
results.json,one,,,0,0,0,68916,1848,1536,1536,0,946,17280,17260,480,480,17240,3360,2419,65528,62143,0,480
results.json,one,,,0,0,1,67068,0,1536,1536,0,946,17280,17260,480,480,17240,3360,2419,65528,62143,0,480
results.json,one,,,0,1,0,70554,1848,1536,1536,0,946,17280,17260,480,480,17240,3360,2809,66398,62743,270,480
results.json,one,,,0,1,1,68549,0,1536,1536,0,946,17280,17260,480,480,17240,3360,2806,66395,62742,268,480
results.json,one,,,1,0,0,66017,1848,1536,1536,0,946,17280,17260,0,480,17240,3360,0,62629,59244,0,480
results.json,one,,,1,0,1,64169,0,1536,1536,0,946,17280,17260,0,480,17240,3360,0,62629,59244,0,480
results.json,one,,,1,1,0,67272,1848,1536,1536,0,946,17280,17260,0,480,17240,3360,3,63116,59492,239,480
results.json,one,,,1,1,1,65267,0,1536,1536,0,946,17280,17260,0,480,17240,3360,2,63113,59415,313,480
results.json,one,,,2,0,0,66017,1848,1536,1536,0,946,17280,17260,0,0,17240,3360,0,62629,59244,0,480
results.json,one,,,2,0,1,64169,0,1536,1536,0,946,17280,17260,0,0,17240,3360,0,62629,59244,0,480
results.json,one,,,2,1,0,67272,1848,1536,1536,0,946,17280,17260,0,0,17240,3360,3,63116,59492,239,480
