fixture,mode,stall,command,total_cycles,static_words,source_load_words,core_cycles,core_encoder_cycles,core_candidate_trials,core_mac_issues,core_base_reads,core_base_negations,core_reference_writes,core_choice_prev,core_choice_anchor,core_choice_neg1,core_choice_pos2,core_choice_neg2,core_range_rejects,consumer_cycles,consumer_join_wait_cycles,consumer_output_stalls
real_0,0,0,0,15901,1848,1536,12507,0,0,2424,0,0,0,0,0,0,0,0,0,12513,9128,0
real_0,0,0,1,14053,0,1536,12507,0,0,2424,0,0,0,0,0,0,0,0,0,12513,9128,0
real_0,0,1,0,17094,1848,1536,13069,0,0,2424,0,0,0,0,0,0,0,0,0,13075,9420,270
real_0,0,1,1,15089,0,1536,13066,0,0,2424,0,0,0,0,0,0,0,0,0,13072,9419,268
real_0,1,0,0,15967,1848,1536,12573,150,35,2316,12,0,12,5,1,0,0,0,0,12579,9194,0
real_0,1,0,1,14119,0,1536,12573,150,35,2316,12,0,12,5,1,0,0,0,0,12579,9194,0
real_0,1,1,0,17164,1848,1536,13139,150,35,2316,12,0,12,5,1,0,0,0,0,13145,9489,271
real_0,1,1,1,15162,0,1536,13136,150,35,2316,12,0,12,5,1,0,0,0,0,13145,9490,270
real_0,2,0,0,16113,1848,1536,12719,296,108,2316,12,0,12,5,1,0,0,0,0,12725,9340,0
real_0,2,0,1,14265,0,1536,12719,296,108,2316,12,0,12,5,1,0,0,0,0,12725,9340,0
real_0,2,1,0,17307,1848,1536,13279,296,108,2316,12,0,12,5,1,0,0,0,0,13288,9634,269
real_0,2,1,1,15302,0,1536,13278,296,108,2316,12,0,12,5,1,0,0,0,0,13285,9633,267
real_1,0,0,0,17853,1848,1536,14459,0,0,2688,0,0,0,0,0,0,0,0,0,14465,11080,0
real_1,0,0,1,16005,0,1536,14459,0,0,2688,0,0,0,0,0,0,0,0,0,14465,11080,0
real_1,0,1,0,19122,1848,1536,15093,0,0,2688,0,0,0,0,0,0,0,0,0,15102,11445,272
real_1,0,1,1,17117,0,1536,15092,0,0,2688,0,0,0,0,0,0,0,0,0,15099,11445,269
real_1,1,0,0,17997,1848,1536,14603,168,44,2664,0,0,0,2,0,0,0,0,0,14609,11224,0
real_1,1,0,1,16149,0,1536,14603,168,44,2664,0,0,0,2,0,0,0,0,0,14609,11224,0
real_1,1,1,0,19262,1848,1536,15235,168,44,2664,0,0,0,2,0,0,0,0,0,15242,11588,269
real_1,1,1,1,17259,0,1536,15235,168,44,2664,0,0,0,2,0,0,0,0,0,15241,11586,270
real_1,2,0,0,18165,1848,1536,14771,336,128,2664,0,0,0,2,0,0,0,0,0,14777,11392,0
real_1,2,0,1,16317,0,1536,14771,336,128,2664,0,0,0,2,0,0,0,0,0,14777,11392,0
real_1,2,1,0,19427,1848,1536,15400,336,128,2664,0,0,0,2,0,0,0,0,0,15407,11754,268
real_1,2,1,1,17424,0,1536,15400,336,128,2664,0,0,0,2,0,0,0,0,0,15406,11753,268
real_2,0,0,0,12223,1848,1536,8829,0,0,96,0,0,0,0,0,0,0,0,0,8835,5450,0
real_2,0,0,1,10375,0,1536,8829,0,0,96,0,0,0,0,0,0,0,0,0,8835,5450,0
real_2,0,1,0,13282,1848,1536,9252,0,0,96,0,0,0,0,0,0,0,0,0,9259,5603,271
real_2,0,1,1,11279,0,1536,9252,0,0,96,0,0,0,0,0,0,0,0,0,9258,5602,271
real_2,1,0,0,12303,1848,1536,8909,80,0,96,0,0,0,0,0,0,0,0,0,8915,5530,0
real_2,1,0,1,10455,0,1536,8909,80,0,96,0,0,0,0,0,0,0,0,0,8915,5530,0
real_2,1,1,0,13362,1848,1536,9332,80,0,96,0,0,0,0,0,0,0,0,0,9339,5685,269
real_2,1,1,1,11367,0,1536,9337,80,0,96,0,0,0,0,0,0,0,0,0,9346,5689,272
real_2,2,0,0,12303,1848,1536,8909,80,0,96,0,0,0,0,0,0,0,0,0,8915,5530,0
real_2,2,0,1,10455,0,1536,8909,80,0,96,0,0,0,0,0,0,0,0,0,8915,5530,0
real_2,2,1,0,13362,1848,1536,9332,80,0,96,0,0,0,0,0,0,0,0,0,9339,5685,269
real_2,2,1,1,11367,0,1536,9337,80,0,96,0,0,0,0,0,0,0,0,0,9346,5689,272
real_3,0,0,0,13859,1848,1536,10465,0,0,1164,0,0,0,0,0,0,0,0,0,10471,7086,0
real_3,0,0,1,12011,0,1536,10465,0,0,1164,0,0,0,0,0,0,0,0,0,10471,7086,0
real_3,0,1,0,14979,1848,1536,10956,0,0,1164,0,0,0,0,0,0,0,0,0,10962,7307,270
real_3,0,1,1,12977,0,1536,10955,0,0,1164,0,0,0,0,0,0,0,0,0,10962,7308,269
real_3,1,0,0,13967,1848,1536,10573,108,14,1164,0,0,0,0,0,0,0,0,0,10579,7194,0
real_3,1,0,1,12119,0,1536,10573,108,14,1164,0,0,0,0,0,0,0,0,0,10579,7194,0
real_3,1,1,0,15089,1848,1536,11066,108,14,1164,0,0,0,0,0,0,0,0,0,11072,7418,269
real_3,1,1,1,13087,0,1536,11065,108,14,1164,0,0,0,0,0,0,0,0,0,11072,7418,269
real_3,2,0,0,14027,1848,1536,10633,168,44,1164,0,0,0,0,0,0,0,0,0,10639,7254,0
real_3,2,0,1,12179,0,1536,10633,168,44,1164,0,0,0,0,0,0,0,0,0,10639,7254,0
real_3,2,1,0,15144,1848,1536,11121,168,44,1164,0,0,0,0,0,0,0,0,0,11127,7473,269
real_3,2,1,1,13142,0,1536,11120,168,44,1164,0,0,0,0,0,0,0,0,0,11127,7474,268
real_4,0,0,0,16902,1848,1536,13508,0,0,2652,0,0,0,0,0,0,0,0,0,13514,10129,0
real_4,0,0,1,15054,0,1536,13508,0,0,2652,0,0,0,0,0,0,0,0,0,13514,10129,0
real_4,0,1,0,18334,1848,1536,14172,0,0,2652,0,0,0,0,0,0,0,0,0,14178,10524,269
real_4,0,1,1,16332,0,1536,14171,0,0,2652,0,0,0,0,0,0,0,0,0,14178,10525,268
real_4,1,0,0,17030,1848,1536,13636,176,48,2580,12,0,12,3,1,0,0,0,0,13642,10257,0
real_4,1,0,1,15182,0,1536,13636,176,48,2580,12,0,12,3,1,0,0,0,0,13642,10257,0
real_4,1,1,0,18469,1848,1536,14307,176,48,2580,12,0,12,3,1,0,0,0,0,14313,10657,271
real_4,1,1,1,16464,0,1536,14304,176,48,2580,12,0,12,3,1,0,0,0,0,14310,10655,270
real_4,2,0,0,17198,1848,1536,13804,344,132,2580,12,0,12,3,1,0,0,0,0,13810,10425,0
real_4,2,0,1,15350,0,1536,13804,344,132,2580,12,0,12,3,1,0,0,0,0,13810,10425,0
real_4,2,1,0,18634,1848,1536,14472,344,132,2580,12,0,12,3,1,0,0,0,0,14478,10822,271
real_4,2,1,1,16629,0,1536,14469,344,132,2580,12,0,12,3,1,0,0,0,0,14475,10821,269
real_5,0,0,0,14974,1848,1536,11580,0,0,1524,0,0,0,0,0,0,0,0,0,11586,8201,0
real_5,0,0,1,13126,0,1536,11580,0,0,1524,0,0,0,0,0,0,0,0,0,11586,8201,0
real_5,0,1,0,16362,1848,1536,12199,0,0,1524,0,0,0,0,0,0,0,0,0,12206,8550,271
real_5,0,1,1,14359,0,1536,12199,0,0,1524,0,0,0,0,0,0,0,0,0,12205,8549,271
real_5,1,0,0,15086,1848,1536,11692,112,16,1524,0,0,0,0,0,0,0,0,0,11698,8313,0
