file,sequence,valid_pixels,AEE,AAE,AAE_Benchmark,DSEC_Fl,excluded_from_holdout9
zurich_city_09_a_0001.npy,zurich_city_09_a,33225,1.528197658,19.4552106847,17.3438487585,6.8562829195,True
zurich_city_07_a_0001.npy,zurich_city_07_a,60911,2.7632396037,4.5686052191,4.6969641157,19.6778906930,False
zurich_city_02_c_0001.npy,zurich_city_02_c,50313,1.2135586696,9.6675461610,8.1108417556,4.8933675193,False
zurich_city_11_b_0001.npy,zurich_city_11_b,71275,0.8770144248,7.9542853385,8.1825166608,0.7506138197,False
zurich_city_09_a_0011.npy,zurich_city_09_a,34250,0.8308005246,7.6985547445,7.6940611314,1.0569343066,False
zurich_city_07_a_0011.npy,zurich_city_07_a,53178,1.8373696007,3.5890191315,3.6441796890,7.4354056189,False
zurich_city_02_c_0011.npy,zurich_city_02_c,49226,1.1510100576,6.3868490483,5.9674447954,5.1639377565,False
zurich_city_11_b_0011.npy,zurich_city_11_b,64608,1.1328364425,4.7463365605,5.2083076980,4.8399579000,False
zurich_city_09_a_0021.npy,zurich_city_09_a,33116,1.0459005607,10.3609056045,10.0593897210,1.8389902162,False
zurich_city_07_a_0021.npy,zurich_city_07_a,66633,2.1661010685,3.3724590293,3.5662795649,11.5603379707,False
