ordinary corner direct_gp 405890 {'values': 20480, 'differences': 0, 'max_abs': 0.0, 'rms': 0.0, 'reference_max_abs': 4.53125}
ordinary corner tcam_pr 730143 {'values': 20480, 'differences': 0, 'max_abs': 0.0, 'rms': 0.0, 'reference_max_abs': 4.53125}
ordinary corner column_relation 729453 {'values': 20480, 'differences': 0, 'max_abs': 0.0, 'rms': 0.0, 'reference_max_abs': 4.53125}
ordinary interior direct_gp 591182 {'values': 25920, 'differences': 0, 'max_abs': 0.0, 'rms': 0.0, 'reference_max_abs': 4.787109375}
ordinary interior tcam_pr 1077366 {'values': 25920, 'differences': 0, 'max_abs': 0.0, 'rms': 0.0, 'reference_max_abs': 4.787109375}
ordinary interior column_relation 1076377 {'values': 25920, 'differences': 0, 'max_abs': 0.0, 'rms': 0.0, 'reference_max_abs': 4.787109375}
lifting_raw corner direct_gp 350334 {'values': 20480, 'differences': 0, 'max_abs': 0.0, 'rms': 0.0, 'reference_max_abs': 4.359375}
lifting_raw corner tcam_pr 623368 {'values': 20480, 'differences': 0, 'max_abs': 0.0, 'rms': 0.0, 'reference_max_abs': 4.359375}
lifting_raw corner column_relation 622724 {'values': 20480, 'differences': 0, 'max_abs': 0.0, 'rms': 0.0, 'reference_max_abs': 4.359375}
lifting_raw interior direct_gp 523790 {'values': 25920, 'differences': 0, 'max_abs': 0.0, 'rms': 0.0, 'reference_max_abs': 5.0703125}
lifting_raw interior tcam_pr 961546 {'values': 25920, 'differences': 0, 'max_abs': 0.0, 'rms': 0.0, 'reference_max_abs': 5.0703125}
lifting_raw interior column_relation 960626 {'values': 25920, 'differences': 0, 'max_abs': 0.0, 'rms': 0.0, 'reference_max_abs': 5.0703125}
