group,flive,route,merge,reduce,actual_capture_count,service_slots_mean,source_R64_requests_mean,physical_W8_reads_mean,NR4_packets_mean,NR4_admission_stalls_mean,W_arbiter_denied_requests_mean,selected_events_mean,S_writes_mean,program_issues_mean,issue_idle_slots_mean,S_valid_peak
original_integer,1,class,False,False,12,2713.6666666666665,576,2427.3333333333335,599.6666666666666,2552.4166666666665,165.33333333333334,6198.5,4727.416666666667,2538.6666666666665,1285.8333333333333,28
original_integer,1,class,False,True,12,2387.0833333333335,576,2427.3333333333335,599.6666666666666,1509.0833333333333,209.66666666666666,6198.5,4727.416666666667,2538.6666666666665,1450.4166666666667,28
original_integer,1,class,True,False,12,2714.25,576,2377.75,599.6666666666666,2562.4166666666665,151,6198.5,4727.416666666667,2538.6666666666665,1288.0833333333333,28
original_integer,1,class,True,True,12,2385.0833333333335,576,2352.5,599.6666666666666,1516.5,188.58333333333334,6198.5,4727.416666666667,2538.6666666666665,1442.4166666666667,28
original_integer,2,class,False,False,12,3222.0833333333335,288,2427.3333333333335,599.6666666666666,4743.5,185.5,6198.5,4727.416666666667,2538.6666666666665,3319.4166666666665,56
original_integer,2,class,False,True,12,2827.4166666666665,288,2427.3333333333335,599.6666666666666,3259.9166666666665,268,6198.5,4727.416666666667,2538.6666666666665,3211.6666666666665,56
original_integer,2,class,True,False,12,3216.9166666666665,288,2385.4166666666665,599.6666666666666,4752.333333333333,154.91666666666666,6198.5,4727.416666666667,2538.6666666666665,3298.5833333333335,56
original_integer,2,class,True,True,12,2820.6666666666665,288,2382.0833333333335,599.6666666666666,3271.5833333333335,229.41666666666666,6198.5,4727.416666666667,2538.6666666666665,3184.9166666666665,56
original_integer,1,time,False,False,12,3412.4166666666665,576,2427.3333333333335,599.6666666666666,4940.75,92.83333333333333,8794.666666666666,6242.5,2346.6666666666665,1708.5833333333333,24
original_integer,1,time,False,True,12,2700.1666666666665,576,2427.3333333333335,599.6666666666666,2544.4166666666665,159.25,8794.666666666666,6242.5,2346.6666666666665,1411.75,24
original_integer,1,time,True,False,12,3413.3333333333335,576,2396.75,599.6666666666666,4940,90.66666666666667,8794.666666666666,6242.5,2346.6666666666665,1712.1666666666667,24
original_integer,1,time,True,True,12,2699.8333333333335,576,2383.6666666666665,599.6666666666666,2557.5833333333335,144.5,8794.666666666666,6242.5,2346.6666666666665,1410.4166666666667,24
original_integer,2,time,False,False,12,3939.5,288,2427.3333333333335,599.6666666666666,7334.416666666667,121.41666666666667,8794.666666666666,6242.5,2346.6666666666665,3816.75,48
original_integer,2,time,False,True,12,3194.0833333333335,288,2427.3333333333335,599.6666666666666,4779.5,182,8794.666666666666,6242.5,2346.6666666666665,3387.3333333333335,48
original_integer,2,time,True,False,12,3932.6666666666665,288,2397.8333333333335,599.6666666666666,7336.5,93.91666666666667,8794.666666666666,6242.5,2346.6666666666665,3789.3333333333335,48
original_integer,2,time,True,True,12,3190,288,2390,599.6666666666666,4787.166666666667,153.5,8794.666666666666,6242.5,2346.6666666666665,3371.0833333333335,48
trained_2of4,1,class,False,False,2,2447,576,2966,372.5,1397,223,4566.5,3227,2656,1961,28
trained_2of4,1,class,False,True,2,2434,576,2966,372.5,1366.5,233.5,4566.5,3227,2656,3248,28
trained_2of4,1,class,True,False,2,2441,576,2656,372.5,1395.5,193.5,4566.5,3227,2656,1937,28
trained_2of4,1,class,True,True,2,2408.5,576,2417.5,372.5,1368.5,91,4566.5,3227,2656,3146,28
trained_2of4,2,class,False,False,2,3022.5,288,2966,372.5,3610,455,4566.5,3227,2656,4262.5,54
trained_2of4,2,class,False,True,2,2731.5,288,2966,372.5,2274.5,610.5,4566.5,3227,2656,4438,54
