group,mode,actual_capture_count,source_plus_W_frontend_slots_mean,W8_reads_mean,NRV32_reads_mean,required_S_additions_mean
original_integer,dense_private,12,1343.75,2427.3333333333335,2427.3333333333335,6198.5
original_integer,dense_merge,12,1343.9166666666667,2310.6666666666665,2427.3333333333335,6198.5
original_integer,dense_cache,12,2157.9166666666665,989.3333333333334,2427.3333333333335,6198.5
original_integer,index_private,12,2842.1666666666665,8425,2427.3333333333335,6198.5
original_integer,index_merge,12,2745.75,7587.833333333333,2427.3333333333335,6198.5
original_integer,index_cache,12,6167.666666666667,4689.666666666667,2427.3333333333335,6198.5
trained_2of4,dense_private,2,1471,2966,2966,4566.5
trained_2of4,dense_merge,2,1471.5,2775,2966,4566.5
trained_2of4,dense_cache,2,2291,872,2966,4566.5
trained_2of4,index_private,2,2192,4568,2964,4566.5
trained_2of4,index_merge,2,2118,3574.5,2964,4566.5
trained_2of4,index_cache,2,3270.5,1748,2964,4566.5
trained_C16,dense_private,2,1471,2966,2966,4535
trained_C16,dense_merge,2,1471.5,2775,2966,4535
trained_C16,dense_cache,2,2291,872,2966,4535
trained_C16,index_private,2,2223,4505.5,2966,4535
trained_C16,index_merge,2,2102.5,3520,2966,4535
trained_C16,index_cache,2,3126.5,1486,2966,4535
