axis,sequence,frames,valid_pixels,AEE_frame_mean,NB0_frame_mean,delta_mean,frames_better
dense,thun_00_a,5,318476,0.8365232708598743,1.0762332801399999,-0.23971000928012565,5
dense,zurich_city_01_a,10,686224,0.8830000393777567,1.10346663835,-0.22046659897224327,10
dense,zurich_city_02_a,7,453330,1.4664797078826979,1.8412161963714284,-0.37473648848873065,7
dense,zurich_city_02_c,80,3065283,1.5489062701837226,1.9350344316562498,-0.38612816147252743,77
dense,zurich_city_02_d,37,1349886,1.486617501150539,1.8766556635513514,-0.39003816240081235,36
dense,zurich_city_02_e,47,1847458,1.364762635818661,1.696071664357447,-0.33130902853878563,46
dense,zurich_city_03_a,44,1730676,1.000970303861692,1.0716233750204545,-0.07065307115876254,36
dense,zurich_city_05_a,63,5015135,1.2132406429214657,1.430761753668254,-0.2175211107467881,57
dense,zurich_city_05_b,40,2843601,1.5777865400871434,2.0705176133000003,-0.4927310732128566,40
dense,zurich_city_06_a,65,4882843,1.3093515464839567,1.4305131148307693,-0.12116156834681258,59
dense,zurich_city_07_a,10,649636,1.579072296086617,2.12527204883,-0.5461997527433831,10
dense,zurich_city_08_a,35,2932769,0.9478781333716482,1.169476652702857,-0.22159851933120905,33
dense,zurich_city_09_a,64,2092900,1.256355108502489,1.478254223171875,-0.2218991146693858,54
dense,zurich_city_10_a,76,2863334,1.1916848986838875,1.3385834649697368,-0.14689856628584932,68
dense,zurich_city_10_b,39,1476487,1.0637312257626155,1.2880420260897434,-0.22431080032712808,35
dense,zurich_city_11_a,24,1969243,0.8223237822490069,0.9941968449541667,-0.17187306270515965,24
dense,zurich_city_11_b,97,7805075,1.072517570893951,1.260673479601031,-0.18815590870707985,89
dense,zurich_city_11_c,82,6170167,0.9346341552986607,1.1116942548170732,-0.1770600995184125,79
contiguous34,thun_00_a,5,318476,0.9315218166901313,1.0762332801399999,-0.14471146344986863,4
contiguous34,zurich_city_01_a,10,686224,0.9653108939865789,1.10346663835,-0.13815574436342123,9
contiguous34,zurich_city_02_a,7,453330,1.801517139487847,1.8412161963714284,-0.039699056883581565,4
contiguous34,zurich_city_02_c,80,3065283,1.799269032627106,1.9350344316562498,-0.13576539902914414,57
contiguous34,zurich_city_02_d,37,1349886,1.6994856435668242,1.8766556635513514,-0.17717001998452714,31
contiguous34,zurich_city_02_e,47,1847458,1.6210052689347552,1.696071664357447,-0.07506639542269172,28
contiguous34,zurich_city_03_a,44,1730676,1.1523182487605437,1.0716233750204545,0.08069487374008905,20
contiguous34,zurich_city_05_a,63,5015135,1.3856027390547412,1.430761753668254,-0.04515901461351292,47
contiguous34,zurich_city_05_b,40,2843601,1.8286028815739575,2.0705176133000003,-0.24191473172604275,36
contiguous34,zurich_city_06_a,65,4882843,1.6266038743859512,1.4305131148307693,0.19609075955518201,44
contiguous34,zurich_city_07_a,10,649636,1.9093043183446956,2.12527204883,-0.21596773048530465,9
contiguous34,zurich_city_08_a,35,2932769,1.0653275627775372,1.169476652702857,-0.10414908992532006,28
contiguous34,zurich_city_09_a,64,2092900,1.4965737239509016,1.478254223171875,0.018319500779026637,31
contiguous34,zurich_city_10_a,76,2863334,1.4628150620118192,1.3385834649697368,0.12423159704208242,44
contiguous34,zurich_city_10_b,39,1476487,1.2566543872142593,1.2880420260897434,-0.031387638875484174,24
contiguous34,zurich_city_11_a,24,1969243,0.9721862400286279,0.9941968449541667,-0.02201060492553887,14
contiguous34,zurich_city_11_b,97,7805075,1.2403915912643204,1.260673479601031,-0.020281888336710487,59
contiguous34,zurich_city_11_c,82,6170167,1.0964858326396638,1.1116942548170732,-0.015208422177409397,47
lifting40,thun_00_a,5,318476,0.8584693934668637,1.0762332801399999,-0.21776388667313631,5
lifting40,zurich_city_01_a,10,686224,0.8953316527872535,1.10346663835,-0.2081349855627465,10
lifting40,zurich_city_02_a,7,453330,1.5366675146240607,1.8412161963714284,-0.30454868174736777,7
lifting40,zurich_city_02_c,80,3065283,1.5562050308614523,1.9350344316562498,-0.37882940079479765,77
lifting40,zurich_city_02_d,37,1349886,1.525643453247061,1.8766556635513514,-0.3510122103042903,36
lifting40,zurich_city_02_e,47,1847458,1.3935788596581073,1.696071664357447,-0.30249280469933926,44
lifting40,zurich_city_03_a,44,1730676,1.0222910367076583,1.0716233750204545,-0.04933233831279615,34
lifting40,zurich_city_05_a,63,5015135,1.1882694075238776,1.430761753668254,-0.24249234614437648,58
lifting40,zurich_city_05_b,40,2843601,1.6011909797508426,2.0705176133000003,-0.46932663354915727,40
lifting40,zurich_city_06_a,65,4882843,1.3067147900168457,1.4305131148307693,-0.1237983248139237,58
lifting40,zurich_city_07_a,10,649636,1.6207140922365948,2.12527204883,-0.5045579565934053,10
lifting40,zurich_city_08_a,35,2932769,0.9543346845817591,1.169476652702857,-0.21514196812109795,33
lifting40,zurich_city_09_a,64,2092900,1.299437177316944,1.478254223171875,-0.17881704585493113,52
lifting40,zurich_city_10_a,76,2863334,1.1914038542599485,1.3385834649697368,-0.14717961070978813,66
lifting40,zurich_city_10_b,39,1476487,1.1080141112032946,1.2880420260897434,-0.18002791488644904,32
lifting40,zurich_city_11_a,24,1969243,0.859443302399656,0.9941968449541667,-0.1347535425545107,22
lifting40,zurich_city_11_b,97,7805075,1.0940765279823896,1.260673479601031,-0.1665969516186414,86
lifting40,zurich_city_11_c,82,6170167,0.9570410736298922,1.1116942548170732,-0.15465318118718102,77
