url,source_locations
http://creativecommons.org/publicdomain/zero/1.0/,research/hardware_innovation_20260908/psn/cmvm_20260909/.venv/lib/python3.12/site-packages/numpy-2.5.3.dist-info/licenses/numpy/random/src/splitmix64/LICENSE.md:9
http://www.kevinsheppard.com,research/hardware_innovation_20260908/psn/cmvm_20260909/.venv/lib/python3.12/site-packages/numpy/random/LICENSE.md:9 || research/hardware_innovation_20260908/psn/cmvm_20260909/.venv/lib/python3.12/site-packages/numpy-2.5.3.dist-info/licenses/numpy/random/LICENSE.md:9
https://2026.hpca-conf.org/details/hpca-2026-main-conference/42/Swift-High-Performance-Sparse-Dense-Matrix-Multiplication-on-GPUs,research/hardware_innovation_20260908/literature/architecture_followup_20260908.md:19 || research/literature_audit_20260909/LITERATURE_INVENTORY.md:45
https://2026.hpca-conf.org/details/hpca-2026-main-conference/83/GustavSNN-Unleashing-the-Power-of-Gustavson-s-Algorithm-on-SNN-Acceleration-with-Col,research/hardware_innovation_20260908/exploration_tcasii_20260911/web/W1_2025_2026_venues.md:68
https://2026.hpca-conf.org/program/program-hpca-2026/Detailed-Timeline,research/literature_audit_20260909/LITERATURE_INVENTORY.md:30
https://61dac.conference-program.com/presentation/?id=RESEARCH223&sess=sess114,research/literature_audit_20260909/LITERATURE_INVENTORY.md:208
https://62dac.conference-program.com/presentation/?id=RESEARCH2119&sess=sess104,research/hardware_innovation_20260908/literature/conditional_execution_followup_20260908.md:19 || research/literature_audit_20260909/LITERATURE_INVENTORY.md:161
https://act-lab.org/artifacts/bitfusion/,research/literature_audit_20260909/LITERATURE_INVENTORY.md:72
https://api.crossref.org/works/10.1109/TVLSI.2025.3600953,research/hardware_innovation_20260908/exploration_tcasii_20260911/round3_gap/web/DEEP_RESEARCH4.md:50
https://api.crossref.org/works/10.1145/3828526,codex_independent_20260905/01_review_and_selective_shared_reduction.md:114 || research/innovation_first_audit_20260906/report-source.md:11351
https://ar5iv.labs.arxiv.org/html/2011.05280,research/hardware_innovation_20260908/exploration_tcasii_20260911/web/DEEP_RESEARCH_WORKFLOW.md:46 || research/hardware_innovation_20260908/exploration_tcasii_20260911/web/DEEP_RESEARCH_WORKFLOW.md:55
https://ar5iv.labs.arxiv.org/html/2112.12133,research/hardware_innovation_20260908/exploration_tcasii_20260911/round2_absorb/web/R2W1.md:79
https://ar5iv.labs.arxiv.org/html/2304.12760,research/hardware_innovation_20260908/exploration_tcasii_20260911/web/DEEP_RESEARCH_WORKFLOW.md:42 || research/hardware_innovation_20260908/exploration_tcasii_20260911/web/DEEP_RESEARCH_WORKFLOW.md:43
https://ar5iv.labs.arxiv.org/html/2307.01694,research/hardware_innovation_20260908/exploration_tcasii_20260911/web/DEEP_RESEARCH_WORKFLOW.md:44
https://ar5iv.labs.arxiv.org/html/2403.16552,research/hardware_innovation_20260908/exploration_tcasii_20260911/web/DEEP_RESEARCH_WORKFLOW.md:45
https://ar5iv.labs.arxiv.org/html/2505.12771,research/hardware_innovation_20260908/exploration_tcasii_20260911/round2_absorb/web/DEEP_RESEARCH2.md:51
https://arxiv.org/abs/1312.4461,research/hardware_innovation_20260908/README.md:147 || research/literature_audit_20260909/LITERATURE_INVENTORY.md:221
https://arxiv.org/abs/1611.02024,gptpro/ChatGPTpro-#硬件idea深挖0911.md:75
https://arxiv.org/abs/1708.04485,research/13_isscc_vlsi_hotchips_edge_npus.md:212 || research/innovation_first_audit_20260906/report-source.md:975 || research/innovation_first_audit_20260906/report-source.md:1379 || research/innovation_first_audit_20260906/report-source.md:2712 || research/innovation_first_audit_20260906/report-source.md:3187 || research/innovation_first_audit_20260906/report-source.md:3453 || research/innovation_first_audit_20260906/report-source.md:8438 || research/innovation_first_audit_20260906/report-source.md:8780 || research/innovation_first_audit_20260906/report-source.md:8970 || research/innovation_first_audit_20260906/report-source.md:9160 || research/literature_audit_20260909/LITERATURE_INVENTORY.md:85
https://arxiv.org/abs/1708.08917,research/hardware_innovation_20260908/algorithm/patch_probe/residual_consumer_probe/novelty_review.md:61
https://arxiv.org/abs/1710.09820,research/literature_audit_20260909/LITERATURE_INVENTORY.md:282
https://arxiv.org/abs/1712.01507,research/13_isscc_vlsi_hotchips_edge_npus.md:225 || research/innovation_first_audit_20260906/report-source.md:1089 || research/innovation_first_audit_20260906/report-source.md:1265 || research/innovation_first_audit_20260906/report-source.md:1493 || research/innovation_first_audit_20260906/report-source.md:1569 || research/innovation_first_audit_20260906/report-source.md:1821 || research/innovation_first_audit_20260906/report-source.md:1954 || research/innovation_first_audit_20260906/report-source.md:6361 || research/innovation_first_audit_20260906/report-source.md:8457 || research/innovation_first_audit_20260906/report-source.md:8799 || research/literature_audit_20260909/LITERATURE_INVENTORY.md:85
https://arxiv.org/abs/1802.03806,research/literature_audit_20260909/LITERATURE_INVENTORY.md:170
https://arxiv.org/abs/1802.06898,research/literature_audit_20260909/LITERATURE_INVENTORY.md:299
https://arxiv.org/abs/1802.07309v3,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_list_300plus.md:131 || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_new_this_round.md:122
https://arxiv.org/abs/1803.10560,research/hardware_innovation_20260908/README.md:147 || research/literature_audit_20260909/LITERATURE_INVENTORY.md:198
https://arxiv.org/abs/1805.04513,research/literature_audit_20260909/LITERATURE_INVENTORY.md:213
https://arxiv.org/abs/1805.06085,research/literature_audit_20260909/LITERATURE_INVENTORY.md:178
https://arxiv.org/abs/1806.08862,research/literature_audit_20260909/LITERATURE_INVENTORY.md:214
https://arxiv.org/abs/1807.03439v3,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_list_300plus.md:130 || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_new_this_round.md:121
https://arxiv.org/abs/1811.08383,research/innovation_first_audit_20260906/report-source.md:6114 || research/innovation_first_audit_20260906/report-source.md:7107 || research/literature_audit_20260909/LITERATURE_INVENTORY.md:439
https://arxiv.org/abs/1811.12395,research/innovation_first_audit_20260906/candidate_cards_v1.md:53 || research/literature_audit_20260909/LITERATURE_INVENTORY.md:223
https://arxiv.org/abs/1812.11690,research/literature_audit_20260909/LITERATURE_INVENTORY.md:227
https://arxiv.org/abs/1903.05895,gptpro/ChatGPTpro-#硬件idea深挖0911.md:71
https://arxiv.org/abs/1905.11926,research/literature_audit_20260909/LITERATURE_INVENTORY.md:219
https://arxiv.org/abs/1908.08976,research/literature_audit_20260909/LITERATURE_INVENTORY.md:74
https://arxiv.org/abs/1911.11028,research/literature_audit_20260909/LITERATURE_INVENTORY.md:220
https://arxiv.org/abs/1912.03203,research/literature_audit_20260909/LITERATURE_INVENTORY.md:166
