mode,pressure,frame,service_slots,source_service_slots,selected_H8_service_slots,natural_hits,nonzero_change_hits,actual_source_dot_values_checked,SR_bytes,SW_bytes,CR_bytes,CW_bytes,port_or_writeback_wait
raw,ready,0,2688874,763026,10992,0,0,0,3834984,1349928,4214400,165568,1080
raw,ready,1,2756424,763026,10992,0,0,0,3842288,1377296,4578080,165568,1080
raw,ready,2,2662038,763026,10992,0,0,0,3795776,1347680,4173440,165568,1080
raw,ready,3,2731294,763026,10992,0,0,0,3838360,1370968,4471744,165568,1080
exact,ready,0,2689834,763986,11928,0,0,0,3835176,1356456,4214400,165568,1080
exact,ready,1,2761992,768594,16560,0,0,0,3848240,1383632,4578080,165568,1080
exact,ready,2,2667606,768594,16560,0,0,0,3801728,1354016,4173440,165568,1080
exact,ready,3,2736862,768594,16560,0,0,0,3844312,1377304,4471744,165568,1080
certified,ready,0,2697766,771918,19800,0,0,1920,3835176,1356456,4222080,165888,1080
certified,ready,1,2769864,776466,24432,0,0,1920,3848240,1383632,4585760,165568,1080
certified,ready,2,2675478,776466,24432,0,0,1920,3801728,1354016,4181120,165568,1080
certified,ready,3,2744734,776466,24432,0,0,1920,3844312,1377304,4479424,165568,1080
raw,stress,0,2968442,805377,11504,0,0,0,3834984,1349928,4214400,165568,280648
raw,stress,1,3039072,805383,11517,0,0,0,3842288,1377296,4578080,165568,283728
raw,stress,2,2939232,805383,11517,0,0,0,3795776,1347680,4173440,165568,278274
raw,stress,3,3014624,805383,11517,0,0,0,3838360,1370968,4471744,165568,284410
exact,stress,0,2969498,806433,12543,0,0,0,3835176,1356456,4214400,165568,280744
exact,stress,1,3045216,811527,17663,0,0,0,3848240,1383632,4578080,165568,284304
exact,stress,2,2945376,811527,17663,0,0,0,3801728,1354016,4173440,165568,278850
exact,stress,3,3020768,811527,17663,0,0,0,3844312,1377304,4471744,165568,284986
certified,stress,0,2977498,814433,20479,0,0,1920,3835176,1356456,4222080,165888,280812
certified,stress,1,3053248,819577,25717,0,0,1920,3848240,1383632,4585760,165568,284464
certified,stress,2,2953440,819577,25717,0,0,1920,3801728,1354016,4181120,165568,279042
certified,stress,3,3028832,819577,25717,0,0,1920,3844312,1377304,4479424,165568,285178
