family,program_length,window,mode,tiles,cycles,SR64_reads,SW64_writes,read_stall_cycles,write_stall_cycles,RF_vector_writebacks_checked,input_values,gate_bits_checked,differences,archived_Verilator_equal
dense,275,corner,ready,972,477252,29160,1944,0,0,264384,77760,77760,0,True
dense,275,corner,stress,972,528758,29160,1944,22343,0,264384,77760,77760,0,True
dense,275,interior,ready,1452,712932,43560,2904,0,0,394944,116160,116160,0,True
dense,275,interior,stress,1452,789878,43560,2904,33383,0,394944,116160,116160,0,True
contiguous34,127,corner,ready,972,294516,29160,1944,0,0,120528,77760,77760,0,True
contiguous34,127,corner,stress,972,342138,29160,1944,17163,1296,120528,77760,77760,0,True
contiguous34,127,interior,ready,1452,439956,43560,2904,0,0,180048,116160,116160,0,True
contiguous34,127,interior,stress,1452,511098,43560,2904,25643,1936,180048,116160,116160,0,True
lifting40,224,corner,ready,972,433512,29160,1944,0,0,213840,77760,77760,0,True
lifting40,224,corner,stress,972,482113,29160,1944,18790,648,213840,77760,77760,0,True
lifting40,224,interior,ready,1452,647592,43560,2904,0,0,319440,116160,116160,0,True
lifting40,224,interior,stress,1452,720193,43560,2904,28070,968,319440,116160,116160,0,True
dense_two_term,144,corner,ready,972,310068,29160,1944,0,0,138024,77760,77760,0,True
dense_two_term,144,corner,stress,972,373218,29160,1944,29132,3884,138024,77760,77760,0,True
dense_two_term,144,interior,ready,1452,463188,43560,2904,0,0,206184,116160,116160,0,True
dense_two_term,144,interior,stress,1452,557538,43560,2904,43532,5804,206184,116160,116160,0,True
lifting40_two_term,138,corner,ready,972,281880,29160,1944,0,0,131220,77760,77760,0,True
lifting40_two_term,138,corner,stress,972,326626,29160,1944,16061,487,131220,77760,77760,0,True
lifting40_two_term,138,interior,ready,1452,421080,43560,2904,0,0,196020,116160,116160,0,True
lifting40_two_term,138,interior,stress,1452,487906,43560,2904,23981,727,196020,116160,116160,0,True
