axis,window,pressure,mode,expanded_slots,code_slots,saved_slots,saved_percent,code_change_vs_raw_percent
ordinary,corner,ready,fixed,2053950,2030910,23040,1.1217410355656154,1.1474846479104794
ordinary,corner,ready,affine,2068632,2045862,22770,1.1007274372628828,1.8921543725440415
ordinary,corner,ready,full,2074612,2140493,-65881,-3.1755817473339665,6.60515870051348
ordinary,interior,ready,fixed,2746827,2723787,23040,0.8387859883421833,0.853059967090597
ordinary,interior,ready,affine,2761510,2738740,22770,0.8245488881083229,1.406721397183297
ordinary,interior,ready,full,2768652,2839011,-70359,-2.541272792680327,5.119433579141774
lifting_raw,corner,ready,fixed,1889880,1866840,23040,1.2191250238110407,1.2495932313699942
lifting_raw,corner,ready,affine,1904562,1881792,22770,1.1955504730221445,2.0605271721444884
lifting_raw,corner,ready,full,1910000,1965835,-55835,-2.9232984293193764,6.618667968326286
lifting_raw,interior,ready,fixed,2522879,2499839,23040,0.913242371116485,0.9301921834625304
lifting_raw,interior,ready,affine,2537562,2514792,22770,0.897317976861256,1.533914728682162
lifting_raw,interior,ready,full,2544476,2605712,-61236,-2.406625175478183,5.204780361757111
ordinary,interior,stress,fixed,3035450,2994906,40544,1.335683341843874,0.6972029171163685
ordinary,interior,stress,affine,3035802,3013690,22112,0.7283742483864208,1.3287740781461777
ordinary,interior,stress,full,3045050,3128282,-83232,-2.7333541321160615,5.1816809395562435
