axis,window,pressure,arm,stage,slots
ordinary,corner,ready,raw,coefficient_cold_fill,23352
ordinary,corner,ready,raw,source_I24_input,65610
ordinary,corner,ready,raw,source_compiled_temporal_program,451008
ordinary,corner,ready,raw,preview_complete_K864_coalesced_directory,181951
ordinary,corner,ready,raw,preview_U32_full_K,254525
ordinary,corner,ready,raw,preview_V32_BN1,293760
ordinary,corner,ready,raw,noncausal_T10_sn2,201984
ordinary,corner,ready,raw,integer_coefficient_replace,7692
ordinary,corner,ready,raw,original_I24_input,51840
ordinary,corner,ready,raw,integer_NRVs_from_actual_sn2,45877
ordinary,corner,ready,raw,integer_Conv2_U16,29831
ordinary,corner,ready,raw,resident_F,59544
ordinary,corner,ready,raw,integer_BN2_residual_merge,57600
ordinary,corner,ready,raw,integer_projection_gate,102912
ordinary,corner,ready,raw,retained_U_clear,480
ordinary,corner,ready,raw,U_actual_source_gather,17280
ordinary,corner,ready,raw,Uq_and_Ug_weight_supply,50720
ordinary,corner,ready,raw,original_U_RNE_sat,2880
ordinary,corner,ready,raw,retained_P1_H48_V,85312
ordinary,corner,ready,raw,continuous_PED_egress,18720
ordinary,corner,ready,raw,projection_gate_egress,4992
ordinary,corner,ready,fixed_expanded,coefficient_cold_fill,23352
ordinary,corner,ready,fixed_expanded,source_I24_input,65610
ordinary,corner,ready,fixed_expanded,source_compiled_temporal_program,451008
ordinary,corner,ready,fixed_expanded,preview_complete_K864_coalesced_directory,181951
ordinary,corner,ready,fixed_expanded,preview_U32_full_K,254525
ordinary,corner,ready,fixed_expanded,preview_V32_BN1,293760
ordinary,corner,ready,fixed_expanded,noncausal_T10_sn2,201984
ordinary,corner,ready,fixed_expanded,integer_coefficient_replace,7692
ordinary,corner,ready,fixed_expanded,original_I24_input,51840
ordinary,corner,ready,fixed_expanded,integer_NRVs_from_actual_sn2,45877
ordinary,corner,ready,fixed_expanded,integer_Conv2_U16,29831
ordinary,corner,ready,fixed_expanded,resident_F,59544
ordinary,corner,ready,fixed_expanded,integer_BN2_residual_merge,57600
ordinary,corner,ready,fixed_expanded,integer_projection_gate,102912
ordinary,corner,ready,fixed_expanded,quantizer_actual_I24_read,17280
ordinary,corner,ready,fixed_expanded,quantizer_RNE_clip8,11520
ordinary,corner,ready,fixed_expanded,quantizer_reconstruct_I24,17280
ordinary,corner,ready,fixed_expanded,retained_U_clear,480
ordinary,corner,ready,fixed_expanded,U_actual_source_gather,17280
ordinary,corner,ready,fixed_expanded,Uq_and_Ug_weight_supply,50720
ordinary,corner,ready,fixed_expanded,original_U_RNE_sat,2880
ordinary,corner,ready,fixed_expanded,retained_P1_H48_V,85312
ordinary,corner,ready,fixed_expanded,continuous_PED_egress,18720
ordinary,corner,ready,fixed_expanded,projection_gate_egress,4992
ordinary,corner,ready,fixed_code8,coefficient_cold_fill,23352
ordinary,corner,ready,fixed_code8,source_I24_input,65610
ordinary,corner,ready,fixed_code8,source_compiled_temporal_program,451008
ordinary,corner,ready,fixed_code8,preview_complete_K864_coalesced_directory,181951
ordinary,corner,ready,fixed_code8,preview_U32_full_K,254525
ordinary,corner,ready,fixed_code8,preview_V32_BN1,293760
ordinary,corner,ready,fixed_code8,noncausal_T10_sn2,201984
ordinary,corner,ready,fixed_code8,integer_coefficient_replace,7692
ordinary,corner,ready,fixed_code8,original_I24_input,51840
ordinary,corner,ready,fixed_code8,integer_NRVs_from_actual_sn2,45877
ordinary,corner,ready,fixed_code8,integer_Conv2_U16,29831
ordinary,corner,ready,fixed_code8,resident_F,59544
ordinary,corner,ready,fixed_code8,integer_BN2_residual_merge,57600
ordinary,corner,ready,fixed_code8,integer_projection_gate,102912
ordinary,corner,ready,fixed_code8,quantizer_actual_I24_read,17280
ordinary,corner,ready,fixed_code8,quantizer_RNE_clip8,11520
ordinary,corner,ready,fixed_code8,quantizer_code8_materialize,1920
ordinary,corner,ready,fixed_code8,retained_U_clear,480
ordinary,corner,ready,fixed_code8,U_actual_source_gather,9600
ordinary,corner,ready,fixed_code8,Uq_and_Ug_weight_supply,50720
ordinary,corner,ready,fixed_code8,original_U_RNE_sat,2880
ordinary,corner,ready,fixed_code8,retained_P1_H48_V,85312
ordinary,corner,ready,fixed_code8,continuous_PED_egress,18720
ordinary,corner,ready,fixed_code8,projection_gate_egress,4992
ordinary,corner,ready,affine_expanded,coefficient_cold_fill,23352
ordinary,corner,ready,affine_expanded,source_I24_input,65610
ordinary,corner,ready,affine_expanded,source_compiled_temporal_program,451008
ordinary,corner,ready,affine_expanded,preview_complete_K864_coalesced_directory,181951
ordinary,corner,ready,affine_expanded,preview_U32_full_K,254525
ordinary,corner,ready,affine_expanded,preview_V32_BN1,293760
ordinary,corner,ready,affine_expanded,noncausal_T10_sn2,201984
ordinary,corner,ready,affine_expanded,integer_coefficient_replace,7692
ordinary,corner,ready,affine_expanded,original_I24_input,51840
ordinary,corner,ready,affine_expanded,integer_NRVs_from_actual_sn2,45877
ordinary,corner,ready,affine_expanded,integer_Conv2_U16,29831
ordinary,corner,ready,affine_expanded,resident_F,59544
ordinary,corner,ready,affine_expanded,integer_BN2_residual_merge,57600
ordinary,corner,ready,affine_expanded,integer_projection_gate,102912
ordinary,corner,ready,affine_expanded,quantizer_constant_cold_fill,90
ordinary,corner,ready,affine_expanded,quantizer_predictor,3072
ordinary,corner,ready,affine_expanded,quantizer_actual_I24_read,17280
ordinary,corner,ready,affine_expanded,quantizer_RNE_clip8,17280
ordinary,corner,ready,affine_expanded,quantizer_reconstruct_I24,23040
ordinary,corner,ready,affine_expanded,retained_U_clear,480
ordinary,corner,ready,affine_expanded,U_actual_source_gather,17280
ordinary,corner,ready,affine_expanded,Uq_and_Ug_weight_supply,50720
ordinary,corner,ready,affine_expanded,original_U_RNE_sat,2880
ordinary,corner,ready,affine_expanded,retained_P1_H48_V,85312
ordinary,corner,ready,affine_expanded,continuous_PED_egress,18720
ordinary,corner,ready,affine_expanded,projection_gate_egress,4992
ordinary,corner,ready,affine_code8,coefficient_cold_fill,23352
ordinary,corner,ready,affine_code8,source_I24_input,65610
ordinary,corner,ready,affine_code8,source_compiled_temporal_program,451008
ordinary,corner,ready,affine_code8,preview_complete_K864_coalesced_directory,181951
ordinary,corner,ready,affine_code8,preview_U32_full_K,254525
ordinary,corner,ready,affine_code8,preview_V32_BN1,293760
ordinary,corner,ready,affine_code8,noncausal_T10_sn2,201984
ordinary,corner,ready,affine_code8,integer_coefficient_replace,7692
ordinary,corner,ready,affine_code8,original_I24_input,51840
ordinary,corner,ready,affine_code8,integer_NRVs_from_actual_sn2,45877
ordinary,corner,ready,affine_code8,integer_Conv2_U16,29831
ordinary,corner,ready,affine_code8,resident_F,59544
ordinary,corner,ready,affine_code8,integer_BN2_residual_merge,57600
ordinary,corner,ready,affine_code8,integer_projection_gate,102912
ordinary,corner,ready,affine_code8,quantizer_constant_cold_fill,360
ordinary,corner,ready,affine_code8,quantizer_predictor,3072
ordinary,corner,ready,affine_code8,quantizer_actual_I24_read,17280
ordinary,corner,ready,affine_code8,quantizer_RNE_clip8,17280
ordinary,corner,ready,affine_code8,quantizer_code8_materialize,1920
ordinary,corner,ready,affine_code8,retained_U_clear,480
ordinary,corner,ready,affine_code8,U_actual_source_gather,9600
ordinary,corner,ready,affine_code8,Uq_and_Ug_weight_supply,50720
ordinary,corner,ready,affine_code8,U_scale_and_Uc_before_original_RNE,5760
ordinary,corner,ready,affine_code8,original_U_RNE_sat,2880
ordinary,corner,ready,affine_code8,retained_P1_H48_V,85312
ordinary,corner,ready,affine_code8,continuous_PED_egress,18720
ordinary,corner,ready,affine_code8,projection_gate_egress,4992
ordinary,corner,ready,full_expanded,coefficient_cold_fill,23352
ordinary,corner,ready,full_expanded,source_I24_input,65610
ordinary,corner,ready,full_expanded,source_compiled_temporal_program,451008
ordinary,corner,ready,full_expanded,preview_complete_K864_coalesced_directory,181951
ordinary,corner,ready,full_expanded,preview_U32_full_K,254525
ordinary,corner,ready,full_expanded,preview_V32_BN1,293760
ordinary,corner,ready,full_expanded,noncausal_T10_sn2,201984
ordinary,corner,ready,full_expanded,integer_coefficient_replace,7692
ordinary,corner,ready,full_expanded,original_I24_input,51840
ordinary,corner,ready,full_expanded,integer_NRVs_from_actual_sn2,45877
ordinary,corner,ready,full_expanded,integer_Conv2_U16,29831
ordinary,corner,ready,full_expanded,resident_F,59544
ordinary,corner,ready,full_expanded,integer_BN2_residual_merge,57600
ordinary,corner,ready,full_expanded,integer_projection_gate,102912
ordinary,corner,ready,full_expanded,quantizer_constant_cold_fill,90
ordinary,corner,ready,full_expanded,quantizer_predictor,9052
ordinary,corner,ready,full_expanded,quantizer_actual_I24_read,17280
ordinary,corner,ready,full_expanded,quantizer_RNE_clip8,17280
ordinary,corner,ready,full_expanded,quantizer_reconstruct_I24,23040
ordinary,corner,ready,full_expanded,retained_U_clear,480
ordinary,corner,ready,full_expanded,U_actual_source_gather,17280
ordinary,corner,ready,full_expanded,Uq_and_Ug_weight_supply,50720
ordinary,corner,ready,full_expanded,original_U_RNE_sat,2880
ordinary,corner,ready,full_expanded,retained_P1_H48_V,85312
ordinary,corner,ready,full_expanded,continuous_PED_egress,18720
ordinary,corner,ready,full_expanded,projection_gate_egress,4992
ordinary,corner,ready,full_code8,coefficient_cold_fill,23352
ordinary,corner,ready,full_code8,source_I24_input,65610
ordinary,corner,ready,full_code8,source_compiled_temporal_program,451008
ordinary,corner,ready,full_code8,preview_complete_K864_coalesced_directory,181951
ordinary,corner,ready,full_code8,preview_U32_full_K,254525
ordinary,corner,ready,full_code8,preview_V32_BN1,293760
ordinary,corner,ready,full_code8,noncausal_T10_sn2,201984
ordinary,corner,ready,full_code8,integer_coefficient_replace,7692
ordinary,corner,ready,full_code8,original_I24_input,51840
ordinary,corner,ready,full_code8,integer_NRVs_from_actual_sn2,45877
ordinary,corner,ready,full_code8,integer_Conv2_U16,29831
ordinary,corner,ready,full_code8,resident_F,59544
