axis,window,pressure,arm,service_slots,producer_slots,consumer_slots,change_vs_raw_percent,SR64_bytes,SW64_bytes,CR256_bytes,CW256_bytes,operand_wait,port_or_writeback_wait,quantizer_values_checked,clipped_lanes,CSE_spill_SW64,CSE_reload_vectors,original_result_differences,source
ordinary,corner,ready,raw,2007870,1472190,535680,0.0,2724288,1043360,3004704,165568,306596,768,0,0,0,0,0,ordinary_corner_final.json
ordinary,corner,ready,fixed_expanded,2053950,1472190,581760,2.2949692958209367,2770368,1089440,3004704,165568,325796,768,15360,0,0,0,0,ordinary_corner_final.json
ordinary,corner,ready,fixed_code8,2030910,1472190,558720,1.1474846479104794,2739648,1058720,3004704,165568,318116,768,15360,0,0,0,0,ordinary_corner_final.json
ordinary,corner,ready,affine_expanded,2068632,1472190,596442,3.0261919347368105,2770368,1089440,3016992,166048,333860,768,15360,0,0,0,0,ordinary_corner_final.json
ordinary,corner,ready,affine_code8,2045862,1472190,573672,1.8921543725440415,2739648,1058720,3040032,167488,325220,768,15360,0,0,0,0,ordinary_corner_final.json
ordinary,corner,ready,full_expanded,2074612,1472190,602422,3.324019981373305,2773440,1089440,3029120,166048,333880,768,15360,0,0,0,0,ordinary_corner_final.json
ordinary,corner,ready,full_code8,2140493,1472190,668303,6.60515870051348,2833344,1141664,3339392,173472,329944,768,15360,0,10368,1824,0,ordinary_corner_final.json
ordinary,interior,ready,raw,2700748,2126474,574274,0.0,3842184,1350984,4224864,165568,411486,1080,0,0,0,0,0,ordinary_interior_final.json
ordinary,interior,ready,fixed_expanded,2746827,2126474,620353,1.7061569609604366,3888264,1397064,4224864,165568,430686,1080,15360,0,0,0,0,ordinary_interior_final.json
ordinary,interior,ready,fixed_code8,2723787,2126474,597313,0.853059967090597,3857544,1366344,4224864,165568,423006,1080,15360,0,0,0,0,ordinary_interior_final.json
ordinary,interior,ready,affine_expanded,2761510,2126474,635036,2.24982116065624,3888264,1397064,4237152,166048,438750,1080,15360,0,0,0,0,ordinary_interior_final.json
