axis,label,stress,mode,service_slots,saving_percent_vs_same_function_baseline,producer_end,SR64_reads,SW64_writes,CR256_reads,CW256_writes,SR_bytes,SW_bytes,CR_bytes,CW_bytes,metadata_bytes,differences,compared_output_values
dense_twopot,corner,False,baseline,1859566,0.0,1296394,352019,130383,93710,5174,2816152,1043064,2998720,165568,0,0,343040
dense_twopot,corner,False,consumer,1847006,0.6754264167015315,1283834,352027,130464,93710,5174,2816216,1043712,2998720,165568,648,0,343040
dense_twopot,corner,False,producer,1845872,0.7364083877635964,1282700,350083,130464,93710,5174,2800664,1043712,2998720,165568,648,0,343040
dense_twopot,corner,False,consumer_both,1848653,0.5868573634923417,1287162,353133,130528,93710,5174,2825064,1044224,2998720,165568,1160,0,343040
dense_twopot,corner,False,producer_both,1846623,0.6960226203318409,1285132,349653,130528,93710,5174,2797224,1044224,2998720,165568,1160,0,343040
dense_twopot,interior,False,baseline,2463864,0.0,1862654,492698,168686,131285,5174,3941584,1349488,4201120,165568,0,0,430080
dense_twopot,interior,False,consumer,2453248,0.43086793751603175,1852038,493310,168807,131285,5174,3946480,1350456,4201120,165568,968,0,430080
dense_twopot,interior,False,producer,2451554,0.499621732368345,1850344,490406,168807,131285,5174,3923248,1350456,4201120,165568,968,0,430080
dense_twopot,interior,False,consumer_both,2448620,0.6187029803593056,1856250,494023,168888,131285,5174,3952184,1351104,4201120,165568,1616,0,430080
dense_twopot,interior,False,producer_both,2445792,0.7334820428400269,1853422,489175,168888,131285,5174,3913400,1351104,4201120,165568,1616,0,430080
dense_twopot,corner,True,baseline,2076698,0.0,1448900,352019,130383,93710,5174,2816152,1043064,2998720,165568,0,0,343040
dense_twopot,corner,True,producer_both,2061946,0.7103584632912441,1436204,349653,130528,93710,5174,2797224,1044224,2998720,165568,1160,0,343040
lifting_twopot,corner,False,baseline,1756384,0.0,1199518,330063,127279,82455,5174,2640504,1018232,2638560,165568,0,0,343040
lifting_twopot,corner,False,consumer,1728399,1.5933303878878422,1171533,328972,127360,82455,5174,2631776,1018880,2638560,165568,648,0,343040
lifting_twopot,corner,False,producer,1727265,1.657894856705595,1170399,327028,127360,82455,5174,2616224,1018880,2638560,165568,648,0,343040
lifting_twopot,corner,False,consumer_both,1728311,1.5983406817643522,1174861,329887,127424,82455,5174,2639096,1019392,2638560,165568,1160,0,343040
lifting_twopot,corner,False,producer_both,1726281,1.713919051870206,1172831,326407,127424,82455,5174,2611256,1019392,2638560,165568,1160,0,343040
lifting_twopot,interior,False,baseline,2352426,0.0,1754858,475578,166374,122163,5174,3804624,1330992,3909216,165568,0,0,430080
lifting_twopot,interior,False,consumer,2331405,0.893588151125689,1733837,475372,166495,122163,5174,3802976,1331960,3909216,165568,968,0,430080
lifting_twopot,interior,False,producer,2329711,0.9655989178830705,1732143,472468,166495,122163,5174,3779744,1331960,3909216,165568,968,0,430080
lifting_twopot,interior,False,consumer_both,2326309,1.1102155817016135,1738049,476049,166576,122163,5174,3808392,1332608,3909216,165568,1616,0,430080
lifting_twopot,interior,False,producer_both,2323481,1.230431903065176,1735221,471201,166576,122163,5174,3769608,1332608,3909216,165568,1616,0,430080
lifting_twopot,corner,True,baseline,1956026,0.0,1335556,330063,127279,82455,5174,2640504,1018232,2638560,165568,0,0,343040
lifting_twopot,corner,True,producer_both,1923738,1.6506938046835777,1307106,326407,127424,82455,5174,2611256,1019392,2638560,165568,1160,0,343040
contiguous34,corner,False,baseline,1600578,0.0,1079034,271721,122661,68972,5174,2173768,981288,2207104,165568,0,0,343040
contiguous34,corner,False,consumer,1548276,3.2676945453454938,1026732,269192,122742,68972,5174,2153536,981936,2207104,165568,648,0,343040
contiguous34,corner,False,producer,1547142,3.338543950997702,1025598,267248,122742,68972,5174,2137984,981936,2207104,165568,648,0,343040
contiguous34,corner,False,consumer_both,1534839,4.107203772637135,1030060,268897,122806,68972,5174,2151176,982448,2207104,165568,1160,0,343040
contiguous34,corner,False,producer_both,1532809,4.234032955594792,1028030,265417,122806,68972,5174,2123336,982448,2207104,165568,1160,0,343040
contiguous34,interior,False,baseline,2158050,0.0,1586086,419847,159423,97809,5174,3358776,1275384,3129888,165568,0,0,430080
contiguous34,interior,False,consumer,2091820,3.068974305507287,1519856,416655,159544,97809,5174,3333240,1276352,3129888,165568,968,0,430080
contiguous34,interior,False,producer,2090126,3.1474710965918304,1518162,413751,159544,97809,5174,3310008,1276352,3129888,165568,968,0,430080
contiguous34,interior,False,consumer_both,2075058,3.845694029332036,1524068,416290,159625,97809,5174,3330320,1277000,3129888,165568,1616,0,430080
contiguous34,interior,False,producer_both,2072230,3.9767382590764813,1521240,411442,159625,97809,5174,3291536,1277000,3129888,165568,1616,0,430080
contiguous34,corner,True,baseline,1774938,0.0,1194820,271721,122661,68972,5174,2173768,981288,2207104,165568,0,0,343040
contiguous34,corner,True,producer_both,1700666,4.184484190433694,1138924,265417,122806,68972,5174,2123336,982448,2207104,165568,1160,0,343040
