axis,mode,population,file,valid_pixels,AEE,NB0_AEE,delta_NB0
ordinary,R24_onepass,diverse10,zurich_city_09_a_0001.npy,33225,1.3808654342021336,1.528197658,-0.14733222379786648
ordinary,R24_onepass,diverse10,zurich_city_07_a_0001.npy,60911,1.8244684000567977,2.7632396037,-0.9387712036432025
ordinary,R24_onepass,diverse10,zurich_city_02_c_0001.npy,50313,1.02571767118735,1.2135586696,-0.18784099841265012
ordinary,R24_onepass,diverse10,zurich_city_11_b_0001.npy,71275,0.6862206343856864,0.8770144248,-0.19079379041431366
ordinary,R24_onepass,diverse10,zurich_city_09_a_0011.npy,34250,0.8136130003530913,0.8308005246,-0.017187524246908725
ordinary,R24_onepass,diverse10,zurich_city_07_a_0011.npy,53178,1.3653967555692577,1.8373696007,-0.47197284513074234
ordinary,R24_onepass,diverse10,zurich_city_02_c_0011.npy,49226,1.0346390932135463,1.1510100576,-0.11637096438645367
ordinary,R24_onepass,diverse10,zurich_city_11_b_0011.npy,64608,0.9936701602359049,1.1328364425,-0.139166282264095
ordinary,R24_onepass,diverse10,zurich_city_09_a_0021.npy,33116,0.8361174732146935,1.0459005607,-0.2097830874853065
ordinary,R24_onepass,diverse10,zurich_city_07_a_0021.npy,66633,1.6873501876914518,2.1661010685,-0.47875088080854833
ordinary,R24_onepass,valid825,zurich_city_09_a_0001.npy,33225,1.3808654342021336,1.528197658,-0.14733222379786648
ordinary,R24_onepass,valid825,zurich_city_09_a_0011.npy,34250,0.8136130003530913,0.8308005246,-0.017187524246908725
ordinary,R24_onepass,valid825,zurich_city_09_a_0021.npy,33116,0.8361174732146935,1.0459005607,-0.2097830874853065
ordinary,R24_onepass,valid825,zurich_city_09_a_0031.npy,35022,0.8025305714251151,0.9180044419,-0.11547387047488489
ordinary,R24_onepass,valid825,zurich_city_09_a_0041.npy,37230,0.608932282209236,0.7754596113,-0.16652732909076395
ordinary,R24_onepass,valid825,zurich_city_09_a_0051.npy,38432,0.694308911234897,0.8083599767,-0.11405106546510302
ordinary,R24_onepass,valid825,zurich_city_09_a_0061.npy,35956,0.9989603221671761,1.0099518335,-0.010991511332823833
ordinary,R24_onepass,valid825,zurich_city_09_a_0071.npy,35418,0.9883353959940613,1.0504520345,-0.062116638505938626
ordinary,R24_onepass,valid825,zurich_city_09_a_0081.npy,27455,0.8392656817099755,1.0661178519,-0.22685217019002457
ordinary,R24_onepass,valid825,zurich_city_09_a_0091.npy,32271,0.6895920768257903,0.893364011,-0.2037719341742097
ordinary,R24_onepass,valid825,zurich_city_09_a_0101.npy,32366,0.7778571367799997,0.9206300835,-0.1427729467200003
ordinary,R24_onepass,valid825,zurich_city_09_a_0111.npy,27487,1.1492314868433726,1.3594956536,-0.2102641667566274
ordinary,R24_onepass,valid825,zurich_city_09_a_0121.npy,19989,1.616503376078774,1.5601064961,0.05639687997877396
ordinary,R24_onepass,valid825,zurich_city_09_a_0131.npy,21434,0.8064174755251221,1.0328064677,-0.22638899217487785
ordinary,R24_onepass,valid825,zurich_city_09_a_0141.npy,31781,0.9908450147959502,1.3125715345,-0.32172651970404975
ordinary,R24_onepass,valid825,zurich_city_09_a_0151.npy,46463,0.9600103721326153,0.9892553954,-0.02924502326738465
ordinary,R24_onepass,valid825,zurich_city_09_a_0161.npy,44817,0.6714083798240944,1.029919241,-0.3585108611759056
ordinary,R24_onepass,valid825,zurich_city_09_a_0171.npy,34887,1.1676009028662178,1.0050836003,0.16251730256621766
ordinary,R24_onepass,valid825,zurich_city_09_a_0181.npy,28733,1.266990388478117,1.0259690241,0.24102136437811716
ordinary,R24_onepass,valid825,zurich_city_09_a_0191.npy,29218,1.2550448903923799,1.3367170655,-0.08167217510762015
ordinary,R24_onepass,valid825,zurich_city_09_a_0201.npy,19687,1.48855503886587,1.4335929563,0.054962082565869874
ordinary,R24_onepass,valid825,zurich_city_09_a_0211.npy,39146,0.8009906507283635,1.0063831554,-0.2053925046716365
ordinary,R24_onepass,valid825,zurich_city_09_a_0221.npy,38515,0.7905064795071254,0.8736690453,-0.08316256579287462
ordinary,R24_onepass,valid825,zurich_city_09_a_0231.npy,47105,0.7136036720517843,1.0038469576,-0.29024328554821566
ordinary,R24_onepass,valid825,zurich_city_09_a_0241.npy,51409,0.5896508314387324,0.9234784097,-0.3338275782612675
ordinary,R24_onepass,valid825,zurich_city_09_a_0251.npy,42120,1.0574983730092216,1.2032533535,-0.1457549804907785
ordinary,R24_onepass,valid825,zurich_city_09_a_0261.npy,47118,0.6423460432513232,0.8190749156,-0.17672887234867685
ordinary,R24_onepass,valid825,zurich_city_09_a_0271.npy,41759,2.934296538001354,2.1410597865,0.7932367515013539
ordinary,R24_onepass,valid825,zurich_city_09_a_0281.npy,43202,0.8929259870579466,1.0084145048,-0.11548851774205338
ordinary,R24_onepass,valid825,zurich_city_09_a_0291.npy,37953,0.8605587996021761,1.2714910136,-0.41093221399782387
ordinary,R24_onepass,valid825,zurich_city_09_a_0301.npy,33129,1.2719598267712526,1.2403096607,0.031650166071252706
ordinary,R24_onepass,valid825,zurich_city_09_a_0311.npy,30937,0.9046198706294313,1.0576429771,-0.15302310647056871
ordinary,R24_onepass,valid825,zurich_city_09_a_0321.npy,31942,1.0242907187624515,1.1574161762,-0.13312545743754844
ordinary,R24_onepass,valid825,zurich_city_09_a_0331.npy,30768,1.0715913092111389,1.2995670217,-0.22797571248886106
ordinary,R24_onepass,valid825,zurich_city_09_a_0341.npy,29501,1.195312071849686,1.5637658469,-0.36845377505031407
ordinary,R24_onepass,valid825,zurich_city_09_a_0351.npy,37493,0.7492001234214429,0.7794112193,-0.03021109587855708
ordinary,R24_onepass,valid825,zurich_city_09_a_0361.npy,38962,0.822155614039908,0.8519420766,-0.029786462560091986
ordinary,R24_onepass,valid825,zurich_city_09_a_0371.npy,36815,0.9119837144095034,1.0439883115,-0.1320045970904965
ordinary,R24_onepass,valid825,zurich_city_09_a_0381.npy,35682,1.1433642096239234,1.2088990948,-0.06553488517607664
ordinary,R24_onepass,valid825,zurich_city_09_a_0391.npy,38428,0.933561726663454,1.0872823446,-0.1537206179365459
ordinary,R24_onepass,valid825,zurich_city_09_a_0401.npy,39828,0.7531964608731596,0.9199982778,-0.16680181692684037
ordinary,R24_onepass,valid825,zurich_city_09_a_0411.npy,35185,1.0903227675763454,1.3065903883,-0.21626762072365469
ordinary,R24_onepass,valid825,zurich_city_09_a_0421.npy,33718,1.0470739301709977,1.2772497952,-0.23017586502900222
ordinary,R24_onepass,valid825,zurich_city_09_a_0431.npy,36093,0.7704515544663981,1.0101366825,-0.23968512803360187
ordinary,R24_onepass,valid825,zurich_city_09_a_0441.npy,30766,0.6803050470263696,0.860080743,-0.1797756959736304
ordinary,R24_onepass,valid825,zurich_city_09_a_0451.npy,31423,1.2463297162695375,1.1616274803,0.08470223596953752
ordinary,R24_onepass,valid825,zurich_city_09_a_0461.npy,32170,1.058711637375427,1.2788720081,-0.22016037072457295
ordinary,R24_onepass,valid825,zurich_city_09_a_0471.npy,19534,1.3505129185803908,1.7473255766,-0.3968126580196092
ordinary,R24_onepass,valid825,zurich_city_09_a_0481.npy,26387,0.8738299777213208,1.0406031201,-0.16677314237867913
ordinary,R24_onepass,valid825,zurich_city_09_a_0491.npy,36601,0.9992259590978034,1.1096505645,-0.11042460540219667
ordinary,R24_onepass,valid825,zurich_city_09_a_0501.npy,29156,0.9316262652661523,1.4152942898,-0.4836680245338477
ordinary,R24_onepass,valid825,zurich_city_09_a_0511.npy,24241,0.6201761816059671,0.9150825306,-0.2949063489940329
ordinary,R24_onepass,valid825,zurich_city_09_a_0521.npy,26206,0.8542783650455041,0.7299366826,0.12434168244550414
ordinary,R24_onepass,valid825,zurich_city_09_a_0531.npy,25870,3.625421377959286,7.2255659306,-3.6001445526407143
ordinary,R24_onepass,valid825,zurich_city_09_a_0541.npy,22040,5.394815119153891,13.4375482078,-8.04273308864611
ordinary,R24_onepass,valid825,zurich_city_09_a_0551.npy,23339,1.5903621618213766,1.4426134903,0.1477486715213765
ordinary,R24_onepass,valid825,zurich_city_09_a_0561.npy,20563,2.425892536821669,2.1760728463,0.2498196905216692
ordinary,R24_onepass,valid825,zurich_city_09_a_0571.npy,23689,1.5055268200105643,1.8831582894,-0.3776314693894358
ordinary,R24_onepass,valid825,zurich_city_09_a_0581.npy,21936,2.61162195358484,2.6196506314,-0.008028677815159924
ordinary,R24_onepass,valid825,zurich_city_09_a_0591.npy,23696,1.5746203725922514,1.8550523427,-0.2804319701077487
ordinary,R24_onepass,valid825,zurich_city_09_a_0601.npy,26668,1.4204045943308885,1.7114897185,-0.2910851241691115
ordinary,R24_onepass,valid825,zurich_city_09_a_0611.npy,28273,0.8223580676949024,0.9799624559,-0.1576043882050976
ordinary,R24_onepass,valid825,zurich_city_09_a_0621.npy,29356,0.7833857729535452,1.0602847374,-0.2768989644464548
