case	real	time	intersection	reduce	stress	cycles_through_done_handshake	last_gate	source_reads	w_reads	w_zero	packets	events	commits	source_req_wait	w_req_wait	w_response_wait	output_wait	barrier_wait	psn_issues	nr_peak	w_pending_peak	w_accept_peak	source_accept_peak	first_tile0	first_tile1	w_metadata_reads	w_value_reads	compare_active_PE_beats	weight_pointer_advances_without_value	nrv_skips	nnz_tile0	nnz_tile1	image_bytes_tile0	image_bytes_tile1	frontend_load_beats	configuration_beats	rank_catchup_pe_beats	producer_calendar	source_writes	first_write	last_write	producer_write_wait	service_from_first_write
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	3	0	0	2647	2640	288	2626	38	648	5984	4754	284	0	0	0	0	2432	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	96	0	0	288	1	72	0	2640
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	3	0	1	7054	7047	288	2626	38	648	5984	4754	284	892	0	12	4	2432	2	4	3	4	0	1	4	2622	0	0	0	378	379	386	386	11	96	0	0	288	1	72	0	7047
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	3	1	0	2647	2640	288	2626	38	648	5984	4754	284	0	0	0	0	2432	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	96	0	0	288	1	72	0	2640
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	3	1	1	7054	7047	288	2626	38	648	5984	4754	284	892	0	15	4	2432	2	4	3	4	0	1	4	2622	0	0	0	378	379	386	386	11	96	0	0	288	1	72	0	7047
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	4	0	0	2650	2643	288	2626	38	648	5984	4754	284	0	0	0	0	2432	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	96	0	0	288	1	72	0	2643
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	4	0	1	7064	7057	288	2626	38	648	5984	4754	284	873	0	17	6	2432	2	4	3	4	0	1	4	2622	0	0	0	378	379	386	386	11	96	0	0	288	1	72	0	7057
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	4	1	0	2650	2643	288	2626	38	648	5984	4754	284	0	0	0	0	2432	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	96	0	0	288	1	72	0	2643
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	4	1	1	7064	7057	288	2626	38	648	5984	4754	284	873	0	11	4	2432	1	4	3	4	0	1	4	2622	0	0	0	378	379	386	386	11	96	0	0	288	1	72	0	7057
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	5	0	0	2647	2640	288	2626	38	648	5984	4754	284	0	0	0	0	2432	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	96	0	0	288	1	72	0	2640
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	5	0	1	7064	7057	288	2626	38	648	5984	4754	284	871	0	17	6	2432	2	4	3	4	0	1	4	2622	0	0	0	378	379	386	386	12	96	0	0	288	1	72	0	7057
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	5	1	0	2647	2640	288	2626	38	648	5984	4754	284	0	0	0	0	2432	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	96	0	0	288	1	72	0	2640
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	5	1	1	7064	7057	288	2626	38	648	5984	4754	284	871	0	11	4	2432	1	4	3	4	0	1	4	2622	0	0	0	378	379	386	386	12	96	0	0	288	1	72	0	7057
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	6	0	0	2647	2640	288	2626	38	648	5984	4754	284	0	0	0	0	2432	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	96	0	0	288	1	72	0	2640
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	6	0	1	7064	7057	288	2626	38	648	5984	4754	284	871	0	17	6	2432	2	4	3	4	0	1	4	2622	0	0	0	378	379	386	386	12	96	0	0	288	1	72	0	7057
