case,mode,stress,selected_endpoint,cycles,clear,source_reads,source_stalls,weight_reads,weight_stalls,event_add,prefix,round,output_beats,output_stalls,selection_cycles,mismatched_beats
0,0,0,0,2404,40,864,0,305,0,1114,0,40,40,0,0,0
0,1,0,1,3502,40,864,0,305,0,2176,36,40,40,0,0,0
0,2,0,0,3269,40,1728,0,305,0,1114,0,40,40,0,865,0
0,0,1,0,2652,40,864,85,305,142,1114,0,40,40,21,0,0
0,1,1,1,3710,40,864,92,305,95,2176,36,40,40,21,0,0
0,2,1,0,3587,40,1728,166,305,132,1114,0,40,40,20,951,0
1,0,0,0,985,40,864,0,0,0,0,0,40,40,0,0,0
1,1,0,1,1021,40,864,0,0,0,0,36,40,40,0,0,0
1,2,0,0,1850,40,1728,0,0,0,0,0,40,40,0,865,0
1,0,1,0,1092,40,864,86,0,0,0,0,40,40,21,0,0
1,1,1,1,1127,40,864,86,0,0,0,36,40,40,20,0,0
1,2,1,0,2042,40,1728,173,0,0,0,0,40,40,19,951,0
2,0,0,0,36409,40,864,0,864,0,34560,0,40,40,0,0,0
2,1,0,1,5341,40,864,0,864,0,3456,36,40,40,0,0,0
2,2,0,1,6206,40,1728,0,864,0,3456,36,40,40,0,865,0
2,0,1,0,36625,40,864,139,864,56,34560,0,40,40,21,0,0
2,1,1,1,6222,40,864,79,864,782,3456,36,40,40,20,0,0
2,2,1,1,7175,40,1728,164,864,784,3456,36,40,40,21,951,0
3,0,0,0,19129,40,864,0,864,0,17280,0,40,40,0,0,0
3,1,0,1,36445,40,864,0,864,0,34560,36,40,40,0,0,0
3,2,0,0,19994,40,1728,0,864,0,17280,0,40,40,0,865,0
3,0,1,0,19545,40,864,35,864,360,17280,0,40,40,21,0,0
3,1,1,1,36660,40,864,139,864,56,34560,36,40,40,20,0,0
3,2,1,0,20497,40,1728,122,864,360,17280,0,40,40,21,951,0
4,0,0,0,14809,40,864,0,864,0,12960,0,40,40,0,0,0
4,1,0,1,7069,40,864,0,864,0,5184,36,40,40,0,0,0
4,2,0,1,7934,40,1728,0,864,0,5184,36,40,40,0,865,0
4,0,1,0,15857,40,864,100,864,927,12960,0,40,40,21,0,0
4,1,1,1,7945,40,864,280,864,575,5184,36,40,40,21,0,0
4,2,1,1,8890,40,1728,363,864,572,5184,36,40,40,21,951,0
