mode,stress,vectors,total_cycles,IDLE_config_start,LOAD,CLEAR,MAC,COMMIT,OUTPUT,coefficient_load_words,coefficient_read_words,bias_load_words,input_words,input_stall_cycles,output_words,output_stall_cycles,latent_writeback_cycles,result_writeback_cycles,checked_values,held_output_checks,mismatches,reduction_vs_direct,speedup_vs_direct,same_function_direct_cycles,reduction_vs_same_function_direct,speedup_vs_same_function_direct
original,0,320,105344,704,960,3840,92160,3840,3840,288,92160,96,960,0,3840,0,0,3840,30720,0,0,0.0,1.0,105344,0.0,1.0
original,1,320,107210,746,969,3840,92160,3840,5655,288,92160,96,960,9,3840,1815,0,3840,30720,1815,0,0.0,1.0,107210,0.0,1.0
expanded_k1,0,320,93824,704,960,3840,80640,3840,3840,288,80640,96,960,0,3840,0,0,3840,30720,0,0,0.10935601458080191,1.1227830832196453,93824,0.0,1.0
expanded_k1,1,320,96103,746,1311,3840,80640,3840,5726,288,80640,96,960,351,3840,1886,0,3840,30720,1886,0,0.10360041040947676,1.1155739154865092,96103,0.0,1.0
kron1,0,320,33394,434,960,4480,19200,4480,3840,18,19200,96,960,0,3840,0,640,3840,30720,0,0,0.6830004556500607,3.1545786668263758,93824,0.6440782742155525,2.809606516140624
kron1,1,320,35321,437,1157,4480,19200,4480,5567,18,19200,96,960,197,3840,1727,640,3840,30720,1727,0,0.6705437925566644,3.0353047761954643,96103,0.6324672486811025,2.7208459556637696
expanded_k2,0,320,105344,704,960,3840,92160,3840,3840,288,92160,96,960,0,3840,0,0,3840,30720,0,0,0.0,1.0,105344,0.0,1.0
expanded_k2,1,320,107210,746,969,3840,92160,3840,5655,288,92160,96,960,9,3840,1815,0,3840,30720,1815,0,0.0,1.0,107210,0.0,1.0
kron2,0,320,61572,452,960,8960,38400,8960,3840,36,38400,96,960,0,3840,0,1280,7680,30720,0,0,0.41551488456865127,1.7109075553823165,105344,0.41551488456865127,1.7109075553823165
kron2,1,320,63492,458,1277,8960,38400,8960,5437,36,38400,96,960,317,3840,1597,1280,7680,30720,1597,0,0.4077791250816155,1.6885591885591886,107210,0.4077791250816155,1.6885591885591886
