mode,stress,vectors,total_cycles,IDLE_config_start,LOAD,CLEAR,MAC,COMMIT,OUTPUT,coefficient_load_words,bias_load_words,input_words,input_stall_cycles,output_words,output_stall_cycles,latent_writeback_cycles,result_writeback_cycles,checked_values,held_output_checks,mismatches,reduction_vs_direct,speedup_vs_direct
original,0,320,105344,704,960,3840,92160,3840,3840,288,96,960,0,3840,0,0,3840,30720,0,0,0.0,1.0
original,1,320,107210,746,969,3840,92160,3840,5655,288,96,960,9,3840,1815,0,3840,30720,1815,0,0.0,1.0
expanded_k1,0,320,105344,704,960,3840,92160,3840,3840,288,96,960,0,3840,0,0,3840,30720,0,0,0.0,1.0
expanded_k1,1,320,107210,746,969,3840,92160,3840,5655,288,96,960,9,3840,1815,0,3840,30720,1815,0,0.0,1.0
kron1,0,320,33394,434,960,4480,19200,4480,3840,18,96,960,0,3840,0,640,3840,30720,0,0,0.6830004556500607,3.1545786668263758
kron1,1,320,35321,437,1157,4480,19200,4480,5567,18,96,960,197,3840,1727,640,3840,30720,1727,0,0.6705437925566644,3.0353047761954643
expanded_k2,0,320,105344,704,960,3840,92160,3840,3840,288,96,960,0,3840,0,0,3840,30720,0,0,0.0,1.0
expanded_k2,1,320,107210,746,969,3840,92160,3840,5655,288,96,960,9,3840,1815,0,3840,30720,1815,0,0.0,1.0
kron2,0,320,61572,452,960,8960,38400,8960,3840,36,96,960,0,3840,0,1280,7680,30720,0,0,0.41551488456865127,1.7109075553823165
kron2,1,320,63492,458,1277,8960,38400,8960,5437,36,96,960,317,3840,1597,1280,7680,30720,1597,0,0.4077791250816155,1.6885591885591886
