mode	group	vectors	uops	configuration_cycles	service_cycles	latency_min	latency_max	input_wait	source_gap	output_backpressure
unstalled	v000_zurich_city_09_a_0001_s2b0	64	72	83	4992	77	77	4851	0	0
unstalled	v000_zurich_city_09_a_0001_s2b1	64	79	90	5440	84	84	5292	0	0
unstalled	v000_zurich_city_09_a_0001_s2b2	64	87	98	5952	92	92	5796	0	0
unstalled	v000_zurich_city_09_a_0001_s2b3	64	74	85	5120	79	79	4977	0	0
unstalled	v000_zurich_city_09_a_0001_s2b4	64	85	96	5824	90	90	5670	0	0
unstalled	v000_zurich_city_09_a_0001_s2b5	64	79	90	5440	84	84	5292	0	0
unstalled	v001_zurich_city_07_a_0001_s2b0	64	72	83	4992	77	77	4851	0	0
unstalled	v001_zurich_city_07_a_0001_s2b1	64	79	90	5440	84	84	5292	0	0
unstalled	v001_zurich_city_07_a_0001_s2b2	64	87	98	5952	92	92	5796	0	0
unstalled	v001_zurich_city_07_a_0001_s2b3	64	74	85	5120	79	79	4977	0	0
unstalled	v001_zurich_city_07_a_0001_s2b4	64	85	96	5824	90	90	5670	0	0
unstalled	v001_zurich_city_07_a_0001_s2b5	64	79	90	5440	84	84	5292	0	0
unstalled	v002_zurich_city_02_c_0001_s2b0	64	72	83	4992	77	77	4851	0	0
unstalled	v002_zurich_city_02_c_0001_s2b1	64	79	90	5440	84	84	5292	0	0
unstalled	v002_zurich_city_02_c_0001_s2b2	64	87	98	5952	92	92	5796	0	0
unstalled	v002_zurich_city_02_c_0001_s2b3	64	74	85	5120	79	79	4977	0	0
unstalled	v002_zurich_city_02_c_0001_s2b4	64	85	96	5824	90	90	5670	0	0
unstalled	v002_zurich_city_02_c_0001_s2b5	64	79	90	5440	84	84	5292	0	0
unstalled	v003_zurich_city_11_b_0001_s2b0	64	72	83	4992	77	77	4851	0	0
unstalled	v003_zurich_city_11_b_0001_s2b1	64	79	90	5440	84	84	5292	0	0
unstalled	v003_zurich_city_11_b_0001_s2b2	64	87	98	5952	92	92	5796	0	0
unstalled	v003_zurich_city_11_b_0001_s2b3	64	74	85	5120	79	79	4977	0	0
unstalled	v003_zurich_city_11_b_0001_s2b4	64	85	96	5824	90	90	5670	0	0
