case	real	time	intersection	reduce	stress	cycles_through_done_handshake	last_gate	source_reads	w_reads	w_zero	packets	events	commits	source_req_wait	w_req_wait	w_response_wait	output_wait	barrier_wait	psn_issues	nr_peak	w_pending_peak	w_accept_peak	source_accept_peak	first_tile0	first_tile1	w_metadata_reads	w_value_reads	compare_active_PE_beats	weight_pointer_advances_without_value	nrv_skips	nnz_tile0	nnz_tile1	image_bytes_tile0	image_bytes_tile1
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	0	0	0	2576	2569	288	2622	38	648	5984	4754	0	0	0	0	0	2432	2	4	4	4	0	0	0	2622	0	0	0	378	379	384	384
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	0	0	1	6948	6941	288	2622	38	648	5984	4754	38	894	0	21	6	2432	2	4	4	3	0	1	0	2622	0	0	0	378	379	384	384
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	0	1	0	2576	2569	288	2622	38	648	5984	4754	0	0	0	0	0	2432	2	4	4	4	0	0	0	2622	0	0	0	378	379	384	384
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	0	1	1	7032	7025	288	2622	38	648	5984	4754	39	957	0	16	4	2432	2	4	4	4	1	0	0	2622	0	0	0	378	379	384	384
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	1	0	0	7004	6997	288	8656	0	648	5984	4754	0	0	0	0	0	2432	2	4	4	4	0	0	6072	2584	9493	444	38	378	379	1136	1139
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	1	0	1	21727	21720	288	8656	0	648	5984	4754	46	2832	0	14	6	2432	1	4	4	4	1	0	6072	2584	15946	444	38	378	379	1136	1139
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	1	1	0	7004	6997	288	8656	0	648	5984	4754	0	0	0	0	0	2432	1	4	4	4	0	0	6072	2584	9493	444	38	378	379	1136	1139
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	1	1	1	21748	21741	288	8656	0	648	5984	4754	43	2920	0	19	4	2432	1	4	4	4	0	1	6072	2584	16015	444	38	378	379	1136	1139
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	0	0	0	2635	2628	288	2622	38	648	13442	9145	0	0	331	0	0	2080	2	4	4	4	0	0	0	2622	0	0	0	378	379	384	384
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	0	0	1	7013	7006	288	2622	38	648	13442	9145	42	875	0	32	5	2080	2	4	4	2	0	1	0	2622	0	0	0	378	379	384	384
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	0	1	0	2535	2528	288	2622	38	648	13442	9145	0	0	0	0	0	2080	2	4	4	4	0	0	0	2622	0	0	0	378	379	384	384
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	0	1	1	7000	6993	288	2622	38	648	13442	9145	38	883	0	29	9	2080	2	4	3	3	1	0	0	2622	0	0	0	378	379	384	384
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	1	0	0	6966	6959	288	8656	0	648	13442	9145	0	0	0	0	0	2080	2	4	4	4	0	0	6072	2584	9493	444	38	378	379	1136	1139
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	1	0	1	21702	21695	288	8656	0	648	13442	9145	25	2846	0	18	14	2080	2	4	4	4	1	0	6072	2584	15995	444	38	378	379	1136	1139
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	1	1	0	6963	6956	288	8656	0	648	13442	9145	0	0	0	0	0	2080	2	4	4	4	0	0	6072	2584	9493	444	38	378	379	1136	1139
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	1	1	1	21781	21774	288	8656	0	648	13442	9145	47	2890	0	40	9	2080	2	4	4	4	0	1	6072	2584	16016	444	38	378	379	1136	1139
