case	real	time	reduce	stress	cycles_through_done_handshake	last_gate	source_reads	w_reads	w_zero	packets	events	commits	source_req_wait	w_req_wait	w_response_wait	output_wait	barrier_wait	psn_issues	nr_peak	w_pending_peak	w_accept_peak	source_accept_peak	first_tile0	first_tile1
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	0	0	2576	2569	288	2622	38	648	5984	4754	0	0	0	0	0	2432	2	4	4	4	0	0
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	0	1	6948	6941	288	2622	38	648	5984	4754	38	894	0	21	6	2432	2	4	4	3	0	1
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	1	0	2576	2569	288	2622	38	648	5984	4754	0	0	0	0	0	2432	2	4	4	4	0	0
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_class	1	0	1	1	7032	7025	288	2622	38	648	5984	4754	39	957	0	16	4	2432	2	4	4	4	1	0
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	0	0	2635	2628	288	2622	38	648	13442	9145	0	0	331	0	0	2080	2	4	4	4	0	0
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	0	1	6938	6931	288	2622	38	648	13442	9145	38	877	0	53	2	2080	2	4	4	4	1	0
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	1	0	2535	2528	288	2622	38	648	13442	9145	0	0	0	0	0	2080	2	4	4	4	0	0
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	1	1	7019	7012	288	2622	38	648	13442	9145	44	906	0	28	7	2080	2	4	3	4	0	1
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	0	0	2192	2185	288	1954	30	484	3719	3031	0	0	0	0	10	2624	2	4	4	4	2	1
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	0	1	5333	5326	288	1954	30	484	3719	3031	44	596	0	34	12	2624	2	4	3	4	2	1
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	1	0	2190	2183	288	1954	30	484	3719	3031	0	0	0	0	9	2624	2	4	4	4	2	1
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	1	1	5336	5329	288	1954	30	484	3719	3031	32	662	0	58	13	2624	2	4	4	3	2	1
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	0	0	2172	2165	288	1954	30	484	4305	3185	0	0	0	0	9	2464	2	4	4	4	2	1
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	0	1	5362	5355	288	1954	30	484	4305	3185	40	696	0	25	22	2464	2	4	3	2	2	1
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	1	0	2166	2159	288	1954	30	484	4305	3185	0	0	0	0	7	2464	2	4	4	4	2	1
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	1	1	5389	5382	288	1954	30	484	4305	3185	39	617	0	15	9	2464	2	4	4	4	2	1
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	0	0	2675	2668	288	2822	51	695	6666	5069	0	0	0	0	2	2496	2	4	4	4	1	0
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	0	1	7365	7358	288	2822	51	695	6666	5069	42	1015	0	33	14	2496	2	4	3	3	0	3
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	1	0	2675	2668	288	2822	51	695	6666	5069	0	0	0	0	1	2496	2	4	4	4	1	0
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	1	1	7377	7370	288	2822	51	695	6666	5069	44	921	0	52	12	2496	2	4	4	4	3	0
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	0	0	2651	2644	288	2822	51	695	10211	7710	0	0	3	0	3	2304	2	4	4	4	1	1
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	0	1	7372	7365	288	2822	51	695	10211	7710	41	919	0	19	22	2304	2	4	3	2	3	0
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	1	0	2649	2642	288	2822	51	695	10211	7710	0	0	0	0	4	2304	2	4	4	4	1	1
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	1	1	7405	7398	288	2822	51	695	10211	7710	43	995	0	34	17	2304	2	4	4	4	0	3
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	0	0	2785	2778	288	2986	40	740	9045	6485	0	0	0	0	0	2656	2	4	4	4	0	0
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	0	1	7758	7751	288	2986	40	740	9045	6485	59	971	0	19	10	2656	2	4	3	4	0	1
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	1	0	2785	2778	288	2986	40	740	9045	6485	0	0	0	0	0	2656	2	4	4	4	0	0
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	1	1	7759	7752	288	2986	40	740	9045	6485	31	969	0	23	8	2656	2	4	4	4	1	0
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_time	1	1	0	0	2757	2750	288	2986	40	740	11338	7373	0	0	0	0	0	2400	2	4	4	4	0	0
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_time	1	1	0	1	7735	7728	288	2986	40	740	11338	7373	41	985	0	21	13	2400	2	4	3	4	1	0
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_time	1	1	1	0	2749	2742	288	2986	40	740	11338	7373	0	0	0	0	0	2400	2	4	4	4	0	0
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_time	1	1	1	1	7710	7703	288	2986	40	740	11338	7373	42	1031	0	27	9	2400	2	4	3	3	0	1
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_class	1	0	0	0	2751	2744	288	2868	43	709	7206	5765	0	0	0	0	6	2560	2	4	4	4	2	2
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_class	1	0	0	1	7550	7543	288	2868	43	709	7206	5765	37	980	0	63	8	2560	2	4	4	3	0	4
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_class	1	0	1	0	2750	2743	288	2868	43	709	7206	5765	0	0	0	0	7	2560	2	4	4	4	1	3
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_class	1	0	1	1	7515	7508	288	2868	43	709	7206	5765	48	993	0	63	12	2560	2	4	4	4	1	3
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_time	1	1	0	0	2719	2712	288	2868	43	709	10617	7613	0	0	0	0	6	2304	2	4	4	4	0	3
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_time	1	1	0	1	7458	7451	288	2868	43	709	10617	7613	55	915	0	22	15	2304	2	4	3	3	2	2
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_time	1	1	1	0	2715	2708	288	2868	43	709	10617	7613	0	0	0	0	5	2304	2	4	4	4	1	2
v000_zurich_city_09_a_0001_s2b4_p548_h844_41_packed_time	1	1	1	1	7465	7458	288	2868	43	709	10617	7613	43	941	0	25	9	2304	2	4	4	4	1	2
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_class	1	0	0	0	2782	2775	288	2922	61	719	8187	6280	0	0	0	0	8	2688	2	4	4	4	1	3
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_class	1	0	0	1	7642	7635	288	2922	61	719	8187	6280	51	984	0	28	23	2688	2	4	3	3	1	3
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_class	1	0	1	0	2779	2772	288	2922	61	719	8187	6280	0	0	0	0	6	2688	2	4	4	4	1	2
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_class	1	0	1	1	7592	7585	288	2922	61	719	8187	6280	38	936	0	11	15	2688	2	4	3	4	1	3
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_time	1	1	0	0	2766	2759	288	2922	61	719	10131	7597	0	0	0	0	11	2528	2	4	4	4	2	2
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_time	1	1	0	1	7615	7608	288	2922	61	719	10131	7597	47	1038	0	40	16	2528	2	4	3	4	2	2
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_time	1	1	1	0	2757	2750	288	2922	61	719	10131	7597	0	0	0	0	8	2528	2	4	4	4	1	2
v000_zurich_city_09_a_0001_s2b5_p684_h1055_252_packed_time	1	1	1	1	7586	7579	288	2922	61	719	10131	7597	44	985	0	45	17	2528	2	4	3	4	1	3
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_class	1	0	0	0	1138	1131	288	234	6	61	301	233	0	0	0	0	7	2432	2	4	4	4	0	3
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_class	1	0	0	1	1621	1614	288	234	6	61	301	233	40	80	0	7	7	2432	1	4	3	4	0	3
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_class	1	0	1	0	1138	1131	288	234	6	61	301	233	0	0	0	0	5	2432	2	4	4	4	0	2
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_class	1	0	1	1	1601	1594	288	234	6	61	301	233	44	69	0	16	5	2432	1	4	4	3	0	2
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_time	1	1	0	0	1090	1083	288	234	6	61	645	483	0	0	0	0	11	2080	2	4	4	4	0	3
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_time	1	1	0	1	1548	1541	288	234	6	61	645	483	46	77	0	31	11	2080	2	4	3	4	0	3
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_time	1	1	1	0	1090	1083	288	234	6	61	645	483	0	0	0	0	10	2080	2	4	4	4	0	2
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_time	1	1	1	1	1549	1542	288	234	6	61	645	483	31	71	0	29	11	2080	2	4	4	3	0	2
v006_zurich_city_02_c_0011_s2b1_p188_h308_1041_packed_class	1	0	0	0	2265	2258	288	1472	18	368	2888	2274	0	0	0	0	1	2624	2	4	4	4	1	0
v006_zurich_city_02_c_0011_s2b1_p188_h308_1041_packed_class	1	0	0	1	4974	4967	288	1472	18	368	2888	2274	42	482	0	37	4	2624	2	4	4	3	1	1
v006_zurich_city_02_c_0011_s2b1_p188_h308_1041_packed_class	1	0	1	0	2265	2258	288	1472	18	368	2888	2274	0	0	0	0	2	2624	2	4	4	4	2	0
v006_zurich_city_02_c_0011_s2b1_p188_h308_1041_packed_class	1	0	1	1	4937	4930	288	1472	18	368	2888	2274	45	458	0	24	2	2624	2	4	4	4	2	0
v006_zurich_city_02_c_0011_s2b1_p188_h308_1041_packed_time	1	1	0	0	2245	2238	288	1472	18	368	3347	2396	0	0	0	0	5	2464	2	4	4	4	1	1
v006_zurich_city_02_c_0011_s2b1_p188_h308_1041_packed_time	1	1	0	1	4929	4922	288	1472	18	368	3347	2396	50	475	0	9	4	2464	2	4	4	4	2	0
v006_zurich_city_02_c_0011_s2b1_p188_h308_1041_packed_time	1	1	1	0	2241	2234	288	1472	18	368	3347	2396	0	0	0	0	2	2464	2	4	4	4	2	0
v006_zurich_city_02_c_0011_s2b1_p188_h308_1041_packed_time	1	1	1	1	4885	4878	288	1472	18	368	3347	2396	51	494	0	9	4	2464	2	4	4	4	1	1
v006_zurich_city_02_c_0011_s2b2_p324_h519_1252_packed_class	1	0	0	0	2642	2635	288	2672	75	654	6389	4765	0	0	0	0	3	2496	2	4	4	4	0	1
v006_zurich_city_02_c_0011_s2b2_p324_h519_1252_packed_class	1	0	0	1	7108	7101	288	2672	75	654	6389	4765	42	895	0	22	8	2496	2	4	4	3	1	1
v006_zurich_city_02_c_0011_s2b2_p324_h519_1252_packed_class	1	0	1	0	2637	2630	288	2672	75	654	6389	4765	0	0	0	0	1	2496	2	4	4	4	1	0
v006_zurich_city_02_c_0011_s2b2_p324_h519_1252_packed_class	1	0	1	1	7100	7093	288	2672	75	654	6389	4765	38	856	0	20	2	2496	2	4	3	4	1	0
v006_zurich_city_02_c_0011_s2b2_p324_h519_1252_packed_time	1	1	0	0	2620	2613	288	2672	75	654	9632	7156	0	0	0	0	5	2304	2	4	4	4	1	0
