case	real	p4f2	reduce	stress	start_to_complete_beats	issue_beats	commits	scalar_members	packets	source_gap_beats	input_backpressure_beats	output_backpressure_beats	read_responses
v000_zurich_city_09_a_0001_s2b0_onehot7_P8F1_p0_h0	1	0	0	0	1585	1488	1211	1488	96	0	1472	0	112
v000_zurich_city_09_a_0001_s2b0_onehot7_P8F1_p0_h0	1	0	0	1	1585	1488	1211	1488	96	0	1438	154	112
v000_zurich_city_09_a_0001_s2b0_onehot7_P8F1_p0_h0	1	0	1	0	1308	1211	1211	1488	96	0	1198	0	112
v000_zurich_city_09_a_0001_s2b0_onehot7_P8F1_p0_h0	1	0	1	1	1309	1211	1211	1488	96	1	1152	154	112
v000_zurich_city_09_a_0001_s2b0_time_rows_P8F1_p0_h0	1	0	0	0	3307	3210	2309	3210	96	0	3176	0	112
v000_zurich_city_09_a_0001_s2b0_time_rows_P8F1_p0_h0	1	0	0	1	3307	3210	2309	3210	96	0	3127	154	112
v000_zurich_city_09_a_0001_s2b0_time_rows_P8F1_p0_h0	1	0	1	0	2406	2309	2309	3210	96	0	2284	0	112
v000_zurich_city_09_a_0001_s2b0_time_rows_P8F1_p0_h0	1	0	1	1	2406	2309	2309	3210	96	0	2213	154	112
v000_zurich_city_09_a_0001_s2b0_onehot7_P4F2_p0_h0	1	1	0	0	1679	1582	1255	1582	96	0	1567	0	112
v000_zurich_city_09_a_0001_s2b0_onehot7_P4F2_p0_h0	1	1	0	1	1679	1582	1255	1582	96	0	1514	153	112
v000_zurich_city_09_a_0001_s2b0_onehot7_P4F2_p0_h0	1	1	1	0	1352	1255	1255	1582	96	0	1241	0	112
v000_zurich_city_09_a_0001_s2b0_onehot7_P4F2_p0_h0	1	1	1	1	1352	1255	1255	1582	96	0	1187	154	112
v000_zurich_city_09_a_0001_s2b0_time_rows_P4F2_p0_h0	1	1	0	0	3429	3332	2354	3332	96	0	3297	0	112
v000_zurich_city_09_a_0001_s2b0_time_rows_P4F2_p0_h0	1	1	0	1	3430	3332	2354	3332	96	1	3240	154	112
v000_zurich_city_09_a_0001_s2b0_time_rows_P4F2_p0_h0	1	1	1	0	2451	2354	2354	3332	96	0	2326	0	112
v000_zurich_city_09_a_0001_s2b0_time_rows_P4F2_p0_h0	1	1	1	1	2451	2354	2354	3332	96	0	2270	154	112
v000_zurich_city_09_a_0001_s2b1_onehot7_P8F1_p172_h211	1	0	0	0	980	883	769	883	96	0	873	0	112
v000_zurich_city_09_a_0001_s2b1_onehot7_P8F1_p172_h211	1	0	0	1	980	883	769	883	96	0	819	154	112
v000_zurich_city_09_a_0001_s2b1_onehot7_P8F1_p172_h211	1	0	1	0	866	769	769	883	96	0	759	0	112
v000_zurich_city_09_a_0001_s2b1_onehot7_P8F1_p172_h211	1	0	1	1	867	769	769	883	96	1	714	150	112
v000_zurich_city_09_a_0001_s2b1_time_rows_P8F1_p172_h211	1	0	0	0	1109	1012	830	1012	96	0	997	0	112
v000_zurich_city_09_a_0001_s2b1_time_rows_P8F1_p172_h211	1	0	0	1	1109	1012	830	1012	96	0	947	154	112
v000_zurich_city_09_a_0001_s2b1_time_rows_P8F1_p172_h211	1	0	1	0	927	830	830	1012	96	0	818	0	112
v000_zurich_city_09_a_0001_s2b1_time_rows_P8F1_p172_h211	1	0	1	1	929	830	830	1012	96	2	754	154	112
v000_zurich_city_09_a_0001_s2b1_onehot7_P4F2_p172_h211	1	1	0	0	1332	1235	1045	1235	96	0	1225	0	112
v000_zurich_city_09_a_0001_s2b1_onehot7_P4F2_p172_h211	1	1	0	1	1332	1235	1045	1235	96	0	1160	150	112
v000_zurich_city_09_a_0001_s2b1_onehot7_P4F2_p172_h211	1	1	1	0	1142	1045	1045	1235	96	0	1035	0	112
v000_zurich_city_09_a_0001_s2b1_onehot7_P4F2_p172_h211	1	1	1	1	1142	1045	1045	1235	96	0	979	152	112
v000_zurich_city_09_a_0001_s2b1_time_rows_P4F2_p172_h211	1	1	0	0	1507	1410	1115	1410	96	0	1396	0	112
v000_zurich_city_09_a_0001_s2b1_time_rows_P4F2_p172_h211	1	1	0	1	1507	1410	1115	1410	96	0	1341	150	112
v000_zurich_city_09_a_0001_s2b1_time_rows_P4F2_p172_h211	1	1	1	0	1212	1115	1115	1410	96	0	1105	0	112
v000_zurich_city_09_a_0001_s2b1_time_rows_P4F2_p172_h211	1	1	1	1	1212	1115	1115	1410	96	0	1045	152	112
v000_zurich_city_09_a_0001_s2b2_onehot7_P8F1_p344_h422	1	0	0	0	1092	995	842	995	96	0	982	0	112
v000_zurich_city_09_a_0001_s2b2_onehot7_P8F1_p344_h422	1	0	0	1	1093	995	842	995	96	1	930	153	112
v000_zurich_city_09_a_0001_s2b2_onehot7_P8F1_p344_h422	1	0	1	0	939	842	842	995	96	0	830	0	112
v000_zurich_city_09_a_0001_s2b2_onehot7_P8F1_p344_h422	1	0	1	1	939	842	842	995	96	0	779	152	112
v000_zurich_city_09_a_0001_s2b2_time_rows_P8F1_p344_h422	1	0	0	0	1615	1518	1281	1518	96	0	1497	0	112
v000_zurich_city_09_a_0001_s2b2_time_rows_P8F1_p344_h422	1	0	0	1	1616	1518	1281	1518	96	1	1452	154	112
v000_zurich_city_09_a_0001_s2b2_time_rows_P8F1_p344_h422	1	0	1	0	1378	1281	1281	1518	96	0	1262	0	112
v000_zurich_city_09_a_0001_s2b2_time_rows_P8F1_p344_h422	1	0	1	1	1378	1281	1281	1518	96	0	1210	152	112
v000_zurich_city_09_a_0001_s2b2_onehot7_P4F2_p344_h422	1	1	0	0	1122	1025	865	1025	96	0	1011	0	112
v000_zurich_city_09_a_0001_s2b2_onehot7_P4F2_p344_h422	1	1	0	1	1124	1025	865	1025	96	2	939	154	112
v000_zurich_city_09_a_0001_s2b2_onehot7_P4F2_p344_h422	1	1	1	0	962	865	865	1025	96	0	851	0	112
v000_zurich_city_09_a_0001_s2b2_onehot7_P4F2_p344_h422	1	1	1	1	962	865	865	1025	96	0	785	154	112
v000_zurich_city_09_a_0001_s2b2_time_rows_P4F2_p344_h422	1	1	0	0	1646	1549	1310	1549	96	0	1529	0	112
v000_zurich_city_09_a_0001_s2b2_time_rows_P4F2_p344_h422	1	1	0	1	1647	1549	1310	1549	96	1	1460	154	112
v000_zurich_city_09_a_0001_s2b2_time_rows_P4F2_p344_h422	1	1	1	0	1407	1310	1310	1549	96	0	1290	0	112
